SL. No.,Category,State/UT/City,1984,1985,1986,1987,1988,Quinquennial Avg. 1984-1988 (Q.A.),1989,Percentage Change in 1989 (+) Increase/ (-) Decrease Over - Quinquennial Avg. (Q.A.),Percentage Change in 1989 (+) Increase/ (-) Decrease Over - 1988
1,State,Andhra Pradesh,82559,82219,81322,94279,86099,85296,98112,15,14
2,State,Arunachal Pradesh,960,1012,1280,1355,1764,1274,2002,57.1,13.5
3,State,Assam,35145,34459,38108,37244,37684,36528,39499,8.1,4.8
4,State,Bihar,104763,100549,105901,107245,113640,106420,114305,7.4,0.6
5,State,Goa,2999,3759,4514,4551,3969,3958,4225,6.7,6.4
6,State,Gujarat,83930,87336,83001,84714,87732,85343,95194,11.5,8.5
7,State,Haryana,17912,20001,21797,22918,25542,21634,28332,31,10.9
8,State,Himachal Pradesh,5065,5299,5955,6479,6521,5864,7168,22.2,9.9
9,State,Jammu & Kashmir,17122,19440,19855,19158,19868,19089,21442,12.3,7.9
10,State,Karnataka,78866,83580,81540,79456,86998,82088,92440,12.6,6.3
11,State,Kerala,48932,49146,53911,56806,64086,54576,67051,22.9,4.6
12,State,Madhya Pradesh,167945,171553,170673,181103,180630,174381,195183,11.9,8.1
13,State,Maharashtra,163667,166672,182026,184596,183357,176064,189055,7.4,3.1
14,State,Manipur,2886,3203,2604,1841,2379,2583,2445,-5.3,2.8
15,State,Meghalaya,1613,1752,1594,2440,1735,1827,1751,-4.1,0.9
16,State,Mizoram,1577,1213,1006,1157,1267,1244,1638,31.7,29.3
17,State,Nagaland,1964,2122,1559,1624,1408,1735,1591,-8.3,13
18,State,Orissa,44817,44838,45103,2603,41068,43686,44321,1.5,7.9
19,State,Punjab,12828,11185,13224,15017,14275,13306,14166,6.5,-0.8
20,State,Rajasthan,71672,78876,81118,79851,88146,79933,99617,24.6,13
21,State,Sikkim,283,325,373,354,333,334,380,13.9,14.1
22,State,Tamil Nadu,113714,119455,116276,114470,128725,118528,126075,6.4,-2.1
23,State,Tripura,6025,5461,4714,4631,5520,5270,5363,1.8,-2.8
24,State,Uttar Pradesh,180189,184786,184818,168791,160253,175767,172880,-1.6,7.9
25,State,West Bengal,74899,70346,68526,62947,63380,68020,68409,0.6,7.9
Total (States),State,Total (States),1322332,1348587,1370798,1375630,1406379,1364745,1492644,9.4,6.1
26,UT,A & N Islands,739,672,719,741,897,754,1144,51.8,27.5
27,UT,Chandigarh,1806,1767,1510,1621,1734,1688,1705,1,-1.7
28,UT,D & N Haveli,283,382,464,541,551,444,352,-20.8,-36.1
29,UT,Daman & Diu,91,114,136,116,120,115,147,27.4,22.5
30,UT,Delhi,30773,30412,29828,25846,28013,28974,30523,5.3,9
31,UT,Lakshadweep,23,28,20,31,30,26,91,244.7,203.3
32,UT,Pondicherry,2613,2769,2360,2466,2632,2568,3238,26.1,23
Total (UTs),UT,Total (UTs),36328,36144,35037,31362,33977,34570,37200,7.6,9.5
Total (All-India),Total (All-India),Total (All-India),1358660,1384731,1405835,1406992,1440356,1399315,1529844,9.3,6.2
33,City,Ahmedabad,10156,10703,10505,11037,12294,10939,13364,22.2,8.7
34,City,Bangalore,16354,16019,16592,21817,21998,18556,23107,24.5,5
35,City,Bombay,31150,35977,36643,36018,35802,35118,37309,6.2,4.2
36,City,Calcutta,13877,14644,14013,13219,13652,13881,13738,-1,0.6
37,City,Delhi,29243,28823,27813,23837,25530,27049,28467,5.2,11.5
38,City,Hyderabad,7491,7579,7481,7498,7469,7504,8063,7.5,8
39,City,Jaipur,5137,5411,4988,5667,6860,5613,6269,11.7,-8.6
40,City,Kanpur,6226,7278,7632,7231,5926,6859,5526,-19.4,-6.7
41,City,Lucknow,6839,4778,4814,3418,4642,4898,5336,8.9,15
42,City,Madras,10561,11834,13466,13827,13947,12727,14168,11.3,1.6
43,City,Nagpur,7060,7929,8832,8783,8249,8171,9368,14.7,13.6
44,City,Pune,8319,9165,9422,9163,10051,9224,10380,12.5,3.3
