SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,9496,398.1,979,7.9,1,0,891,45.7,3,16,971,12.5,7859,228,20200,708.2
2,State,Arunachal Pradesh,207,10.7,0,0,3,0.5,0,0,0,0,29,1.7,132,12.2,371,25.1
3,State,Assam,5509,123.1,34,5.7,8,0.3,56,1,0,0,498,38.5,2333,76.8,8438,245.3
4,State,Bihar,14028,306,891,15.5,0,0,1494,14.4,0,0,2198,22.9,1887,11.6,20498,370.4
5,State,Goa,222,14.4,20,0.5,11,0.6,13,0.3,1,0,86,4.1,788,52.5,1141,72.5
6,State,Gujarat,2510,351.2,97,3.8,10,1.9,495,42.2,6,0.7,904,36.5,16277,716.2,20299,1152.4
7,State,Haryana,2313,244.7,0,0,0,0,98,1.1,0,0,1,0.1,1718,215.1,4130,461
8,State,Himachal Pradesh,91,2.4,176,37,15,0.2,0,0,0,0,164,13.1,436,24.4,882,77
9,State,Jammu & Kashmir,848,48.6,0,0,0,0,43,0.9,0,0,92,9.7,2255,173.6,3238,232.8
10,State,Karnataka,7980,300.6,51,18.7,6,0.4,414,22.9,1,0.1,736,46.8,7461,391.7,16649,781.1
11,State,Kerala,1581,95,36,2.3,4,1.1,0,0,45,5.1,3,8.3,2213,167.3,3882,279.1
12,State,Madhya Pradesh,11516,422.3,742,30.3,413,10.4,635,32.7,400,12.2,21,33.1,25344,336.5,39071,877.6
13,State,Maharashtra,14908,792.1,565,48,29,1,4468,136.2,14,0.9,2149,310.8,37414,2623,59547,3912
14,State,Manipur,367,17.6,13,0.4,1,0,0,0,0,0,16,0.4,124,15.1,521,33.4
15,State,Meghalaya,90,3.1,0,0,0,0,0,0,0,0,42,0.6,332,6.9,464,10.6
16,State,Mizoram,269,6.5,1,0,0,0,0,0,0,0,0,0,201,20.8,471,27.4
17,State,Nagaland,198,10.8,0,0,0,0,0,0,0,0,17,5.4,134,17.8,349,34
18,State,Orissa,3914,43.1,101,0.4,0,0,0,0,9,0.1,277,9.5,5521,310.3,9822,363.5
19,State,Punjab,937,149.5,283,86.5,5,0.5,7,0.1,23,8.8,124,8.4,816,276.8,2195,530.1
20,State,Rajasthan,4136,419.5,0,0,5,1.1,690,17,1,0.1,277,9.6,8904,199.5,14013,646.7
21,State,Sikkim,76,8.4,0,0,0,0,0,0,0,0,0,0,30,1.2,106,9.6
22,State,Tamil Nadu,12781,226.7,423,8.1,5,0,468,32.1,3,0.1,1506,25.3,9673,175.4,24859,467.8
23,State,Tripura,539,5.5,7,0.2,0,0,0,0,0,0,139,4.7,313,7.7,998,18.1
24,State,Uttar Pradesh,27465,1027.7,1292,74.3,0,0,3324,360.2,2,0.2,461,8.8,12147,602,44691,2073.2
25,State,West Bengal,17807,528,827,6.8,0,0,1505,10.2,4,2.7,1729,82.7,8109,352.1,29981,982.5
Total (States),State,Total (States),139788,5555,6538,346.3,516,17.8,14601,717.1,512,47,12440,693.4,152421,7014.6,326816,14391.3
26,UT,A & N Islands,23,0.3,0,0,0,0,0,0,0,0,0,0,159,3.9,182,4.2
27,UT,Chandigarh,790,51.9,0,0,0,0,0,0,0,0,15,1.4,12,0.2,817,53.5
28,UT,D & N Haveli,6,0.1,0,0,0,0,0,0,0,0,0,0,53,2.8,59,3
29,UT,Daman & Diu,8,0.2,0,0,0,0,0,0,0,0,4,0.4,18,2.5,30,3.1
30,UT,Delhi,6932,545.3,234,11.3,0,0,425,12.8,0,0,879,31.9,3876,328.7,12346,930.1
31,UT,Lakshadweep,3,0.1,0,0,0,0,0,0,0,0,0,0,9,0.1,12,0.2
32,UT,Pondicherry,363,5.2,0,0,0,0,0,0,0,0,0,0,615,13.8,978,19.1
Total (UTs),UT,Total (UTs),8125,603.3,234,11.3,0,0,425,12.8,0,0,898,33.7,4742,352,14424,1013.1
Total (All-India),Total (All-India),Total (All-India),147913,6158.2,6772,357.6,516,17.8,15026,729.9,512,47,13338,727.1,157163,7366.6,341240,15404.4
33,City,Ahmedabad,756,61.9,63,2.8,0,0,0,0,2,0,335,22.2,3030,213.1,4186,300.1
34,City,Bangalore,3636,120.7,9,0.2,0,0,0,0,1,0.1,441,20.2,3312,187.1,7399,328.3
35,City,Bombay,3034,422.1,108,17.4,19,0.7,19,0.8,7,0.7,1394,274.7,10221,1461.2,14802,2177.7
36,City,Calcutta,3727,406.8,0,0,0,0,6,1.9,3,1,245,76.6,2992,311.3,6973,797.7
37,City,Delhi,6591,518.5,234,11.3,0,0,425,12.8,0,0,879,31.9,3676,314.8,11805,889.4
38,City,Hyderabad,1523,148.5,717,0.4,0,0,0,0,0,0,749,2.6,252,0.2,3241,151.7
39,City,Jaipur,515,0,0,0,0,0,0,0,0,0,85,0,880,103.5,1480,103.5
40,City,Kanpur,1260,49.9,25,2.6,0,0,2,1,0,0,50,5,314,12.4,1651,70.9
41,City,Lucknow,959,34.2,1008,49.9,0,0,2,0.2,0,0,0,0,259,6.1,2228,90.3
42,City,Madras,3480,92,0,0,0,0,0,0,0,0,310,4.6,625,14.6,4415,111.2
43,City,Nagpur,474,3.6,0,0,0,0,0,0,0,0,0,0,2138,103.3,2612,107
44,City,Pune,1281,23.8,0,0,0,0,0,0,0,0,311,4,1295,163.4,2887,191.2
