SL. No.,Crime Head,1988,1989,Percentage Variation in 1989 Over 1988,Percentage Share of Crime During 1989
1,Murder,67540,70335,4.1,3.1
2,Attempt to Commit Murder,52790,61711,16.9,2.7
3,C.H. Not Amounting to Murder,8398,8635,2.8,0.4
4,Rape,12911,13979,8.3,0.6
5,Kidnapping & Abduction,21005,22479,7,1
5,I) Of Women & Girls,18175,17665,-2.8,0.8
5,II) Of Others,2830,4814,70.1,0.2
6,Dacoity,32336,33475,3.5,1.5
7,Preparation & Assembly for Dacoity,3781,3942,4.3,0.2
8,Robbery,29085,29352,0.9,1.3
9,Burglary,93556,93614,0.1,4.1
10,Theft,217638,223980,2.9,9.7
11,Riots,543463,547327,0.7,23.8
12,Criminal Breach of Trust,16669,16802,0.8,0.7
13,Cheating,20657,21276,3,0.9
14,Counterfeiting,709,674,-4.9,0
15,Other IPC Crimes,1297965,1155651,-11,50.2
16,Total Cognizable Crimes Under IPC,2418503,2303232,-4.8,100
