SL. No.,Crime Head,1985,1986,1987,1988,1989
1,Arms Act,2,1.9,1.5,1.4,1.4
2,Narcotic Drugs & Psychotropic Substances Act,0.5,0.4,0.3,0.4,0.3
3,Gambling Act,5.8,5.5,4.6,4.5,4.2
4,Excise Act,3.4,3.2,2.6,2.3,2.3
5,Prohibition Act,11.5,12.2,15.4,17,18.5
6,Explosive & Explosive Substances Act,0.1,0.1,0.1,0.1,0.1
7,Immoral Traffic (Prevention) Act,0.5,0.5,0.4,0.4,0.3
8,Indian Railways Act,1,1.3,0.5,1,0.9
9,Foreigner's Registration Act,*,*,*,0,0.1
10,Protection Of Civil Rights Act,*,*,*,0.1,0.1
11,Indian Passport Act,*,*,*,0,0
12,Essential Commodities Act,*,*,*,0.2,0.3
13,Terrorist & Disruptive Activites Act,*,*,*,0,0
14,Antiquity & Art Treasure Act,*,*,*,0,0
15,Dowry Prohibition Act,*,*,*,0.1,0
16,Other L & SL Crimes,75.2,74.9,74.6,72.5,71.3
17,Total Cognizable Crimes Under L & SL,100,100,100,100,100
