SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male,Kidnapping & Abduction - Of Women & Girls - Female,Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male,Kidnapping & Abduction - Of Others - Female,Kidnapping & Abduction - Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
1,State,Andhra Pradesh,7692,139,7831,3361,47,3408,75,11,86,873,8,881,1210,61,1271,691,59,750,519,2,521,2140,0,2140,0,0,0,1535,3,1538,5329,27,5356,11735,193,11928,40699,695,41394,663,9,672,1577,41,1618,43,0,43,88492,2286,90778,165424,3520,168944
2,State,Arunachal Pradesh,51,9,60,25,0,25,6,0,6,23,0,23,63,0,63,47,0,47,16,0,16,47,0,47,0,0,0,38,1,39,129,8,137,292,29,321,162,0,162,26,0,26,21,0,21,0,0,0,1178,52,1230,2061,99,2160
3,State,Assam,1629,8,1637,419,0,419,140,1,141,547,0,547,1161,6,1167,1102,6,1108,59,0,59,1749,0,1749,121,0,121,1189,0,1189,4048,14,4062,8714,34,8748,14547,30,14577,414,0,414,480,0,480,8,0,8,21627,43,21670,56793,136,56929
4,State,Bihar,7497,98,7595,8326,47,8373,765,18,783,1400,0,1400,3058,112,3170,2114,107,2221,944,5,949,7231,2,7233,760,0,760,4103,0,4103,8070,41,8111,27535,159,27694,83312,593,83905,2052,20,2072,2207,3,2210,10,0,10,67694,509,68203,224020,1602,225622
5,State,Goa,55,2,57,26,1,27,24,0,24,19,1,20,36,3,39,15,0,15,21,3,24,8,0,8,0,0,0,35,0,35,374,3,377,713,43,756,1251,133,1384,49,8,57,51,0,51,3,0,3,2127,137,2264,4771,331,5102
6,State,Gujarat,2550,171,2721,2653,102,2755,26,5,31,297,9,306,963,73,1036,745,66,811,218,7,225,928,11,939,0,0,0,970,15,985,4407,138,4545,10944,456,11400,11764,566,12330,1733,25,1758,1326,54,1380,23,0,23,81130,4439,85569,119714,6064,125778
7,State,Haryana,1029,51,1080,729,6,735,377,13,390,230,0,230,322,6,328,183,4,187,139,2,141,52,0,52,65,0,65,221,0,221,2163,0,2163,3600,30,3630,2667,51,2718,301,0,301,453,1,454,34,0,34,26704,309,27013,38947,467,39414
8,State,Himachal Pradesh,129,17,146,119,10,129,12,1,13,76,2,78,89,11,100,81,10,91,8,1,9,13,0,13,0,0,0,14,0,14,342,5,347,674,7,681,1270,196,1466,51,3,54,86,2,88,0,0,0,5531,699,6230,8406,953,9359
9,State,Jammu & Kashmir,268,14,282,1156,35,1191,14,1,15,270,0,270,586,2,588,585,2,587,1,0,1,52,9,61,0,0,0,26,0,26,667,0,667,3425,33,3458,7470,485,7955,104,0,104,199,8,207,2,0,2,16629,1245,17874,30868,1832,32700
10,State,Karnataka,2194,126,2320,1266,33,1299,71,2,73,270,1,271,129,397,526,0,397,397,29,0,129,498,0,498,0,0,0,566,2,568,3956,23,3979,8611,142,8753,45094,1810,46904,640,1,641,937,18,955,48,0,48,77326,2055,79381,141606,4610,146216
