SL. No.,Crime Head,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage Recovery - Cases,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery - Value
1,Dacoity,9095,2567,28.2,1576.6,352.6,22.4
2,Robbery,20432,7564,37,2368.2,755.4,31.9
3,Burglary,122717,34422,28,7724.1,2086.5,27
4,Theft,328118,109676,33.4,15404.4,6294.1,40.9
5,Criminal Breach of Trust,14730,4546,30.9,3736.8,1188.5,31.8
6,Others,36060,6753,18.7,2676.9,609.7,22.8
7,Total,531152,165528,31.2,33487,11287,33.7
