SL.No.,Category,State/UT/City,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Foreigners Registration Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Other LSL Crimes,Total Cognizable Crimes Under LSL
1,State,Andhra Pradesh,0,1,236,0,0,1,82,0,0,2,0,0,0,0,0,840,1162
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,34,0,14,9,4,27,0,1,0,0,0,0,328,0,0,9,426
4,State,Bihar,85,0,32,87,0,37,0,42,0,0,0,37,0,0,24,150,494
5,State,Goa,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,7
6,State,Gujarat,0,2,119,0,1249,0,0,2,0,1,0,0,0,0,0,291,1664
7,State,Haryana,4,0,23,14,0,0,0,2,0,0,0,0,0,0,0,8,51
8,State,Himachal Pradesh,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34
9,State,Jammu & Kashmir,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,14
10,State,Karnataka,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,17,29
11,State,Kerala,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4
12,State,Madhya Pradesh,5,0,251,74,0,0,0,98,0,11,0,0,0,0,1,275,715
13,State,Maharashtra,7,0,403,0,471,0,21,4,0,0,0,0,0,0,0,773,1679
14,State,Manipur,2,4,0,69,0,0,0,0,2,0,9,0,0,0,0,0,86
15,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Mizoram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,State,Nagaland,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
18,State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152
19,State,Punjab,23,2,30,13,0,0,0,6,0,0,0,0,2,0,0,2,78
20,State,Rajasthan,5,3,24,7,0,0,0,9,1,0,0,0,0,0,0,50,99
21,State,Sikkim,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,35,45
22,State,Tamil Nadu,0,9,201,0,2022,0,311,0,0,0,0,0,0,0,0,9301,11844
23,State,Tripura,2,0,5,0,4,0,0,0,0,0,0,0,0,0,0,7,18
24,State,Uttar Pradesh,8,0,2,3,0,0,2,0,0,0,0,0,0,0,0,35,50
25,State,West Bengal,0,0,5,0,0,0,0,4,12,0,0,0,0,0,0,22,43
Total (States),State,Total (States),181,23,1363,310,3750,66,418,168,15,21,15,37,330,0,25,11981,18703
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,13
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Total (UTs),UT,Total (UTs),0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,17
Total (All-India),Total (All-India),Total (All-India),181,23,1363,310,3750,66,431,168,15,21,15,37,330,0,25,11985,18720
33,City,Ahmedabad,0,2,36,0,45,0,0,0,0,0,0,0,0,0,0,65,148
34,City,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
35,City,Bombay,0,0,0,0,13,0,21,0,0,0,0,0,0,0,0,247,281
36,City,Calcutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
37,City,Delhi,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,13
38,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,City,Kanpur,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,6
41,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Madras,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,201,848
43,City,Nagpur,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,92,98
44,City,Pune,0,0,45,0,127,0,0,0,0,0,0,0,0,0,0,45,217
