SL. No. (Col. 1),Category (Col. 2),State/UT/City (Col. 3),Total Number of Persons Arrested (Col. 4),New Offenders - Number (Col. 5),New Offenders - Percentage to Total (Col. 6),Old Offenders Convicted in the Past - Once - Number (Col. 7),Old Offenders Convicted in the Past - Once - Percentage to Total (Col. 8),Old Offenders Convicted in the Past - Twice - Number (Col. 9),Old Offenders Convicted in the Past - Twice - Percentage to Total (Col. 10),Old Offenders Convicted in the Past - Thrice or More - Number (Col. 11),Old Offenders Convicted in the Past - Thrice or More - Percentage to Total (Col. 12),Old Offenders Convicted in the Past - Percentage of Recidivists [Col. 8+10+12] (Col. 13)
1,State,Andhra Pradesh,168944,149889,88.7,16302,9.6,2055,1.2,698,0.4,11.3
2,State,Arunachal Pradesh,2160,2138,99,17,0.8,4,0.2,1,0,1
3,State,Assam,56929,56824,99.8,89,0.2,16,0,0,0,0.2
4,State,Bihar,225622,219166,97.1,4839,2.1,1141,0.5,476,0.2,2.9
5,State,Goa,5102,4922,96.5,115,2.3,37,0.7,28,0.5,3.5
6,State,Gujarat,125778,102448,81.5,17145,13.6,3897,3.1,2288,1.8,18.5
7,State,Haryana,39414,35814,90.9,2875,7.3,610,1.5,115,0.3,9.1
8,State,Himachal Pradesh,9359,9099,97.2,173,1.8,75,0.8,12,0.1,2.8
9,State,Jammu & Kashmir,32700,32330,98.9,368,1.1,2,0,0,0,1.1
10,State,Karnataka,146216,137383,94,7821,5.3,806,0.6,206,0.1,6
11,State,Kerala,115327,110704,96,4185,3.6,402,0.3,36,0,4
12,State,Madhya Pradesh,259032,235671,91,15415,6,4977,1.9,2969,0.1,9
13,State,Maharashtra,259966,221029,85,23086,8.9,11875,4.6,3976,1.5,15
14,State,Manipur,2684,2597,96.8,40,1.5,28,1,19,0.7,3.2
15,State,Meghalaya,2129,1957,91.9,71,3.3,71,3.3,30,1.4,8.1
16,State,Mizoram,928,903,97.3,21,2.3,4,0.4,0,0,2.7
17,State,Nagaland,1331,1240,93.2,74,5.6,15,1.1,2,0.2,6.8
18,State,Orissa,81338,70055,86.1,10220,12.6,914,1.1,149,0.2,13.9
19,State,Punjab,16371,14592,89.1,1482,9.1,241,1.5,56,0.3,10.9
20,State,Rajasthan,144673,140235,96.9,3290,2.3,884,0.6,264,0.2,3.1
21,State,Sikkim,541,531,98.2,8,1.5,2,0.4,0,0,1.8
22,State,Tamil Nadu,194063,168160,86.7,12929,6.7,4732,2.4,8242,4.2,13.3
23,State,Tripura,6609,5353,81,787,11.9,298,4.5,171,2.6,19
24,State,Uttar Pradesh,271329,234360,86.4,27416,10.1,6577,2.4,2976,1.1,13.6
25,State,West Bengal,98206,94388,96.1,1291,1.3,228,0.2,2299,2.3,3.9
Total (States),State,Total (States),2266751,2051788,90.5,150059,6.6,39891,1.8,25013,1.1,9.5
26,UT,A & N Islands,1154,1078,93.4,55,4.8,21,1.8,0,0,6.6
27,UT,Chandigarh,6121,5461,89.2,642,10.5,14,0.2,4,0.1,10.8
28,UT,D & N Haveli,460,460,100,0,0,0,0,0,0,0
29,UT,Daman & Diu,235,235,100,0,0,0,0,0,0,0
30,UT,Delhi,23694,23694,100,0,0,0,0,0,0,0
31,UT,Lakshadweep,22,21,95.5,1,4.5,0,0,0,0,4.5
32,UT,Pondicherry,4795,3696,77.1,1008,21,48,1,43,0.9,22.9
Total (UTs),UT,Total (UTs),36481,34645,95,1706,4.7,83,0.2,47,0.1,5
Total (All-India),Total (All-India),Total (All-India),2303232,2086433,90.6,151765,6.6,39974,1.7,25060,1.1,9.4
33,City,Ahmedabad,14768,5466,37,4504,30.5,3138,21.2,1660,11.2,63
34,City,Bangalore,14332,12289,85.7,2006,14,24,0.2,13,0.1,14.3
35,City,Bombay,32299,27997,86.7,2873,8.9,924,2.9,505,1.6,13.3
36,City,Calcutta,15799,15554,98.4,189,1.2,53,0.3,3,0,1.6
37,City,Delhi,22197,22197,100,0,0,0,0,0,0,0
38,City,Hyderabad,7101,6412,90.3,519,7.3,113,1.6,57,0.8,9.7
39,City,Jaipur,6039,5783,95.8,200,3.3,43,0.7,13,0.2,4.2
40,City,Kanpur,5822,5600,96.2,150,2.6,60,1,12,0.2,3.8
41,City,Lucknow,4116,3562,86.5,544,13.2,10,0.2,0,0,13.5
42,City,Madras,13765,13252,96.3,451,3.3,62,0.5,0,0,3.7
43,City,Nagpur,7812,7523,96.3,236,3,44,0.6,9,0.1,3.7
44,City,Pune,17306,14663,84.7,1321,7.6,932,5.4,390,2.3,15.3
