SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,465,44.8,357,29.3,0,0,13,1.5,2,0.1,17,0.4,143,3,997,79.2
2,State,Arunachal Pradesh,10,0.7,5,0.1,0,0,0,0,0,0,2,0,29,1.6,46,2.5
3,State,Assam,304,12.9,66,2.5,2,0,5,0.2,0,0,39,2.4,288,12,704,30
4,State,Bihar,1353,50.5,686,25.1,0,0,90,6,15,15.2,58,6.4,306,7.4,2508,110.5
5,State,Goa,7,1.8,0,0,0,0,1,0.7,0,0,1,0,15,3.6,24,6.1
6,State,Gujarat,241,22.8,75,21.6,1,0.6,15,0.3,2,1.6,21,1.6,451,25.1,806,73.5
7,State,Haryana,17,10.1,31,17.4,0,0,3,0,2,1.3,1,0.3,65,20.5,119,49.6
8,State,Himachal Pradesh,2,0.1,3,0.2,0,0,0,0,0,0,6,4.6,18,4,29,8.9
9,State,Jammu & Kashmir,7,0.5,0,0,0,0,0,0,3,1.5,2,0.1,31,4.6,43,6.6
10,State,Karnataka,181,16.7,20,14,0,0,9,0.2,0,0,16,0.3,267,20.8,493,52.1
11,State,Kerala,53,6.1,12,8.7,0,0,0,0,0,0,1,0,142,456.2,208,471
12,State,Madhya Pradesh,716,14,379,24.2,6,0,17,0.3,32,1.4,62,0.1,1011,39.4,2223,79.4
13,State,Maharashtra,564,82.2,361,53.4,11,1.8,81,4.1,2,0,137,20.4,2277,308.9,3433,470.7
14,State,Manipur,7,2.3,3,0.4,0,0,0,0,1,0.2,1,0,13,4,25,6.9
15,State,Meghalaya,0,0,9,0.2,0,0,0,0,1,4,0,0,28,0.7,38,4.9
16,State,Mizoram,27,0.1,5,0.1,0,0,0,0,0,0,0,0,3,0,35,0.2
17,State,Nagaland,28,5,15,4,0,0,0,0,0,0,16,3.3,32,2.1,91,14.4
18,State,Orissa,341,10.2,42,1.2,0,0,4,0,0,0,3,0.1,208,14.6,598,26.1
19,State,Punjab,163,51.4,56,61.3,0,0,1,0,25,24.5,24,11.4,83,27.7,352,176.4
20,State,Rajasthan,196,13.4,16,4.7,1,0.1,12,0.4,1,0,2,0,835,46.6,1063,65.2
21,State,Sikkim,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
22,State,Tamil Nadu,132,26.3,77,31.4,1,2,6,0,0,0,3,0.1,204,21.5,423,79.5
23,State,Tripura,23,0.3,17,0.4,0,0,0,0,0,0,18,0.5,62,0.1,120,1.3
24,State,Uttar Pradesh,3484,165,1177,93.1,28,4.3,43,2.9,3,8.2,59,5.6,2190,141.6,6984,420.6
25,State,West Bengal,201,22.3,242,38.3,0,0,55,1.6,10,0.4,87,11.4,267,11,862,85.1
Total (States),State,Total (States),8525,559.5,3654,431.5,50,6.9,355,18.3,99,58.4,576,69.1,8968,1177,22227,2320.8
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,2,0.1
27,UT,Chandigarh,3,0.5,0,0,0,0,0,0,0,0,2,0.4,5,11.7,10,12.6
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,5,0.2
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1
30,UT,Delhi,42,10.9,13,1.5,0,0,2,0.4,0,0,36,4.1,121,16.5,214,33.4
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,4,0.8,0,0,0,0,0,0,0,0,0,0,17,0.3,21,1.1
Total (UTs),UT,Total (UTs),49,12.2,13,1.5,0,0,2,0.4,0,0,38,4.5,151,28.8,253,47.4
Total (All-India),Total (All-India),Total (All-India),8574,571.7,3667,433.1,50,6.9,357,18.8,99,58.4,614,73.6,9119,1205.8,22480,2368.2
33,City,Ahmedabad,16,3.9,3,0,0,0,0,0,2,1.6,9,1.2,64,3.5,94,10.2
34,City,Bangalore,66,10.2,5,5.4,0,0,0,0,0,0,9,0.2,108,9.9,188,25.8
35,City,Bombay,121,59.1,47,32.9,1,1.4,1,0,0,0,110,13.6,390,231.5,670,338.5
36,City,Calcutta,31,11.1,84,29.8,0,0,0,0,0,0,29,10.2,11,4,155,55.2
37,City,Delhi,42,10.9,13,1.5,0,0,2,0.4,0,0,36,4.1,107,14.3,200,31.2
38,City,Hyderabad,10,1.9,43,1.4,0,0,0,0,0,0,4,0.3,2,0.2,59,3.8
39,City,Jaipur,0,0,0,0,0,0,0,0,1,0,0,0,34,5.3,35,5.3
40,City,Kanpur,10,1.5,80,3.1,0,0,0,0,0,0,0,0,25,1.9,115,6.6
41,City,Lucknow,42,4.3,68,2.5,0,0,0,0,0,0,0,0,9,1.3,119,8.2
42,City,Madras,26,0.9,29,0.6,0,0,0,0,0,0,2,0.1,29,3.6,87,5.3
43,City,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,323,10.3,323,10.3
44,City,Pune,8,0.2,2,0.1,0,0,0,0,0,0,8,0.3,150,8.4,168,9
