SL. No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,29,2,0,7,16,2,14,3,0,3,106,288,246,0,0,0,242,942
2,State,Arunachal Pradesh,1,0,0,0,0,0,0,0,0,3,4,13,0,0,1,0,23,45
3,State,Assam,6,2,0,16,14,14,0,14,2,3,27,133,188,0,0,0,136,541
4,State,Bihar,73,25,16,48,37,37,0,72,11,45,109,305,340,3,12,0,431,1527
5,State,Goa,0,0,0,1,0,0,0,0,0,0,1,11,11,0,0,0,10,34
6,State,Gujarat,13,8,0,1,11,11,0,1,0,5,93,261,54,2,5,0,492,946
7,State,Haryana,61,24,23,26,18,4,14,3,0,13,215,291,67,13,14,0,1139,1907
8,State,Himachal Pradesh,4,3,1,4,1,1,0,0,0,3,11,16,20,0,2,0,60,125
9,State,Jammu & Kashmir,0,1,1,1,1,0,1,0,0,0,6,7,5,0,0,0,24,46
10,State,Karnataka,8,3,1,3,0,0,0,0,0,3,67,130,75,0,3,0,187,480
11,State,Kerala,5,0,0,5,4,4,0,1,0,0,26,17,56,0,0,0,18,132
12,State,Madhya Pradesh,74,84,3,41,21,19,2,4,0,32,321,572,151,4,8,0,1345,2660
13,State,Maharashtra,155,59,2,85,39,33,6,36,2,121,655,1551,493,21,28,0,3545,6792
14,State,Manipur,3,1,0,2,7,7,0,0,0,1,7,20,3,0,0,1,12,57
15,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,14,23,0,0,0,0,0,37
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,8,23
17,State,Nagaland,2,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,11,33
18,State,Orissa,0,0,0,1,0,0,0,0,0,0,49,67,1,0,0,0,22,140
19,State,Punjab,2,3,1,1,0,0,0,0,0,0,3,15,0,0,0,0,42,67
20,State,Rajasthan,20,29,2,11,6,6,0,2,0,7,68,118,107,1,2,0,184,557
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5,10
22,State,Tamil Nadu,24,7,0,2,0,0,0,0,0,18,307,480,51,0,0,0,125,1014
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,20,22,40,0,0,0,35,117
24,State,Uttar Pradesh,14,4,1,5,2,2,0,0,0,1,6,26,0,0,0,3,0,62
25,State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,6,25
Total (States),State,Total (States),494,255,51,260,177,140,37,136,15,258,2122,4417,1909,44,75,4,8102,18319
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,5,15
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,8
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
30,UT,Delhi,2,0,1,3,2,2,0,0,0,0,3,20,2,3,3,0,46,85
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25
Total (UTs),UT,Total (UTs),2,0,1,3,2,2,0,0,0,0,9,53,7,3,3,0,55,138
Total (All-India),Total (All-India),Total (All-India),496,255,52,263,179,142,37,136,15,258,2131,4470,1916,47,78,4,8157,18457
33,City,Ahmedabad,2,1,0,0,8,8,0,0,0,1,14,68,10,0,0,0,80,184
34,City,Bangalore,0,0,0,0,0,0,0,0,0,1,24,58,1,0,0,0,9,93
35,City,Bombay,4,0,0,2,0,0,0,0,2,0,33,120,6,0,0,0,65,232
36,City,Calcutta,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,19
37,City,Delhi,2,0,1,3,2,2,0,0,0,0,3,20,2,3,3,0,46,85
38,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,23
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,City,Lucknow,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3
42,City,Madras,0,0,0,0,0,0,0,0,0,0,13,91,17,0,0,0,20,141
43,City,Nagpur,2,0,0,0,1,1,0,0,0,0,20,52,0,2,0,0,22,99
44,City,Pune,0,1,0,0,0,0,0,0,0,0,0,11,13,0,1,0,17,43
