SL. No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterferting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,28,2,0,10,23,9,14,6,0,6,127,275,530,0,0,0,317,1324
2,State,Arunachal Pradesh,1,0,0,0,0,0,0,0,0,5,4,27,0,0,1,0,33,71
3,State,Assam,11,2,0,18,33,33,0,41,5,8,114,223,482,0,0,0,137,1074
4,State,Bihar,75,41,16,54,39,39,0,177,11,53,217,767,698,4,15,0,649,2816
5,State,Goa,0,0,0,2,0,0,0,0,0,0,1,21,23,0,0,0,19,66
6,State,Gujarat,14,11,0,2,11,11,0,1,0,6,141,325,75,3,10,0,665,1264
7,State,Haryana,5,0,1,2,3,0,3,0,0,0,17,33,18,0,0,0,67,146
8,State,Himachal Pradesh,4,5,1,4,1,1,0,0,0,3,11,18,27,0,2,0,61,137
9,State,Jammu & Kashmir,0,1,1,1,1,0,1,0,0,0,10,13,17,0,0,0,79,123
10,State,Karnataka,10,2,1,2,0,0,0,0,0,3,66,171,57,0,0,0,138,450
11,State,Kerala,4,0,0,4,4,4,0,1,0,0,20,10,30,0,0,0,10,83
12,State,Madhya Pradesh,86,99,3,41,21,19,2,4,0,40,358,600,175,4,28,0,1278,2737
13,State,Maharashtra,66,25,1,27,12,1,11,9,2,87,428,1167,215,10,16,0,1112,3177
14,State,Manipur,3,0,0,3,9,9,0,0,0,0,4,23,3,0,0,0,21,66
15,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,0,50
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,8,23
17,State,Nagaland,3,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,15,46
18,State,Orissa,0,0,0,1,0,0,0,0,0,0,49,80,1,0,0,0,13,144
19,State,Punjab,2,3,1,1,0,0,0,0,0,0,3,15,0,0,0,0,43,68
20,State,Rajasthan,20,32,2,11,6,6,0,10,0,9,106,130,273,1,2,0,395,997
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,11,29
22,State,Tamil Nadu,50,14,0,4,0,0,0,0,0,36,619,1174,124,0,0,0,297,2318
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,31,39,50,0,0,0,57,177
24,State,Uttar Pradesh,14,4,1,6,2,2,0,0,0,2,7,30,0,0,0,0,6,72
25,State,West Bengal,1,0,0,0,0,0,0,0,0,0,0,29,14,0,0,0,16,60
Total (States),State,Total (States),397,241,28,193,165,134,31,249,18,258,2363,5251,2812,22,74,0,5447,17518
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,5,17
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,10
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4
30,UT,Delhi,2,0,1,3,2,2,0,0,0,0,3,20,2,3,3,0,46,85
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,33
Total (UTs),UT,Total (UTs),2,0,1,3,2,2,0,0,0,0,11,62,10,3,3,0,57,154
Total (All-India),Total (All-India),Total (All-India),399,241,29,196,167,136,31,249,18,258,2374,5313,2822,25,77,0,5504,17672
33,City,Ahmedabad,3,1,0,0,9,9,0,0,0,1,15,82,10,0,0,0,138,259
34,City,Bangalore,0,0,0,0,0,0,0,0,0,1,28,102,1,0,0,0,14,146
35,City,Bombay,4,0,0,2,0,0,0,0,0,0,33,120,6,0,0,0,65,232
36,City,Calcutta,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,25
37,City,Delhi,2,0,1,3,2,2,0,0,0,0,3,20,2,3,3,0,46,85
38,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,23
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,City,Lucknow,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,6
42,City,Madras,0,0,0,0,0,0,0,0,0,0,13,91,17,0,0,0,9,130
43,City,Nagpur,2,0,0,0,1,1,0,0,0,0,23,55,0,2,0,0,22,105
44,City,Pune,0,2,0,0,0,0,0,0,0,0,0,93,58,0,1,0,75,229
