SL. No.,Event,Number of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,1022,213,833,30,1468
2,Anti-Dacoity Operations,139,95,40,12,78
3,Against Extremists and Terrorists,627,364,151,87,182
4,Against Others,215,74,86,13,96
5,Total,2003,746,1110,142,1824
