SL. No.,Category,State/UT/City,Gain - Murder,Gain - Culpable Homocide Not Ampunting to Murder (C.H.),Property Dispute - Murder,Property Dispute - Culpable Homocide Not Ampunting to Murder (C.H.),Personal Venedetta or Enmity - Murder,Personal Venedetta or Enmity - Culpable Homocide Not Ampunting to Murder (C.H.),Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Dowry - Murder,Dowry - Culpable Homocide Not Ampunting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homocide Not Ampunting to Murder (C.H.),Communalism - Murder,Communalism - Culpable Homocide Not Ampunting to Murder (C.H.),Casteism - Murder,Casteism - Culpable Homocide Not Ampunting to Murder (C.H.),Class Conflict - Murder,Class Conflict - Culpable Homocide Not Ampunting to Murder (C.H.),Other Motives - Murder,Other Motives - Culpable Homocide Not Ampunting to Murder (C.H.),Total - Murder,Total - Culpable Homocide Not Ampunting to Murder (C.H.)
1,State,Andhra Pradesh,106,2,157,4,323,2,330,0,42,7,5,0,1,0,0,0,14,0,1321,55,2299,70
2,State,Arunachal Pradesh,3,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,31,7,43,7
3,State,Assam,69,16,283,22,121,15,18,0,12,0,3,0,0,0,0,0,0,0,482,29,988,82
4,State,Bihar,677,77,992,192,604,55,238,6,161,8,10,0,33,0,11,2,8,0,1116,228,3850,568
5,State,Goa,1,1,3,3,3,1,3,0,1,0,1,0,0,0,0,0,0,0,9,7,21,12
6,State,Gujarat,43,7,113,0,85,0,150,0,16,0,9,0,12,0,26,0,44,0,654,18,1152,25
7,State,Haryana,20,1,82,24,117,14,39,4,5,16,0,0,1,0,0,0,0,0,220,70,484,129
8,State,Himachal Pradesh,4,0,17,0,14,0,15,0,2,0,0,0,0,0,0,0,0,0,53,12,105,12
9,State,Jammu & Kashmir,9,2,26,1,18,0,2,1,2,0,0,0,1,0,0,0,0,0,61,5,119,9
10,State,Karnataka,63,0,138,4,117,6,181,0,15,0,3,0,4,0,0,0,0,0,701,37,1222,47
11,State,Kerala,39,0,61,1,141,1,4,4,1,0,8,0,1,1,0,0,4,2,236,20,495,29
12,State,Madhya Pradesh,101,9,296,6,440,12,202,7,32,8,21,2,31,4,0,0,17,2,1607,81,2747,131
13,State,Maharashtra,110,7,192,7,267,7,273,8,102,3,18,0,6,0,0,0,3,0,1755,17,2726,49
14,State,Manipur,3,0,3,0,21,1,2,0,0,0,2,0,0,0,0,0,0,0,51,7,82,8
15,State,Meghalaya,2,0,8,1,11,1,0,0,0,0,3,0,0,0,0,0,0,0,78,0,102,2
16,State,Mizoram,5,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,17,3,29,3
17,State,Nagaland,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11,50,11
18,State,Orissa,17,7,25,8,326,8,44,7,8,7,0,0,0,0,0,0,4,3,197,35,621,75
19,State,Punjab,28,4,95,10,76,5,52,8,7,11,0,0,0,0,0,0,0,0,1409,100,1667,138
20,State,Rajasthan,38,0,103,3,202,8,29,1,90,1,12,0,18,0,1,0,0,0,642,42,1135,55
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
22,State,Tamil Nadu,78,3,188,0,201,1,199,0,10,0,1,0,0,0,0,0,0,0,816,25,1493,29
23,State,Tripura,24,0,19,0,48,0,2,0,2,0,0,0,0,0,0,0,0,0,59,1,154,1
24,State,Uttar Pradesh,698,109,1189,252,1711,342,440,79,325,64,33,6,11,0,0,0,26,12,3161,1187,7594,2051
25,State,West Bengal,172,66,422,125,303,98,54,13,54,22,0,0,51,12,4,0,18,11,543,149,1621,496
Total (States),State,Total (States),2312,311,4412,663,5171,577,2280,138,887,147,129,8,170,17,42,2,138,30,15264,2146,30805,4039
26,UT,A & N Islands,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,11,1
27,UT,Chandigarh,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,11,0,17,1
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,2
29,UT,Daman & Diu,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
30,UT,Delhi,9,0,71,5,75,11,9,0,18,0,0,0,1,2,3,0,0,3,156,36,342,57
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,1,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,39,0
Total (UTs),UT,Total (UTs),12,0,73,5,113,12,11,0,19,0,0,0,1,2,3,0,0,3,185,39,417,61
Total (All-India),Total (All-India),Total (All-India),2324,311,4485,668,5284,589,2291,138,906,147,129,8,171,19,45,2,138,33,15449,2185,31222,4100
33,City,Ahmedabad,12,0,2,0,8,0,11,0,1,0,1,0,0,0,0,0,1,0,60,3,96,3
34,City,Bangalore,9,0,2,0,10,0,6,0,4,0,0,0,0,0,0,0,0,0,80,1,111,1
35,City,Bombay,27,4,24,0,58,0,20,0,9,0,1,0,0,0,0,0,3,0,233,0,375,4
36,City,Calcutta,5,3,9,5,37,13,0,0,3,0,0,0,0,0,0,0,0,0,6,3,60,24
37,City,Delhi,9,0,45,3,66,7,9,0,18,0,0,0,1,2,3,0,0,3,144,16,295,31
38,City,Hyderabad,1,0,3,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,102,9,123,9
39,City,Jaipur,3,0,6,0,5,0,0,0,9,0,0,0,5,0,0,0,0,0,8,1,36,1
40,City,Kanpur,25,3,30,8,5,1,12,5,4,0,5,0,0,0,0,0,0,0,40,11,121,28
41,City,Lucknow,5,1,4,0,26,2,3,0,4,1,0,0,0,0,0,0,0,0,54,26,96,30
42,City,Madras,3,0,4,0,21,0,6,0,0,0,0,0,0,0,0,0,0,0,28,7,62,7
43,City,Nagpur,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,115,1,126,1
44,City,Pune,2,0,2,0,4,0,7,0,6,0,0,0,0,0,0,0,0,0,60,5,81,5
