SL. No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
1,State,Andhra Pradesh,587,0,587,25,3,28,33470,0,33470,5703,199,5902,508,0,508,2420,0,2420,656,1296,1952,5,0,5,0,0,0,400,14,414,0,0,0,7,0,7,81,2,83,4,1,5,62,12,74,647143,7560,654703,691071,9087,700158
2,State,Arunachal Pradesh,26,0,26,14,0,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,12,0,12,57,0,57
3,State,Assam,516,0,516,65,1,66,553,0,553,772,14,786,111,0,111,294,0,294,20,9,29,112,0,112,0,0,0,0,0,0,15,0,15,51,0,51,2989,4,2993,0,0,0,80,2,82,915,6,921,6493,36,6529
4,State,Bihar,3274,13,3287,364,0,346,1039,10,1049,1617,16,1633,15,0,15,630,3,633,32,3,35,695,3,698,26,1,27,2,0,2,0,0,0,914,16,930,0,0,0,0,0,0,919,134,1053,4284,36,4320,13811,235,14046
5,State,Goa,6,0,6,64,10,74,1166,1,1167,9,0,9,0,0,0,0,0,0,0,107,107,11,0,11,15,3,18,3,0,3,2,1,3,4,0,4,0,0,0,0,0,0,0,0,0,657,29,686,1937,151,2088
6,State,Gujarat,402,6,408,472,18,490,34727,13,34740,0,0,0,120106,26418,146524,91,3,94,21,13,34,562,5,567,170,5,175,224,9,233,113,0,113,370,0,370,105,0,105,0,0,0,9,0,9,42136,2237,44373,199508,28727,228235
7,State,Haryana,1292,0,1292,1141,6,1147,4657,4,4661,12357,11,12368,0,0,0,14,0,14,5,7,12,366,0,366,2,0,2,1,0,1,5,0,5,206,2,208,49,0,49,0,0,0,0,0,0,2530,14,2544,22625,44,22669
8,State,Himachal Pradesh,34,0,34,80,0,80,48,0,48,3352,899,4251,0,0,0,12,1,13,0,0,0,0,0,0,28,1,29,23,3,26,0,0,0,51,0,51,0,0,0,0,0,0,7,1,8,532,15,547,4167,920,5087
9,State,Jammu & Kashmir,146,0,146,201,2,203,235,0,235,18,0,18,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,1,0,1,62,6,68,498,0,498,163,0,163,0,0,0,6,1,7,441,35,476,1804,44,1848
10,State,Karnataka,88,0,88,141,20,161,15748,0,15748,1618,106,1724,30,0,30,127,1,128,236,3287,3523,51,0,51,71,12,83,2381,150,2531,5,1,6,759,2,761,0,0,0,0,0,0,456,170,626,360904,641,361545,382615,4390,387005
