SL. No.,State/UT,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cog. Crimes Under IPC
1,Andhra Pradesh,Aurangabad,17,2,0,7,19,18,1,5,1,66,457,1203,73,30,51,0,834,2765
2,Andhra Pradesh,Hyderabad,123,97,9,16,47,47,0,13,0,59,1367,3241,306,60,424,29,2272,8063
3,Andhra Pradesh,Vijayawada,20,9,0,6,11,11,0,4,0,21,421,1210,57,33,66,0,3558,5416
4,Andhra Pradesh,Vishakapatnam,35,36,2,25,31,23,8,15,2,23,256,981,83,37,109,5,2444,4082
1,Assam,Guwahati,30,9,3,38,105,105,0,36,20,68,630,1772,396,109,144,1,1522,4865
1,Bihar,Patna,125,170,18,5,76,66,10,60,3,192,270,2144,242,102,75,0,2904,6403
2,Bihar,Ranchi,87,65,12,13,32,10,22,37,0,141,221,743,84,17,45,2,1441,2943
1,Gujarat,Ahmedabad,96,114,3,13,125,97,28,16,0,94,810,4186,183,124,163,20,7417,13364
2,Gujarat,Bhavnagar,9,6,0,2,5,5,0,1,0,12,48,181,32,20,12,4,616,948
3,Gujarat,Rajkot,23,8,0,4,27,19,8,1,0,12,139,427,79,35,28,4,1558,2345
4,Gujarat,Surat,59,15,0,8,43,31,12,6,0,32,272,1001,219,39,39,1,2219,3953
5,Gujarat,Vadodara,33,42,7,8,45,45,0,15,0,28,492,2497,141,70,80,7,3084,6549
1,Karnataka,Bangalore,111,43,1,31,80,27,53,19,0,188,1712,7399,241,326,272,657,11572,23107
2,Karnataka,Belgaum,16,4,0,3,18,18,0,2,0,13,154,239,114,14,98,4,1090,1769
3,Karnataka,Bijapur,9,17,0,1,8,8,0,1,0,5,60,87,97,7,24,2,327,645
4,Karnataka,Dharwad,13,7,0,0,6,2,4,2,0,4,128,156,89,2,20,0,201,628
5,Karnataka,Gudagbetgery,6,3,0,0,3,2,1,2,0,0,33,47,20,7,12,0,193,326
6,Karnataka,Gulbarga,8,2,2,1,3,3,0,3,0,5,108,142,47,5,13,3,287,629
7,Karnataka,Hubli,11,8,0,5,9,3,6,2,0,4,148,210,68,14,40,16,391,926
8,Karnataka,Mangalore,7,5,0,0,2,2,0,0,0,3,42,70,85,4,10,9,88,325
9,Karnataka,Mysore,11,4,1,2,4,4,0,3,0,10,271,547,26,23,32,3,885,1822
10,Karnataka,Raichur,5,6,0,2,5,3,2,3,0,3,44,65,19,5,8,0,75,240
11,Karnataka,Tumkur,10,0,0,3,2,2,0,1,0,9,120,174,54,5,13,0,803,1194
1,Kerala,Calicut,10,6,2,3,6,5,1,3,0,6,160,195,264,23,90,6,1953,2727
2,Kerala,Cochin,13,8,0,6,3,0,3,2,0,8,297,304,188,20,74,4,2205,3132
3,Kerala,Trivandrum,18,48,1,10,8,7,1,11,0,15,339,398,415,29,86,0,2111,3489
1,Madhya Pradesh,Bhopal,42,68,0,65,29,29,0,3,1,170,778,2433,154,11,49,0,6221,10024
2,Madhya Pradesh,Durgbhilai,21,28,0,38,19,19,0,4,0,70,389,921,58,14,30,0,4063,5655
3,Madhya Pradesh,Gwalior,51,79,0,13,30,25,5,1,6,75,526,716,101,15,44,0,2666,4323
4,Madhya Pradesh,Indore,35,128,2,29,65,65,0,9,1,76,987,2635,108,31,52,0,6796,10954
5,Madhya Pradesh,Jabalpur,43,101,1,34,22,22,0,1,1,78,922,1397,60,10,68,1,2332,5071
1,Maharashtra,Bombay,375,197,4,108,267,201,66,56,28,670,2282,14802,261,1028,1196,47,15988,37309
2,Maharashtra,Nagpur,126,52,1,50,74,57,17,20,0,323,856,2612,241,99,222,28,4664,9368
3,Maharashtra,Pune,81,65,5,28,47,38,9,21,2,168,872,2887,291,93,137,20,5663,10380
4,Maharashtra,Solapur,21,11,0,8,7,3,4,3,0,13,136,323,40,15,37,13,850,1477
5,Maharashtra,Thane,44,22,1,11,31,20,11,12,4,71,347,976,102,60,59,4,1324,3068
1,Punjab,Amritsar,23,49,1,5,18,8,10,1,4,25,32,98,11,10,46,2,183,508
2,Punjab,Jalandhar,13,7,1,3,2,1,1,0,0,4,43,74,0,5,11,0,211,374
3,Punjab,Ludhiana,30,33,10,3,11,11,0,1,10,35,84,94,0,7,24,0,365,707
4,Punjab,Patiala,12,15,7,2,6,5,1,0,0,4,44,58,0,10,19,0,690,867
1,Rajasthan,Ajmer,13,14,4,1,32,32,0,0,0,14,130,214,111,18,82,0,596,1229
2,Rajasthan,Bikaner,5,0,0,3,6,6,0,0,0,2,76,161,58,18,36,0,503,868
3,Rajasthan,Jaipur,36,25,1,19,124,122,2,1,3,35,424,1480,827,132,255,15,2892,6269
4,Rajasthan,Jodhpur,16,43,2,10,26,20,6,0,0,20,143,385,106,23,95,2,802,1673
