SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1979,160310,9733,170043,5.7
2,1980,178129,9456,187585,5
3,1981,181888,8679,190567,4.6
4,1982,157664,10673,168337,6.3
5,1983,160513,11101,171614,6.5
6,1984,149755,12505,162260,7.7
7,1985,157107,11392,168499,6.8
8,1986,159977,10172,170149,6
9,1987,166407,13555,179962,7.5
10,1988,33065,5103,38168,13.4
11,1989,24777,11615,36392,31.9
