SL. No.,Crime Head,1979 - Incidence,1979 - Volume,1984 - Incidence,1984 - Volume,1985 - Incidence,1985 - Volume,1986 - Incidence,1986 - Volume,1987 - Incidence,1987 - Volume,1988 - Incidence,1988 - Volume,Quinquennial Avg. 1984-1988 (Q.A.) - Incidence,Quinquennial Avg. 1984-1988 (Q.A.) - Volume,1989 - Incidence,1989 - Volume,"Percentage Change in 1989 ((+) Increase, (-) Decrease) Over - 1979","Percentage Change in 1989 ((+) Increase, (-) Decrease) Over - Quinquennial Avg. (Q.A.)","Percentage Change in 1989 ((+) Increase, (-) Decrease) Over - 1988"
1,Arms Act,61776,9.5,59205,8,61987,8.3,56954,7.4,53577,6.9,52601,6.6,56865,7,54637,6.7,-11.6,-3.9,3.9
2,Narcotic Drugs & Psychotropic Substances Act,12923,2,14440,2,14277,1.9,13253,1.7,9442,1.2,13357,1.7,12954,1.6,12831,1.6,-0.7,-0.9,-3.9
3,Gambling Act,217501,33.4,176829,24,179419,23.9,163097,21.3,166429,21.3,171024,21.5,171360,21.1,162966,20.1,-25.1,-4.9,-4.7
4,Excise Act,123979,19,107967,14.7,106163,14.1,95011,12.4,91696,11.7,88419,11.1,97851,12.1,90118,11.1,-27.3,-7.9,1.9
5,Prohibition Act,608810,93.5,365526,49.7,356840,47.5,365300,47.7,553138,70.8,640011,80.3,456163,56.2,710928,87.6,16.8,55.8,11.1
6,Explosive & Explosive Substances Act,1771,0.3,2905,0.4,3373,0.4,3205,0.4,3304,0.4,3712,0.5,3300,0.4,4322,0.5,144,31,16.4
7,Immoral Traffic (Prevention) Act,14196,2.2,14209,1.9,14815,2,14403,1.9,13453,1.7,15989,2,14574,1.8,13466,1.7,-5.1,-7.6,-15.8
8,Indian Railways Act,28692,4.4,36749,5,32478,4.3,37460,4.9,19429,2.5,37438,4.7,32711,4,35664,4.4,24.3,9,-4.7
9,Foreigner's Registration Act,*,NA,*,NA,*,NA,*,NA,*,NA,1119,0.1,*,NA,1969,0.2,NA,NA,76
10,Protection Of Civil Rights Act,*,NA,*,NA,*,NA,*,NA,*,NA,2966,0.4,*,NA,3443,0.4,NA,NA,16.1
11,Indian Passport Act,*,NA,*,NA,*,NA,*,NA,*,NA,729,0.1,*,NA,628,0.1,NA,NA,-13.9
12,Essential Commodities Act,*,NA,*,NA,*,NA,*,NA,*,NA,5829,0.7,*,NA,11149,1.4,NA,NA,91.3
13,Terrorist & Disruptive Activites Act,*,NA,*,NA,*,NA,*,NA,*,NA,763,0.1,*,NA,1773,0.2,NA,NA,132.4
14,Antiquity & Art Treasure Act,*,NA,*,NA,*,NA,*,NA,*,NA,12,0,*,NA,11,0,NA,NA,-8.3
15,Dowry Prohibition Act,*,NA,*,NA,*,NA,*,NA,*,NA,2064,0.3,*,NA,1918,0.2,NA,NA,-7.1
16,Other L & SL Crimes,1753900,269.4,2138978,290.8,2327129,309.9,2235971,291.9,2678858,342.8,2729636,342.7,2422114,298.4,2741842,337.7,56.3,13.2,0.4
17,Total Cognizable Crimes Under L & SL,2823568,433.7,2916808,396.5,3096481,412.4,2984654,389.6,3589326,459.3,3765669,472.7,3270588,402.9,3847665,474,36.3,17.6,2.2
