SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,16,14,31,27,685,585,8627,7095,9359,7721
2,State,Arunachal Pradesh,2,1,12,3,49,33,1452,1170,1515,1207
3,State,Assam,36,36,124,124,720,720,18020,18008,18900,18888
4,State,Bihar,23,23,63,63,1102,1102,15890,15890,17078,17078
5,State,Goa,1,1,4,3,42,21,660,524,707,549
6,State,Gujarat,11,11,33,26,387,339,11809,10508,12240,10884
7,State,Haryana,7,7,16,15,299,294,4405,4390,4727,4706
8,State,Himachal Pradesh,5,5,16,16,159,159,3163,3163,3343,3343
9,State,Jammu & Kashmir,25,25,80,79,522,437,8500,7843,9127,8384
10,State,Karnataka,7,5,15,15,209,203,4712,4712,4943,4935
11,State,Kerala,15,15,29,27,254,209,6088,2685,6386,2936
12,State,Madhya Pradesh,32,32,125,125,2353,2353,22164,22164,24674,24674
13,State,Maharashtra,12,12,40,40,700,700,11200,11200,11952,11952
14,State,Manipur,25,14,54,34,260,187,6120,5912,6459,6147
15,State,Meghalaya,4,3,17,15,76,64,1985,1791,2082,1873
16,State,Mizoram,3,3,19,19,86,84,1769,1642,1877,1748
17,State,Nagaland,13,13,80,73,299,298,8064,8064,8456,8448
18,State,Orissa,17,17,80,74,424,406,6667,6560,7188,7057
19,State,Punjab,42,33,70,33,497,428,9102,8043,9711,8537
20,State,Rajasthan,14,14,40,40,273,240,7624,7507,7951,7801
21,State,Sikkim,1,1,5,5,30,30,864,864,900,900
22,State,Tamil Nadu,2,9,44,43,741,1061,2520,3100,3307,4213
23,State,Tripura,10,9,46,23,185,186,4009,2521,4250,2739
24,State,Uttar Pradesh,42,40,138,121,1172,1172,32644,32644,33996,33977
25,State,West Bengal,50,42,113,104,1020,730,21767,18797,22950,19673
Total (States),State,Total (States),415,385,1294,1147,12544,12041,219825,206797,234078,220370
26,UT,A & N Islands,1,1,1,1,19,19,496,493,517,514
27,UT,Chandigarh,0,0,1,1,32,27,1065,1002,1098,1030
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,11,10,30,28,551,499,10091,8474,10683,9011
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,30,26,734,628,764,654
Total (UTs),UT,Total (UTs),12,11,32,30,632,571,12386,10597,13062,11209
Total (All-India),Total (All-India),Total (All-India),427,396,1326,1177,13176,12612,232211,217394,247140,231579
33,City,Ahmedabad,1,1,3,2,26,10,2529,2009,2559,2022
34,City,Bangalore,3,2,10,10,157,157,3221,3072,3391,3241
35,City,Bombay,0,0,0,0,336,336,6470,6806,6806,7142
36,City,Calcutta,9,9,34,30,320,291,7384,6899,7747,7229
37,City,Delhi,11,10,30,28,551,499,10091,8474,10683,9011
38,City,Hyderabad,2,2,3,3,112,91,1864,1700,1981,1796
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,34,31,1898,1866,1932,1897
42,City,Madras,0,0,0,0,0,0,0,0,0,0
43,City,Nagpur,0,0,0,0,0,0,0,0,0,0
44,City,Pune,0,0,0,0,77,77,1472,1472,1549,1549
