SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,6410,439.1,0,0,0,0,0,0,11,0.6,496,23,834,36.2,7751,499
2,State,Arunachal Pradesh,181,9.9,0,0,0,0,0,0,0,0,25,4.4,41,4.5,247,18.8
3,State,Assam,3403,7.2,0,0,5,0.2,2,0.8,0,0,248,4.9,207,71.2,3865,83.6
4,State,Bihar,7887,210.8,0,0,0,0,81,0,0,0,418,18.9,255,1,8641,231.5
5,State,Goa,353,26.8,0,0,9,0.8,0,0,3,0,38,5.3,120,7.1,523,40
6,State,Gujarat,3759,510.9,1,0,17,1.2,0,0,5,0,498,171.6,1491,51.8,5771,735.6
7,State,Haryana,2108,146.2,0,0,0,0,2,0,1,0,6,0.3,528,43.6,2645,190.2
8,State,Himachal Pradesh,648,31.4,0,0,0,0,0,0,0,0,0,0,155,29.5,803,60.9
9,State,Jammu & Kashmir,938,49.6,0,0,0,0,0,0,0,0,197,6.9,516,29,1651,85.6
10,State,Karnataka,6528,291.7,0,0,0,0,8,0,0,0,789,36.2,507,38.7,7832,366.6
11,State,Kerala,3051,433.8,3,6.5,4,0.4,0,0,19,1.6,427,53.7,1272,115.3,4776,611.3
12,State,Madhya Pradesh,17849,286.6,3,0,0,0,211,5.6,169,5.9,730,37.5,2217,249.6,21179,585.2
13,State,Maharashtra,11561,1196.3,0,0,0,0,14,0.2,11,1.2,1043,415.3,3861,92.4,16490,1705.4
14,State,Manipur,110,6.1,1,0,0,0,0,0,1,0,27,3.1,42,12.3,181,21.5
15,State,Meghalaya,116,6.8,0,0,0,0,0,0,0,0,42,6.3,18,0.8,176,13.9
16,State,Mizoram,58,4.6,3,0,0,0,0,0,0,0,0,0,100,2.2,161,6.8
17,State,Nagaland,170,1.3,0,0,0,0,0,0,0,0,78,20.9,28,4.2,276,26.4
18,State,Orissa,2341,65.2,0,0,0,0,0,0,0,0,0,0,2267,86.9,4608,152.1
19,State,Punjab,1092,227.7,0,0,0,0,0,0,18,2.6,84,29.7,219,32.7,1413,292.7
20,State,Rajasthan,5261,346,0,0,0,0,5,0,0,0,105,12.2,1751,95.9,7122,454.1
21,State,Sikkim,21,2,0,0,0,0,0,0,0,0,0,0,29,4,50,6.1
22,State,Tamil Nadu,6102,350.1,1,0,0,0,4,0.1,22,0.2,229,17.5,2063,14.6,8421,382.5
23,State,Tripura,409,3.9,0,0,0,0,0,0,0,0,132,0.9,148,0.7,689,5.5
24,State,Uttar Pradesh,16291,791.6,65,0.9,0,0,0,0,2,0,6,1.2,3043,77.9,19407,871.7
25,State,West Bengal,1582,37.8,0,0.4,0,0,11,0.2,0,0,99,3.9,493,1.3,2185,43.7
Total (States),State,Total (States),98229,5483.7,77,7.9,35,2.7,338,6.9,262,12.2,5717,873.6,22205,1103.6,126863,7490.6
26,UT,A & N Islands,10,0.2,0,0,0,0,0,0,0,0,0,0,93,4.3,103,4.5
27,UT,Chandigarh,157,21.3,0,0,0,0,0,0,0,0,11,1.3,18,1.5,186,24.2
28,UT,D & N Haveli,15,0.9,0,0,0,0,0,0,0,0,0,0,21,0,36,0.9
29,UT,Daman & Diu,10,0.5,0,0,0,0,0,0,1,0,1,0,0,0,12,0.6
30,UT,Delhi,1206,169.2,14,1,0,0,0,0,0,0,190,16.6,149,4.5,1559,191.2
31,UT,Lakshadweep,7,0.2,0,0,0,0,0,0,0,0,0,0,1,0,8,0.3
32,UT,Pondicherry,251,11.8,0,0,0,0,0,0,0,0,0,0,2,0.1,253,11.9
Total (UTs),UT,Total (UTs),1656,204.2,14,1,0,0,0,0,1,0,202,17.9,284,10.4,2157,233.5
Total (All-India),Total (All-India),Total (All-India),99885,5687.9,91,8.9,35,2.7,338,6.9,263,12.2,5919,891.5,22489,1114,129020,7724.1
33,City,Ahmedabad,488,48.2,0,0,0,0,0,0,0,0,175,3.2,147,10.4,810,61.9
34,City,Bangalore,1395,87.2,0,0,0,0,0,0,0,0,119,7.9,198,31.5,1712,126.5
35,City,Bombay,1482,215.8,0,0,0,0,0,0,3,0.9,451,116.4,346,217.7,2282,550.8
36,City,Calcutta,315,24.5,0,0,0,0,0,0,0,0,47,3.7,13,1.1,375,29.4
37,City,Delhi,1126,158,14,1,0,0,0,0,0,0,190,16.6,120,3.8,1450,179.3
38,City,Hyderabad,1018,104.2,0,0,0,0,0,0,0,0,349,9.5,0,0,1367,113.7
39,City,Jaipur,280,33.1,0,0,0,0,0,0,0,0,4,0,140,10.2,424,43.3
40,City,Kanpur,450,28.2,0,0,0,0,0,0,0,0,6,1.2,83,7.9,539,37.3
41,City,Lucknow,604,33.3,0,0,0,0,0,0,0,0,0,0,0,0,604,33.3
42,City,Madras,355,5.3,0,0,0,0,0,0,0,0,22,5,84,12.5,461,22.9
43,City,Nagpur,855,56.2,0,0,0,0,0,0,0,0,1,0.4,0,0,856,56.6
44,City,Pune,387,28.9,0,0,0,0,0,0,1,0,61,7.9,423,9.8,872,46.6
