SL. No.,Rank,Killed - in Dacoity Operation or Other Raids,Killed - by Riotous Mobs,Killed - by Other Criminals,Killed - on Border Duties,Killed - in Accidents,Killed - Total,Injured - in Dacoity Operation or Other Raids,Injured - by Riotous Mobs,Injured - by Other Criminals,Injured - on Border Duties,Injured - in Accidents,Injured- Total
1,Constables,16,11,109,11,193,340,301,1826,650,38,294,3109
2,Head Constables,11,2,22,1,52,88,44,285,92,2,50,473
3,Asstt. Sub-Inspector,2,0,15,0,11,28,14,85,41,2,22,164
4,Sub-Inspector,4,1,16,1,20,42,78,229,62,6,42,417
5,Inspector,0,2,0,0,4,6,16,73,36,6,18,149
6,Others Gazetted Officers,0,1,3,0,8,12,35,85,18,0,9,147
7,Total,33,17,165,13,288,516,488,2583,899,54,435,4459
