SL. No.,Crime Head,Number of Cases Reported During - 1988,Number of Cases Reported During - 1989,Percentage Change in 1989 Over 1988
1,Arms Act,268,240,-10.4
2,Narcotic Drugs & Psychotropic Substances Act,56,20,-64.3
3,Gambling Act,4125,3132,-24.1
4,Excise Act,971,851,-12.4
5,Prohibition Act,8632,5869,-32
6,Explosive & Explosive Substances Act,78,48,-38.5
7,Immoral Traffic (Prevention) Act,406,152,-62.6
8,Indian Railways Act,228,192,-15.8
9,Foreigner's Registration Act,4,3,-25
10,Protection Of Civil Rights Act,28,15,-46.4
11,Indian Passport Act,0,5,@
12,Essential Commodities Act,65,33,-49.2
13,Terrorist & Disruptive Activites Act,6,54,800
14,Antiquity & Art Treasure Act,0,0,0
15,Dowry Prohibition Act,48,25,-47.9
16,Other LSL Crimes,10553,7898,-25.2
17,Total Cognizable Crimes Under LSL,25468,18537,-27.2
