SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,132,130,241,235,4517,3898,50534,43336,55424,47599
2,State,Arunachal Pradesh,14,9,34,18,393,386,2872,1975,3313,2388
3,State,Assam,117,117,150,150,4520,4510,17576,17565,22363,22342
4,State,Bihar,196,196,391,391,11745,11745,47905,47905,60237,60237
5,State,Goa,4,4,15,11,266,224,1816,1665,2101,1904
6,State,Gujarat,86,85,144,122,2710,2562,46646,43885,49586,46654
7,State,Haryana,48,48,96,96,2257,2201,21150,21102,23551,23447
8,State,Himachal Pradesh,66,66,77,70,969,913,7086,6871,3198,7920
9,State,Jammu & Kashmir,70,66,111,104,1926,1568,14538,14061,16645,15799
10,State,Karnataka,95,95,163,163,3396,3302,38332,37940,41986,41500
11,State,Kerala,66,66,155,154,2138,1974,27626,23895,29985,26089
12,State,Madhya Pradesh,214,214,589,589,9837,9837,72626,72626,83266,83266
13,State,Maharashtra,142,142,335,335,13075,13075,94200,94200,107752,107752
14,State,Manipur,34,31,51,43,1136,791,4116,3736,5337,4601
15,State,Meghalaya,29,20,32,30,1048,853,5044,4523,6153,5426
16,State,Mizoram,18,17,38,35,432,398,1426,1426,1914,1876
17,State,Nagaland,33,33,32,32,703,669,6845,6835,7613,7569
18,State,Orissa,125,125,187,157,5193,4884,21096,20151,26601,25317
19,State,Punjab,106,91,207,168,5079,4051,36748,35529,42140,39839
20,State,Rajasthan,218,218,242,241,4781,3999,38388,34760,43629,39218
21,State,Sikkim,25,25,38,38,200,200,1126,1126,1389,1389
22,State,Tamil Nadu,139,125,318,291,5287,4704,57184,52993,62928,58113
23,State,Tripura,41,28,38,29,1300,1186,6047,4505,7426,5748
24,State,Uttar Pradesh,313,275,763,590,12351,12351,113631,113631,127058,126847
25,State,West Bengal,127,124,222,214,9594,8897,44757,43031,54700,52266
Total (States),State,Total (States),2458,2350,4669,4306,104853,99178,779315,749272,891295,855106
26,UT,A & N Islands,2,2,9,9,124,118,1222,1204,1357,1333
27,UT,Chandigarh,4,3,8,8,308,258,1818,1864,2138,2133
28,UT,D & N Haveli,1,1,0,0,12,6,207,201,220,208
29,UT,Daman & Diu,1,1,1,1,17,17,207,207,226,226
30,UT,Delhi,51,50,152,139,8139,6759,31571,26663,39913,33611
31,UT,Lakshadweep,1,1,1,1,49,44,297,289,348,335
32,UT,Pondicherry,3,3,14,14,102,102,987,977,1106,1096
Total (UTs),UT,Total (UTs),63,61,185,172,8751,7304,36309,31405,45308,38942
Total (All-India),Total (All-India),Total (All-India),2521,2411,4854,4478,113604,106482,815624,780677,936603,894048
33,City,Ahmedabad,11,11,13,13,447,384,5888,4767,6359,5175
34,City,Bangalore,8,8,17,17,715,714,6968,6946,7708,7685
35,City,Bombay,26,26,81,81,4530,4241,25915,19487,30552,23835
36,City,Calcutta,22,21,49,41,2903,2646,10674,10099,13648,12807
37,City,Delhi,51,50,152,139,8139,6759,31571,26663,39913,33611
38,City,Hyderabad,14,14,31,31,592,568,5170,4285,5807,4898
39,City,Jaipur,5,5,9,9,442,426,4445,4423,4901,4863
40,City,Kanpur,3,3,13,13,523,523,4899,4899,5438,5438
41,City,Lucknow,4,4,13,13,426,399,2849,2773,3292,3189
42,City,Madras,12,12,47,46,869,852,9427,8054,10355,8964
43,City,Nagpur,5,5,12,12,418,391,3496,3428,3931,3836
44,City,Pune,6,6,12,12,421,421,3020,3020,3459,3459
