SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,2,1,1,1,16,20,322,504,341,526
2,State,Arunachal Pradesh,0,0,0,0,13,9,52,44,65,53
3,State,Assam,0,0,0,0,22,22,201,199,223,221
4,State,Bihar,2,2,2,2,44,44,245,245,293,293
5,State,Goa,0,0,0,0,4,6,165,78,169,84
6,State,Gujarat,0,2,0,0,29,26,719,663,748,691
7,State,Haryana,0,0,0,0,19,19,169,169,188,188
8,State,Himachal Pradesh,0,0,0,0,3,4,41,191,44,195
9,State,Jammu & Kashmir,0,0,0,0,13,13,162,85,175,98
10,State,Karnataka,1,1,0,0,28,27,303,302,332,330
11,State,Kerala,0,0,0,0,25,6,467,236,492,242
12,State,Madhya Pradesh,0,0,1,1,144,144,835,835,980,980
13,State,Maharashtra,0,0,3,3,151,151,1273,1273,1427,1427
14,State,Manipur,0,0,0,1,1,6,243,235,244,242
15,State,Meghalaya,0,0,0,0,4,24,40,63,44,87
16,State,Mizoram,0,0,0,0,0,5,0,55,0,60
17,State,Nagaland,0,0,0,0,15,9,22,22,37,31
18,State,Orissa,0,0,1,1,59,56,169,167,229,224
19,State,Punjab,0,1,0,0,18,23,181,397,199,421
20,State,Rajasthan,0,0,1,1,28,28,479,455,508,484
21,State,Sikkim,0,0,0,0,10,10,3,3,13,13
22,State,Tamil Nadu,0,0,0,0,88,80,770,696,858,776
23,State,Tripura,0,0,0,0,22,19,175,158,197,177
24,State,Uttar Pradesh,0,0,0,0,53,53,1283,1283,1336,1336
25,State,West Bengal,0,0,1,0,132,121,259,181,392,302
Total (States),State,Total (States),5,7,10,10,941,925,8578,8539,9534,9481
26,UT,A & N Islands,0,0,0,0,3,3,42,42,45,45
27,UT,Chandigarh,0,0,0,0,2,8,22,56,24,64
28,UT,D & N Haveli,0,0,0,0,0,0,0,12,0,12
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,2,1,3,348,297,841,572,1190,874
31,UT,Lakshadweep,0,0,0,0,1,0,7,7,8,7
32,UT,Pondicherry,0,0,0,0,2,2,12,12,14,14
Total (UTs),UT,Total (UTs),0,2,1,3,356,310,924,701,1281,1016
Total (All-India),Total (All-India),Total (All-India),5,9,11,13,1297,1235,9502,9240,10815,10497
33,City,Ahmedabad,0,0,0,0,5,5,132,122,137,127
34,City,Bangalore,0,0,0,0,19,19,133,130,152,149
35,City,Bombay,0,0,3,2,111,111,405,256,519,369
36,City,Calcutta,0,0,1,0,77,75,80,78,158,153
37,City,Delhi,0,2,1,3,348,297,841,572,1190,874
38,City,Hyderabad,0,0,0,0,9,9,119,51,128,60
39,City,Jaipur,0,0,1,1,6,3,68,65,75,69
40,City,Kanpur,0,0,0,0,4,4,43,43,47,47
41,City,Lucknow,0,0,0,0,4,4,43,43,47,47
42,City,Madras,0,0,0,0,9,9,122,119,131,128
43,City,Nagpur,0,0,0,0,5,5,54,54,59,59
44,City,Pune,0,0,0,0,6,6,82,82,88,88
