SL. No.,Nature of Property,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage Recovery - Cases,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery - Value
1,Communication and Electric Wire,11934,3817,32,446.6,105.3,23.6
2,Cattle,13417,6257,46.6,346.7,181.2,52.3
3,Cycle,36624,16179,44.2,213.6,100.2,46.9
4,"Motor Cars including Lorries, Buses Etc.",8780,3560,40.5,3026,1947.4,64.4
5,"MotorCycle, Scooters etc.",16433,6851,41.7,2537.1,1337.5,52.7
6,Fire Arms,1103,311,28.2,56.4,20.4,36.2
7,Explosives,279,94,33.7,22.9,15.8,69
8,Electronic Eqpt.,6488,1504,23.2,147.2,50.4,34.3
9,Cultural Property including Antiques,1092,307,28.1,56.7,34.2,60.3
10,other kind of Property Stolen,435002,126648,29.1,26633.7,7494.4,28.1
11,Total,531152,165528,31.2,33487,11287,33.7
