SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Foreigners Registration Act - Incidence (I),Foreigners Registration Act - Volume (V),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Volume (V),Indian Passport Act - Incidence (I),Indian Passport Act - Volume (V),Essential Commodities Act - Incidence (I),Essential Commodities Act - Volume (V),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Volume (V),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Volume (V),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Volume (V),Other LSL Crimes - Incidence (I),Other LSL Crimes - Volume (V),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Volume (V)
1,State,Andhra Pradesh,510,0.8,19,0,32366,51.8,5860,9.4,508,0.8,454,0.7,1633,2.6,19,0,0,0,325,0.5,0,0,5,0,58,0.1,5,0,36,0.1,652701,1045.3,694499,1112.2
2,State,Arunachal Pradesh,10,1.3,14,1.8,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,14,1.8,42,5.3
3,State,Assam,364,1.5,60,0.2,237,1,706,2.9,90,0.4,167,0.7,9,0,53,0.2,0,0,0,0,15,0.1,34,0.1,1182,4.9,0,0,64,0.3,918,3.8,3899,16.2
4,State,Bihar,2390,2.9,337,0.4,336,0.4,1070,1.3,3,0,552,0.7,11,0,769,0.9,3,0,3,0,0,0,748,0.9,0,0,0,0,377,0.5,3575,4.3,10174,12.2
5,State,Goa,5,0.4,63,5.2,890,73,1,0.1,0,0,3,0.2,97,8,11,0.9,18,1.5,2,0.2,3,0.2,2,0.2,0,0,0,0,0,0,703,57.6,1798,147.4
6,State,Gujarat,271,0.7,325,0.8,13302,33.3,0,0,133366,333.9,89,0.2,2,0,1420,3.6,54,0.1,104,0.3,8,0,200,0.5,44,0.1,0,0,3,0,31830,79.7,181018,453.1
7,State,Haryana,1302,8.2,1130,7.1,2149,13.5,11406,71.6,0,0,14,0.1,2,0,331,2.1,2,0,1,0,2,0,197,1.2,15,0.1,0,0,0,0,2007,12.6,18558,116.5
8,State,Himachal Pradesh,35,0.7,72,1.4,29,0.6,4081,82.1,0,0,6,0.1,0,0,1,0,23,0.5,12,0.2,0,0,19,0.4,1,0,1,0,5,0.1,313,6.3,4598,92.5
9,State,Jammu & Kashmir,161,2.2,186,2.6,49,0.7,28,0.4,0,0,328,4.6,0,0,0,0,6,0.1,0,0,61,0.8,409,5.7,252,3.5,0,0,6,0.1,352,4.9,1838,25.6
10,State,Karnataka,92,0.2,151,0.3,4178,9.5,1602,3.6,30,0.1,64,0.1,2689,6.1,36,0.1,87,0.2,826,1.9,8,0,643,1.5,0,0,0,0,316,0.7,400108,908.5,410830,932.9
11,State,Kerala,143,0.5,167,0.6,982,3.3,182,0.6,393,1.3,129,0.4,133,0.5,116,0.4,20,0.1,29,0.1,19,0.1,123,0.4,0,0,0,0,0,0,4026,13.7,6462,22
12,State,Madhya Pradesh,4769,7.7,317,0.5,16170,26,14971,24.1,49,0.1,425,0.7,3,0,19889,32,42,0.1,357,0.6,0,0,218,0.4,2,0,0,0,148,0.2,125288,201.3,182648,293.5
13,State,Maharashtra,1449,2,1794,2.4,32142,43.7,0,0,135707,184.6,240,0.3,660,0.9,6565,8.9,752,1,186,0.3,63,0.1,369,0.5,0,0,0,0,62,0.1,337994,459.8,517983,704.7
14,State,Manipur,38,2.2,278,16,132,7.6,2616,150.6,0,0,6,0.3,8,0.5,0,0,29,1.7,0,0,14,0.8,6,0.3,50,2.9,0,0,0,0,151,8.7,3328,191.6
15,State,Meghalaya,30,1.8,6,0.4,270,16.2,25,1.5,1,0.1,4,0.2,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,157,9.4,494,29.7
16,State,Mizoram,20,3,43,6.4,12,1.8,0,0,0,0,11,1.6,0,0,0,0,0,0,176,26.2,0,0,0,0,0,0,0,0,0,0,88,13.1,350,52
17,State,Nagaland,40,3.7,119,11.1,1,0.1,47,4.4,0,0,23,2.1,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,161,15,394,36.8
18,State,Orissa,96,0.3,51,0.2,888,2.9,183,0.6,0,0,81,0.3,0,0,39,0.1,0,0,48,0.2,0,0,62,0.2,0,0,0,0,226,0.7,604,2,2278,7.4
19,State,Punjab,2961,15.3,1592,8.2,1723,8.9,12787,65.9,0,0,60,0.3,1,0,433,2.2,3,0,4,0,138,0.7,108,0.6,141,0.7,0,0,0,0,252,1.3,20203,104.1
20,State,Rajasthan,3261,7.6,667,1.6,1911,4.5,2216,5.2,0,0,192,0.4,144,0.3,707,1.7,30,0.1,276,0.6,123,0.3,239,0.6,3,0,1,0,1,0,125302,293.2,135073,316
21,State,Sikkim,3,0.7,0,0,3,0.7,132,31,0,0,1,0.2,0,0,0,0,8,1.9,0,0,0,0,4,0.9,0,0,0,0,0,0,3140,737.1,3291,772.5
22,State,Tamil Nadu,105,0.2,2025,3.7,40210,72.9,4,0,440582,798.4,334,0.6,7215,13.1,118,0.2,2,0,758,1.4,140,0.3,111,0.2,0,0,2,0,322,0.6,762059,1381,1253987,2272.5
23,State,Tripura,32,1.3,3,0.1,13,0.5,84,3.4,38,1.5,14,0.6,0,0,0,0,0,0,0,0,0,0,65,2.6,0,0,0,0,0,0,1689,67.9,1938,77.6
