SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterferting,Others IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Adilabad,113,60,1,27,18,18,0,100,0,46,197,233,54,17,22,0,1260,2148
2,Andhra Pradesh,Anantpur,110,17,4,16,25,16,9,17,0,21,212,596,349,12,18,7,1576,2980
3,Andhra Pradesh,Chittoor,119,56,1,15,39,30,9,16,0,29,312,1001,476,43,73,12,3084,5276
4,Andhra Pradesh,Cuddapah,110,55,1,15,48,42,6,23,0,25,251,493,455,44,37,6,1845,3408
5,Andhra Pradesh,Godavari East,90,118,1,53,11,6,5,5,0,27,480,1553,225,95,192,2,3536,6388
6,Andhra Pradesh,Godavari West,54,33,0,29,25,7,18,25,0,29,311,952,143,60,77,4,2401,4143
7,Andhra Pradesh,Guntur,155,204,0,61,65,20,45,35,0,83,499,1522,369,89,153,4,3923,7162
8,Andhra Pradesh,Kareemnagar,133,50,2,28,38,21,17,72,0,111,225,488,152,17,71,0,2146,3533
9,Andhra Pradesh,Khammam,93,32,1,20,20,20,0,19,0,14,209,419,185,17,56,1,1682,2768
10,Andhra Pradesh,Krishna,72,60,4,46,32,32,0,17,0,41,633,1747,171,50,94,2,5824,8793
11,Andhra Pradesh,Kurnool,144,22,1,1,13,13,0,8,0,23,166,332,110,30,29,6,1526,2411
12,Andhra Pradesh,MahabubNagar,147,66,8,29,16,14,2,16,0,21,150,803,244,6,35,0,1678,3219
13,Andhra Pradesh,Medak,102,90,2,10,27,27,0,45,0,77,252,525,220,37,34,0,1714,3135
14,Andhra Pradesh,Nalgonda,122,77,1,22,30,25,5,26,0,52,199,518,342,16,56,1,2319,3781
15,Andhra Pradesh,Nellore,60,33,1,34,38,38,0,19,0,38,198,676,111,20,58,1,2094,3381
16,Andhra Pradesh,Nizambad,119,49,2,22,34,6,28,58,0,69,211,477,143,11,43,0,1506,2744
17,Andhra Pradesh,Prakasham,83,86,4,16,43,41,2,23,1,44,191,505,269,30,38,2,2737,4072
18,Andhra Pradesh,Ranga Reddy,217,201,31,56,100,47,53,159,0,150,2119,4221,571,117,521,30,5339,13832
19,Andhra Pradesh,Srikakulam,37,13,0,14,22,12,10,3,0,1,155,255,207,39,48,0,1195,1989
20,Andhra Pradesh,Vishakhapatnam,88,64,2,35,41,33,8,22,0,37,359,1219,116,54,129,5,3569,5740
21,Andhra Pradesh,Vizianagram,23,26,0,14,18,16,2,3,0,14,113,272,89,27,52,0,2168,2819
22,Andhra Pradesh,Warangal,103,36,3,19,39,5,34,48,0,32,309,502,232,15,99,3,1890,3330
23,Andhra Pradesh,Guntakal Rly.,1,0,0,0,1,1,0,2,0,3,0,309,2,4,1,0,42,365
24,Andhra Pradesh,Vijyawada Rly.,1,0,0,0,0,0,0,4,0,1,0,218,8,2,2,0,45,281
25,Andhra Pradesh,Secunderabad Rly.,3,1,0,1,1,1,0,0,0,9,0,364,3,2,2,0,28,414
26,Andhra Pradesh,Total,2299,1449,70,583,744,491,253,765,1,997,7751,20200,5246,854,1940,86,55127,98112
1,Arunachal Pradesh,Changlang,4,1,0,0,2,2,0,0,0,2,14,28,2,1,1,0,57,112
2,Arunachal Pradesh,Dibang Valley,2,11,1,2,0,0,0,0,0,4,13,14,2,3,1,0,69,122
3,Arunachal Pradesh,Kameng East,4,1,0,1,1,1,0,1,0,1,21,15,1,2,1,0,51,100
4,Arunachal Pradesh,Kameng West,0,1,0,0,4,4,0,2,0,3,22,23,2,1,0,0,89,147
5,Arunachal Pradesh,Siang East,4,3,0,10,3,3,0,9,0,3,29,45,1,1,4,0,111,223
6,Arunachal Pradesh,Siang West,3,3,0,2,5,5,0,4,0,11,18,53,2,1,4,0,119,225
7,Arunachal Pradesh,Lohit,4,1,1,3,12,10,2,3,0,7,28,43,2,3,1,0,111,219
8,Arunachal Pradesh,Lower Subansiri,11,3,0,1,14,10,4,13,0,5,51,95,4,5,5,0,204,411
9,Arunachal Pradesh,Tawang,1,1,0,0,0,0,0,0,0,0,10,7,0,0,0,0,24,43
10,Arunachal Pradesh,Tirap,4,2,2,0,5,3,2,0,0,5,27,27,1,8,3,0,133,217
11,Arunachal Pradesh,Upper Subansiri,6,8,3,2,6,6,0,0,0,5,14,21,2,1,4,0,111,183
12,Arunachal Pradesh,Total,43,35,7,21,52,44,8,32,0,46,247,371,19,26,24,0,1079,2002
1,Assam,Barpeta,51,32,2,25,45,29,16,81,1,41,167,365,437,22,44,0,935,2248
2,Assam,Bongaigaon,5,2,5,3,9,9,0,8,0,20,68,158,83,3,12,0,211,587
3,Assam,Cachar,38,2,2,19,80,80,0,14,0,19,196,374,439,23,28,0,1029,2263
4,Assam,Darrang,69,8,0,17,27,22,5,58,0,61,161,278,199,13,15,1,553,1460
5,Assam,Dheonaji,26,20,0,19,32,32,0,23,0,20,64,123,73,10,3,0,364,777
6,Assam,Dhubri,36,15,1,24,31,31,0,20,3,9,183,277,235,13,32,0,700,1579
7,Assam,Dibrugarh,88,0,46,8,39,39,0,10,0,31,95,377,70,26,24,0,1033,1847
8,Assam,Goalpara,7,3,0,5,7,7,0,7,0,8,88,143,194,17,9,0,275,763
9,Assam,Golaghat,50,10,1,25,87,87,0,26,0,40,160,434,79,21,21,0,782,1736
10,Assam,Hailakandi,19,3,0,12,34,34,0,7,0,11,170,294,203,14,6,0,563,1336
