SL. No.,Category,State/UT/City,Number of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh,149,55,64,11,97
2,State,Arunachal Pradesh,1,1,0,0,0
3,State,Assam,359,79,136,48,109
4,State,Bihar,118,112,63,6,66
5,State,Goa,0,0,0,0,0
6,State,Gujarat,191,22,56,0,35
7,State,Haryana,2,1,0,0,0
8,State,Himachal Pradesh,0,0,0,0,0
9,State,Jammu & Kashmir,53,37,203,11,434
10,State,Karnataka,34,4,11,0,33
11,State,Kerala,10,3,74,0,119
12,State,Madhya Pradesh,163,18,9,26,145
13,State,Maharashtra,57,37,109,2,208
14,State,Manipur,5,5,2,5,12
15,State,Meghalaya,0,0,0,0,0
16,State,Mizoram,5,2,2,2,3
17,State,Nagaland,0,0,0,0,0
18,State,Orissa,3,1,2,0,0
19,State,Punjab,257,247,8,22,40
20,State,Rajasthan,392,28,113,1,108
21,State,Sikkim,0,0,0,0,0
22,State,Tamil Nadu,21,22,99,0,114
23,State,Tripura,2,5,8,0,4
24,State,Uttar Pradesh,82,60,94,8,145
25,State,West Bengal,91,7,52,0,151
Total (States),State,Total (States),1995,746,1105,142,1823
26,UT,A & N Islands,0,0,0,0,0
27,UT,Chandigarh,0,0,0,0,0
28,UT,D & N Haveli,1,0,0,0,1
29,UT,Daman & Diu,0,0,0,0,0
30,UT,Delhi,6,0,3,0,0
31,UT,Lakshadweep,0,0,0,0,0
32,UT,Pondicherry,1,0,2,0,0
Total (UTs),UT,Total (UTs),8,0,5,0,1
Total (All-India),Total (All-India),Total (All-India),2003,746,1110,142,1824
33,City,Ahmedabad,3,0,0,0,1
34,City,Bangalore,3,0,1,0,0
35,City,Bombay,18,18,62,0,52
36,City,Calcutta,23,1,6,0,40
37,City,Delhi,6,0,3,0,0
38,City,Hyderabad,8,0,2,0,11
39,City,Jaipur,0,0,0,0,0
40,City,Kanpur,4,1,0,0,4
41,City,Lucknow,0,0,0,0,0
42,City,Madras,0,0,0,0,0
43,City,Nagpur,1,1,1,0,0
44,City,Pune,0,0,0,0,0
