Purpose,Total No. of Cases Reported,Sex-wise/ Age Group-wise - Upto 10 Years - Male,Sex-wise/ Age Group-wise - Upto 10 Years - Female,Sex-wise/ Age Group-wise - 10 - 15 Years - Male,Sex-wise/ Age Group-wise - 10 - 15 Years - Female,Sex-wise/ Age Group-wise - 15 - 18 Years - Male,Sex-wise/ Age Group-wise - 15 - 18 Years - Female,Sex-wise/ Age Group-wise - 18 - 30 Years - Male,Sex-wise/ Age Group-wise - 18 - 30 Years - Female,Sex-wise/ Age Group-wise - 30 - 50 Years - Male,Sex-wise/ Age Group-wise - 30 - 50 Years - Female,Sex-wise/ Age Group-wise - Above 50 Years - Male,Sex-wise/ Age Group-wise - Above 50 Years - Female,Sex-wise/ Age Group-wise - Total - Male,Sex-wise/ Age Group-wise - Total - Female,Sex-wise/ Age Group-wise - Grand Total
For Adoption,86,3,3,0,6,0,24,19,29,2,0,0,0,24,62,86
For Begging,23,4,2,2,0,0,0,4,2,0,0,0,0,10,4,14
For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Illicit Intercourse,1808,2,10,13,106,17,147,18,1217,8,272,0,0,58,1752,1810
For Marriage,9113,1,5,3,413,33,998,240,6172,47,1082,2,5,326,8675,9001
For Prostitution,187,0,1,0,27,5,44,3,112,4,8,0,0,12,192,204
For Ransom,1060,62,7,57,6,63,3,495,87,275,14,34,4,986,121,1107
For Revenge,983,13,10,27,9,45,6,450,133,279,19,13,0,827,177,1004
For Sale,10,0,3,1,1,0,2,0,3,0,0,0,0,1,9,10
For Selling Body Parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Slavery,36,0,0,0,0,2,4,18,5,7,0,0,0,27,9,36
For Unlawaful Activity,444,8,8,6,8,62,12,177,112,100,17,8,1,361,158,519
Others,8100,115,93,104,94,176,252,2799,2587,1484,525,131,22,4809,3573,8382
Total,21850,208,142,213,670,403,1492,4223,10459,2206,1937,188,32,7441,14732,22173
