Category,Crime Head,Cases Registered,Persons Arrested
Offences under IT Act,Tampering Computer Source Department,6,2
Offences under IT Act,Hacking Computer Systems - i) Loss/ Damage to Computer Resource/ Utility,15,9
Offences under IT Act,Hacking Computer Systems - ii) Hacking,11,12
Offences under IT Act,Obscene Publication/ Transmission in Electronic Form,33,38
Offences under IT Act,Failure - i) of Compliance/ Orders of Certifying Authority,0,0
Offences under IT Act,Failure - ii) To Assist to Decoy or the Information in Interception by Govt. Agency,0,0
Offences under IT Act,Unauthorised Access/ Attempt to Access of Protected Computer System,0,0
Offences under IT Act,Obtaining Licence or Digital Signature by Misrepresentation/ Suppression of Fact,0,0
Offences under IT Act,Publishing False Digital Signature/ Certificate,0,0
Offences under IT Act,Fraud Digital Signature,1,0
Offences under IT Act,Breach of Confidentiality/ Privacy,3,0
Offences under IT Act,Other,1,4
Total (Offences under IT Act),Total (Offences under IT Act),70,65
Offences under IPC,Public Servant Offences by/ against,0,0
Offences under IPC,False Electronic Evidence,2,6
Offences under IPC,Destruction of Electronic Evidence,1,0
Offences under IPC,Forgery,166,360
Offences under IPC,Criminal Breach of Trust/ Fraud,510,788
Offences under IPC,Counterfeiting - i) Property/ Mark,1,0
Offences under IPC,Counterfeiting - ii) Tampering,10,12
Offences under IPC,Counterfeiting - iii) Currency/ Stamps,48,144
Total (Offences under IPC),Total (Offences under IPC),738,1310
Grand Total (Offences under IPC + Offences under IT Act),Grand Total (Offences under IPC + Offences under IT Act),808,1375
