Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women Proh. Act,Copyright Act,Sati Prevention Act,SC/ ST (Prev.) of Atrocities Act - Total,SC/ ST (Prev.) of Atrocities Act - for SCs,SC/ ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes under SLL
State,Andhra Pradesh,97.2,97.7,100,97.7,98.7,97.5,100,89.2,100,99.7,99.6,100,98.4,91.9,100,100,99.2,60,100,100,NA,93.9,95.2,87.2,100,99.9,99.9
State,Arunachal Pradesh,66.7,100,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,76.5
State,Assam,68.5,95.2,95.5,97.1,16.7,48.9,66.7,63.6,0,NA,NA,NA,100,63.6,78.6,NA,61.5,100,50,87.5,NA,NA,NA,NA,83.3,55.2,65.9
State,Bihar,95.8,90,98.8,95.4,0,84.6,100,66.1,66.7,97.5,97.5,100,100,83,NA,62.5,87.3,100,100,87.5,NA,83.4,83.3,100,76.2,85.1,89.9
State,Chhattisgarh,100,99.7,100,99.9,100,98.9,100,99.9,100,100,100,100,NA,100,NA,100,100,100,NA,100,NA,96.2,97.6,95,100,100,100
State,Goa,100,100,100,NA,NA,75,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,100,98.7,99.5
State,Gujarat,97,97.2,99.9,NA,99.9,66.7,100,97.9,100,100,100,100,80,97.8,NA,100,100,100,100,99.5,NA,98.3,97.8,100,100,98.7,99.5
State,Haryana,99.3,95.4,99.8,98.4,NA,95.5,100,91.3,100,NA,NA,NA,0,98.9,100,NA,100,100,NA,98.8,NA,88.5,88.5,NA,NA,93.8,98
State,Himachal Pradesh,100,95.7,100,99.7,NA,55.6,100,50,100,100,100,NA,100,100,NA,NA,100,100,NA,100,NA,100,100,NA,78.8,79.6,97.7
State,Jammu & Kashmir,55.1,95.6,99.2,99.6,NA,17.9,100,NA,100,NA,NA,NA,60,98.9,85,NA,100,NA,NA,100,NA,NA,NA,NA,100,44.5,66.6
State,Jharkhand,96,97.1,99.1,98.5,100,87,100,16.7,NA,NA,NA,NA,NA,91.1,77.3,NA,93.2,NA,NA,100,NA,91.4,88.9,100,100,87.6,93.4
State,Karnataka,91.3,98.9,99.9,72.4,NA,92.6,100,78.3,75,97.2,97.2,NA,100,87.8,NA,100,81,100,NA,84.5,NA,95.1,94.7,99,92.9,90.3,94.4
State,Kerala,97.9,95.6,99.9,89.7,93.4,67.4,99.2,75,100,NA,NA,NA,93.9,89.2,NA,NA,100,100,100,97.4,NA,94.7,94.7,94.1,0,95,94.8
State,Madhya Pradesh,99.9,98.7,100,99.9,NA,95.5,100,99.8,100,100,100,NA,50,97.7,NA,NA,95.7,100,NA,98.6,NA,98.5,98.4,98.7,97.9,100,99.9
State,Maharashtra,99,94,100,NA,99.7,85.7,100,99.7,100,100,100,NA,100,99,NA,66.7,100,95.5,100,99.4,NA,97.7,96.7,100,97.9,99.2,99.6
State,Manipur,20,86.3,100,NA,NA,0,100,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,13.6
