Category,States/ UTs/ Cities,No. of Cases Reported (Incest Rape),No. of Victims (Incest Rape ) - Upto 10 Years,No. of Victims (Incest Rape ) - 10 - 14 Years,No. of Victims (Incest Rape ) - 14 - 18 Years,No. of Victims (Incest Rape ) - 18 - 30 Years,No. of Victims (Incest Rape ) - 30 - 50 Years,No. of Victims (Incest Rape ) - Above 50 Years,No. of Victims (Incest Rape ) - Total Victims,No. of Cases Reported (Other Rape ),No. of Victims (Other Rape ) - Upto 10 Years,No. of Victims (Other Rape ) - 10 - 14 Years,No. of Victims (Other Rape ) - 14 - 18 Years,No. of Victims (Other Rape ) - 18 - 30 Years,No. of Victims (Other Rape ) - 30 - 50 Years,No. of Victims (Other Rape ) - Above 50 Years,No. of Victims (Other Rape ) - Total Victims,No. of Cases Reported Rape Cases (Total),No. of Victims Rape Cases (Total) - Upto 10 Years,No. of Victims Rape Cases (Total) - 10 - 14 Years,No. of Victims Rape Cases (Total) - 14 - 18 Years,No. of Victims Rape Cases (Total) - 18 - 30 Years,No. of Victims Rape Cases (Total) - 30 - 50 Years,No. of Victims Rape Cases (Total) - Above 50 Years,No. of Victims Rape Cases (Total) - Total Victims
State,Andhra Pradesh,5,0,2,0,3,0,0,5,997,35,65,35,706,148,8,997,1002,35,67,35,709,148,8,1002
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,38,0,0,3,30,5,0,38,38,0,0,3,30,5,0,38
State,Assam,10,0,0,0,5,5,0,10,960,0,0,3,616,341,0,960,970,0,0,3,621,346,0,970
State,Bihar,3,0,0,1,2,0,0,3,1037,0,2,1,803,231,0,1037,1040,0,2,2,805,231,0,1040
State,Chhattisgarh,63,2,13,18,16,11,3,63,929,24,118,7,636,136,8,929,992,26,131,25,652,147,11,992
State,Goa,0,0,0,0,0,0,0,0,12,1,3,3,4,1,0,12,12,1,3,3,4,1,0,12
State,Gujarat,10,2,4,2,2,0,0,10,257,14,12,41,174,17,0,258,267,16,16,43,176,17,0,268
State,Haryana,52,0,6,3,39,4,0,52,309,29,43,3,198,35,1,309,361,29,49,6,237,39,1,361
State,Himachal Pradesh,1,0,1,0,0,0,0,1,136,5,4,16,71,36,4,136,137,5,5,16,71,36,4,137
State,Jammu & Kashmir,3,0,0,0,3,0,0,3,189,0,0,7,137,44,1,189,192,0,0,7,140,44,1,192
State,Jharkhand,18,0,0,4,11,3,0,18,779,0,0,39,665,75,0,779,797,0,0,43,676,78,0,797
State,Karnataka,4,0,1,0,3,0,0,4,288,3,9,6,215,54,1,288,292,3,10,6,218,54,1,292
State,Kerala,4,0,1,0,3,0,0,4,495,25,28,132,262,45,3,495,499,25,29,132,265,45,3,499
State,Madhya Pradesh,72,3,11,16,37,4,1,72,2819,77,174,236,1512,807,13,2819,2891,80,185,252,1549,811,14,2891
State,Maharashtra,21,0,3,5,9,4,0,21,1331,63,127,314,684,136,7,1331,1352,63,130,319,693,140,7,1352
State,Manipur,3,0,0,0,3,0,0,3,11,0,0,0,11,0,0,11,14,0,0,0,14,0,0,14
State,Meghalaya,1,1,0,0,0,0,0,1,37,2,9,22,4,0,0,37,38,3,9,22,4,0,0,38
State,Mizoram,0,0,0,0,0,0,0,0,76,0,1,1,52,13,9,76,76,0,1,1,52,13,9,76
State,Nagaland,0,0,0,0,0,0,0,0,17,2,1,3,11,0,0,17,17,2,1,3,11,0,0,17
State,Orissa,1,0,1,0,0,0,0,1,690,12,8,0,614,56,0,690,691,12,9,0,614,56,0,691
