Category,States/ UTs/ Cities,Murder - 2001,Murder - 2002,Murder - % Variation,Attempt to Commit Murder - 2001,Attempt to Commit Murder - 2002,Attempt to Commit Murder - % Variation,C.H. not Amounting to murder - 2001,C.H. not Amounting to murder - 2002,C.H. not Amounting to murder - % Variation,Rape - Total - 2001,Rape - Total - 2002,Rape - Total - % Variation,Rape - Custodial - 2001,Rape - Custodial - 2002,Rape - Custodial - % Variation,Rape - Other - 2001,Rape - Other - 2002,Rape - Other - % Variation,Kidnapping & Abduction - Total - 2001,Kidnapping & Abduction - Total - 2002,Kidnapping & Abduction - Total - % Variation,Kidnapping & Abduction of Women & Girls - 2001,Kidnapping & Abduction of Women & Girls - 2002,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction - of Others - 2001,Kidnapping & Abduction - of Others - 2002,Kidnapping & Abduction - of Others - % Variation,Dacoity - 2001,Dacoity - 2002,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2001,Preparation & Assembly for Dacoity - 2002,Preparation & Assembly for Dacoity - % Variation,Robbery - 2001,Robbery - 2002,Robbery - % Variation,Burglary - 2001,Burglary - 2002,Burglary - % Variation,Theft - Total - 2001,Theft - Total - 2002,Theft - Total - % Variation,Theft - Auto Theft - 2001,Theft - Auto Theft - 2002,Theft - Auto Theft - % Variation,Theft - Other Theft - 2001,Theft - Other Theft - 2002,Theft - Other Theft - % Variation,Riots - 2001,Riots - 2002,Riots - % Variation,Criminal Breach of Trust - 2001,Criminal Breach of Trust - 2002,Criminal Breach of Trust - % Variation,Cheating - 2001,Cheating - 2002,Cheating - % Variation,Counterfeiting - 2001,Counterfeiting - 2002,Counterfeiting - % Variation,Arson - 2001,Arson - 2002,Arson - % Variation,Hurt - 2001,Hurt - 2002,Hurt - % Variation,Dowry Deaths - 2001,Dowry Deaths - 2002,Dowry Deaths - % Variation,Molestation - 2001,Molestation - 2002,Molestation - % Variation,Sexual Harassment - 2001,Sexual Harassment - 2002,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2001,Cruelty by Husband and Relatives - 2002,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2001,Importation of Girls - 2002,Importation of Girls - % Variation,Causing Death by Negligence - 2001,Causing Death by Negligence - 2002,Causing Death by Negligence - % Variation,Other IPC Crimes - 2001,Other IPC Crimes - 2002,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2001,Total Cognizable Crimes under IPC - 2002,Total Cognizable Crimes under IPC - % Variation,Note of - Attempt to Commit Murder - % Variation,Note of - C.H. not Amounting to murder - % Variation,Note of - Rape - Total - % Variation,Note of - Rape - Custodial - % Variation,Note of - Rape - Other - % Variation,Note of - Kidnapping & Abduction of Women & Girls - % Variation,Note of - Kidnapping & Abduction - of Others - % Variation,Note of - Dacoity - % Variation,Note of - Preparation & Assembly for Dacoity - % Variation,Note of - Robbery - % Variation,Note of - Counterfeiting - % Variation,Note of - Arson - % Variation,Note of - Dowry Deaths - % Variation,Note of - Molestation - % Variation,Note of - Cruelty by Husband and Relatives - % Variation,Note of - Importation of Girls - % Variation,Note of - Causing Death by Negligence - % Variation
State,Andhra Pradesh,2602,2525,-3,1555,1644,5.7,136,165,21.3,871,1002,15,0,0,0,871,1002,15,1182,1302,10.2,765,854,11.6,417,448,7.4,214,197,-7.9,9,3,-66.7,629,648,3,7220,7628,5.7,16751,19222,14.8,3051,3544,16.2,13700,15678,14.4,3001,2140,-28.7,788,1050,33.2,5391,6733,24.9,144,155,7.6,872,991,13.6,34947,39839,14,420,449,6.9,3544,3799,7.2,2271,2024,-10.9,5791,7018,21.2,7,0,-100,7400,8691,17.4,34344,36385,5.9,130089,143610,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Arunachal Pradesh,83,61,-26.5,53,38,-28.3,3,6,100,33,38,15.2,0,0,0,33,38,15.2,83,57,-31.3,55,38,-30.9,28,19,-32.1,22,22,0,2,0,-100,84,96,14.3,248,249,0.4,443,395,-10.8,36,51,41.7,407,344,-15.5,24,21,-12.5,41,23,-43.9,30,29,-3.3,4,5,25,13,20,53.8,466,401,-13.9,0,0,0,78,68,-12.8,3,2,-33.3,11,13,18.2,0,0,0,0,0,0,618,684,10.7,2342,2228,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Assam,1356,1253,-7.6,481,479,-0.4,40,55,37.5,817,970,18.7,0,0,0,817,970,18.7,1480,1595,7.8,1070,1276,19.3,410,319,-22.2,532,473,-11.1,14,18,28.6,687,607,-11.6,2423,2504,3.3,5367,5555,3.5,350,496,41.7,5017,5059,0.8,2953,3014,2.1,374,558,49.2,575,719,25,46,57,23.9,441,438,-0.7,5805,4764,-17.9,59,70,18.6,850,984,15.8,4,7,75,1248,1694,35.7,0,0,0,2010,1957,-2.6,9315,8575,-7.9,36877,36346,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Bihar,3643,3712,1.9,3419,3526,3.1,250,396,58.4,888,1040,17.1,0,0,0,888,1040,17.1,2159,2361,9.4,518,744,43.6,1641,1617,-1.5,1291,1289,-0.2,147,141,-4.1,2203,2288,3.9,3233,3188,-1.4,9701,10145,4.6,1050,1131,7.7,8651,9014,4.2,8606,8675,0.8,946,1215,28.4,1659,1811,9.2,85,72,-15.3,502,600,19.5,7544,8770,16.3,859,927,7.9,562,621,10.5,21,6,-71.4,1558,1577,1.2,83,38,-54.2,2406,2497,3.8,36667,39145,6.8,88432,94040,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Chhattisgarh,880,844,-4.1,529,453,-14.4,45,24,-46.7,959,992,3.4,0,0,0,959,992,3.4,207,178,-14,171,154,-9.9,36,24,-33.3,87,144,65.5,19,6,-68.4,338,326,-3.6,4144,3731,-10,4812,4302,-10.6,920,889,-3.4,3892,3413,-12.3,871,817,-6.2,154,96,-37.7,402,393,-2.2,8,18,125,215,235,9.3,5477,4484,-18.1,70,85,21.4,1763,1483,-15.9,161,147,-8.7,840,653,-22.3,0,0,0,689,963,39.8,15790,17576,11.3,38460,37950,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Goa,36,30,-16.7,30,20,-33.3,5,4,-20,12,12,0,0,0,0,12,12,0,9,9,0,6,5,-16.7,3,4,33.3,7,5,-28.6,0,0,0,25,24,-4,359,376,4.7,576,496,-13.9,168,146,-13.1,408,350,-14.2,64,79,23.4,39,27,-30.8,62,78,25.8,2,3,50,16,25,56.3,174,236,35.6,2,2,0,17,18,5.9,7,6,-14.3,11,8,-27.3,0,0,0,191,202,5.8,697,780,11.9,2341,2440,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Gujarat,1226,1532,25,537,759,41.3,94,13,-86.2,286,267,-6.6,0,0,0,286,267,-6.6,998,1015,1.7,857,807,-5.8,141,208,47.5,327,804,145.9,19,12,-36.8,991,1098,10.8,5142,5327,3.6,15834,15742,-0.6,5504,6195,12.6,10330,9547,-7.6,1930,3665,89.9,1748,1385,-20.8,1779,1457,-18.1,55,46,-16.4,449,1915,326.5,13760,13531,-1.7,67,62,-7.5,756,750,-0.8,111,104,-6.3,3667,3321,-9.4,0,0,0,2924,3258,11.4,50719,50612,-0.2,103419,106675,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Haryana,781,760,-2.7,467,487,4.3,78,89,14.1,398,361,-9.3,0,1,NA,398,360,-9.5,449,427,-4.9,297,290,-2.4,152,137,-9.9,77,61,-20.8,141,162,14.9,397,330,-16.9,3109,3048,-2,6117,5962,-2.5,3022,2955,-2.2,3095,3007,-2.8,750,700,-6.7,556,579,4.1,1016,933,-8.2,37,32,-13.5,203,199,-2,4744,4514,-4.8,285,256,-10.2,478,454,-5,401,1424,255.1,1513,1565,3.4,0,0,0,856,955,11.6,15906,16854,6,38759,40152,3.6,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Himachal Pradesh,119,123,3.4,75,86,14.7,11,6,-45.5,124,137,10.5,0,0,0,124,137,10.5,126,138,9.5,105,116,10.5,21,22,4.8,4,0,-100,0,1,NA,28,18,-35.7,844,710,-15.9,600,564,-6,142,142,0,458,422,-7.9,628,646,2.9,69,75,8.7,146,137,-6.2,2,0,-100,134,145,8.2,1403,1476,5.2,10,6,-40,310,326,5.2,14,12,-14.3,317,234,-26.2,0,0,0,483,482,-0.2,6052,6921,14.4,11499,12243,6.5,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA
State,Jammu & Kashmir,1075,1048,-2.5,1474,1240,-15.9,33,31,-6.1,169,192,13.6,0,0,0,169,192,13.6,606,674,11.2,504,596,18.3,102,78,-23.5,24,42,75,0,0,0,161,163,1.2,1345,1321,-1.8,1919,2020,5.3,633,664,4.9,1286,1356,5.4,1072,996,-7.1,90,91,1.1,391,382,-2.3,15,20,33.3,437,386,-11.7,318,366,15.1,13,18,38.5,622,785,26.2,288,368,27.8,50,54,8,0,0,0,357,380,6.4,9046,9390,3.8,19505,19967,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
