Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
Residential Premises,2866,6424.8,3841,1174,65576,14116.4,71672,15521.4
Highway,886,1507.9,4163,2361.3,325,46.2,6682,1901.1
River & Sea,7,7.6,11,3.5,2,0.7,93,15
Railways - Total,160,146.8,425,73.9,184,21.4,14757,1875.8
Railways - (i) Running Trains,93,31.6,192,25.7,31,8.2,7959,1081.5
Railways - (ii) Other Railways,67,115.2,233,48.2,153,13.2,6798,794.3
Banks,72,289.3,133,334.9,517,547.5,553,423.2
Commercial Establishments,422,2517.1,1033,652.5,14440,4366.8,22903,5994.9
Other Places,1688,8168.2,9158,4119.7,15417,4013.8,130802,36785.2
Total,6101,19061.8,18764,8719.7,96461,23112.8,247462,62516.5
