Category,States/ UTs,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psychotropic Substances Act - Male,Narcotic Drugs & Psychotropic Substances Act - Female,Narcotic Drugs & Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Substances Act - Male,Explosive & Explosive Substances Act - Female,Explosive & Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Total - Male,Protection of Civil Rights Act - Total - Female,Protection of Civil Rights Act - Total - Total,Protection of Civil Rights Act - For SCs - Male,Protection of Civil Rights Act - For SCs - Female,Protection of Civil Rights Act - For SCs - Total,Protection of Civil Rights Act - For STs - Male,Protection of Civil Rights Act - For STs - Female,Protection of Civil Rights Act - For STs - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activities Act - Male,Terrorist & Disruptive Activities Act - Female,Terrorist & Disruptive Activities Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (P) Act - Male,Indecent Representation of Women (P) Act - Female,Indecent Representation of Women (P) Act - Total,Copyright Act - Male,Copyright Act - Female,Copyright Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST (Prev.) of Atrocities Act - Total - Male,SC/ST (Prev.) of Atrocities Act - Total - Female,SC/ST (Prev.) of Atrocities Act - Total - Total,SC/ST (Prev.) of Atrocities Act - For SCs - Male,SC/ST (Prev.) of Atrocities Act - For SCs - Female,SC/ST (Prev.) of Atrocities Act - For SCs - Total,SC/ST (Prev.) of Atrocities Act - For STs - Male,SC/ST (Prev.) of Atrocities Act - For STs - Female,SC/ST (Prev.) of Atrocities Act - For STs - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes under SLL - Male,Total Cognizable Crimes under SLL - Female,Total Cognizable Crimes under SLL - Total,Percentage of Female to Total
State,Jharkhand,698,0,698,57,3,60,390,0,390,169,17,186,0,0,0,80,0,80,6,1,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,64,5,69,0,0,0,377,130,507,0,0,0,0,0,0,12,0,12,0,0,0,93,11,104,50,11,61,43,0,43,75,0,75,768,14,782,2834,181,3015,6
State,Karnataka,179,0,179,419,12,431,24449,33,24482,2951,110,3061,0,0,0,127,4,131,317,2124,2441,16,0,16,17,2,19,167,8,175,167,8,175,0,0,0,7,0,7,245,4,249,0,0,0,11,0,11,459,215,674,1,0,1,0,0,0,192,0,192,0,0,0,3142,195,3337,2783,181,2964,359,14,373,456,0,456,5224,216,5440,38379,2923,41302,7.1
State,Kerala,891,1,892,545,26,571,11333,9,11342,431,0,431,9285,354,9639,509,2,511,161,315,476,26,2,28,2,0,2,0,0,0,0,0,0,0,0,0,165,26,191,113,0,113,0,0,0,0,0,0,2,1,3,10,2,12,44,0,44,163,0,163,0,0,0,328,13,341,262,10,272,66,3,69,81,0,81,24966,53,25019,49055,804,49859,1.6
State,Madhya Pradesh,8798,3,8801,850,37,887,75069,33,75102,19528,1339,20867,0,0,0,417,0,417,26,53,79,12487,300,12787,3,0,3,9,1,10,9,1,10,0,0,0,1,0,1,278,1,279,0,0,0,0,0,0,56,12,68,3,1,4,0,0,0,174,8,182,0,0,0,1658,13,1671,1110,13,1123,548,0,548,162,0,162,128218,90,128308,247737,1891,249628,0.8
State,Maharashtra,1639,3,1642,598,36,634,49525,28,49553,0,0,0,114414,17323,131737,97,0,97,297,1141,1438,17111,427,17538,23,1,24,162,7,169,162,7,169,0,0,0,73,26,99,1378,7,1385,0,0,0,2,0,2,51,5,56,69,21,90,55,0,55,1072,2,1074,0,0,0,379,18,397,277,12,289,102,6,108,98,3,101,46914,2329,49243,233957,21377,255334,8.4
State,Manipur,31,0,31,87,18,105,87,1,88,0,0,0,0,0,0,7,9,16,18,11,29,0,0,0,10,5,15,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,42,656,863,86,949,9.1
State,Meghalaya,63,1,64,21,0,21,16,0,16,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,135,1,136,0.7
State,Mizoram,28,2,30,178,55,233,0,0,0,0,0,0,206,65,271,7,1,8,1,8,9,0,0,0,345,82,427,0,0,0,0,0,0,0,0,0,151,23,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,362,1864,2419,598,3017,19.8
State,Nagaland,32,0,32,286,22,308,1,0,1,17,1,18,41,22,63,8,0,8,6,18,24,12,0,12,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,9,234,648,72,720,10
State,Orissa,437,0,437,170,8,178,2533,40,2573,8125,766,8891,15,0,15,93,3,96,65,44,109,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,98,1,99,0,0,0,0,0,0,547,165,712,0,0,0,0,0,0,17,0,17,0,0,0,1078,18,1096,817,6,823,261,12,273,0,0,0,431,6,437,13611,1051,14662,7.2
