Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cognizable Crimes under IPC
State,Andhra Pradesh,90.9,96,98.4,97.5,NA,97.5,89.9,89.2,90.9,85,100,77.3,56.5,66.8,53,69.9,95.7,85.6,83.1,64.4,81.8,95.1,98.9,98.5,99.4,98.1,100,90.7,92,87
State,Arunachal Pradesh,62.7,64.3,100,86.5,NA,86.5,52.1,47.9,60.9,24,NA,54.8,27.7,46.4,23.1,50.2,78.6,66.7,95.2,66.7,58.3,82.8,NA,85.5,100,100,NA,NA,70.3,62.6
State,Assam,64.2,55.3,76.9,82.3,NA,82.3,60.9,62.9,53.8,39.2,69.2,51.8,33.2,38.4,33,38.9,64.6,58.4,58.1,77.4,50.9,68.1,85.7,77.3,45.5,78.7,NA,78.4,64.5,59.8
State,Bihar,78.4,86.4,69.1,84.3,NA,84.3,79.5,76.4,80.9,70,87.2,67.8,45.5,52.4,73.6,50,88.2,77,78.4,90,68.6,88.3,86.4,91.1,100,84.6,83.3,82.8,82.5,78.2
State,Chhattisgarh,89.5,95.3,100,99.6,NA,99.6,86.1,87.3,79.3,69.9,100,71.8,30.1,38.2,33,39.7,95.7,91.4,84,71.1,69.6,97.8,96.5,99.1,100,99.3,NA,78.3,91.1,79.7
State,Goa,65.6,84.2,100,80,NA,80,62.5,50,100,50,NA,50,23.2,30.2,17.1,35.7,92.3,40.9,56.4,33.3,62.5,92.3,NA,93.3,100,100,NA,89.7,93.5,65.1
State,Gujarat,76.2,88.6,100,94.6,NA,94.6,79.1,80.6,72.9,55.1,66.7,51.5,30.2,27.9,19,33.5,75.2,81.2,74.5,54.8,47.6,97,92.2,98,96,98.2,NA,82.8,91.9,77.2
State,Haryana,83.4,91,84.4,99.1,NA,99.1,84.5,87.2,78.1,84.5,99.4,74.3,43.1,43.7,39.3,48.1,97.4,85.3,88.6,93.9,75.3,96.3,99.1,95,99.9,77.1,NA,77.2,88.9,78.7
State,Himachal Pradesh,81.6,95,66.7,99.1,NA,99.1,85.7,90.3,50,100,100,60,34,37,26.5,40.6,98.1,75,85.4,66.7,58.1,97.4,100,99.6,100,100,NA,65,95.7,87.7
State,Jammu & Kashmir,26.6,35.8,78.3,91.8,NA,91.8,89.8,95.1,54.8,52.9,NA,56,19,50,16.1,66.3,91.1,76.7,83.9,87.5,17.6,98.5,100,98.7,99.4,100,NA,81.5,91.6,73.7
