Crime Head,Total Count of Persons under Arrest* including those from Previous Year,Persons Released before Trial - Count,Persons Released before Trial - Percentage to Total,Persons Charge Sheeted - Count,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the End of the Year - Count,Persons under Investigation at the End of the Year - Percentage to Total
Arms Act,80976,1490,1.8,70017,86.5,9469,11.7
Narcotic Drugs & Psychotropic Substances Act,37745,546,1.4,28185,74.7,9014,23.9
Gambling Act,365185,874,0.2,346687,94.9,17624,4.8
Excise Act,149369,2171,1.5,131057,87.7,16141,10.8
Prohibition Act,575127,8055,1.4,466625,81.1,100447,17.5
Explosive & Explosive Substances Act,8682,269,3.1,5576,64.2,2837,32.7
Immoral Traffic (P) Act,17562,96,0.5,15714,89.5,1752,10
Indian Railways Act,68243,68,0.1,67845,99.4,330,0.5
Registration of Foreigners Act,4505,239,5.3,3919,87,347,7.7
Protection of Civil Rights Act - Total,1448,49,3.4,1156,79.8,243,16.8
Protection of Civil Rights Act - i) PCR Act for SCs,1411,49,3.5,1134,80.4,228,16.2
Protection of Civil Rights Act - ii) PCR Act for STs,37,0,0,22,59.5,15,40.5
Indian Passport Act,1825,95,5.2,1032,56.5,698,38.2
Essential Commodities Act,8006,310,3.9,5405,67.5,2291,28.6
Terrorist & Disruptive Activities Act,2346,136,5.8,200,8.5,2010,85.7
Antiquity & Art Treasure Act,180,20,11.1,105,58.3,55,30.6
Dowry Prohibition Act,8957,818,9.1,6473,72.3,1666,18.6
Child Marriage Restraint Act,493,0,0,474,96.1,19,3.9
Indecent Representation of Women (P) Act,2656,2,0.1,2554,96.2,100,3.8
Copyrights Act,6400,79,1.2,5081,79.4,1240,19.4
Sati Prevention Act,0,0,0,0,0,0,0
SC/ ST (Prevention of Atrocities) Act - Total,27641,1328,4.8,23385,84.6,2928,10.6
SC/ ST (Prevention of Atrocities) Act - i) Atrocities Act for SCs,24536,1296,5.3,20598,84,2642,10.8
SC/ ST (Prevention of Atrocities) Act - ii) Atrocities Act for STs,3105,32,1,2787,89.8,286,9.2
Forest Act,9258,279,3,8594,92.8,385,4.2
Other SLL Crimes,3155435,215956,6.8,2882152,91.3,57327,1.8
Total Cognizable Crimes under SLL,4532039,232880,5.1,4072236,89.9,226923,5
