Category,States/ UTs,DG/ Addl.DG/ IG/ DIG - Sanctioned,DG/ Addl.DG/ IG/ DIG - Actual,SSP/SP/Addl.SP/ ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,61,58,400,371,6252,5853,44461,41679,51174,47961
State,Arunachal Pradesh,5,5,63,59,512,495,2655,2632,3235,3191
State,Assam,34,34,295,269,5008,4928,24696,24421,30033,29652
State,Bihar,80,66,458,377,11068,6708,44631,41817,56237,48968
State,Chhattisgarh,5,4,123,95,1270,1281,10520,9529,11918,10909
State,Goa,2,2,27,26,300,256,2551,2685,2880,2969
State,Gujarat,63,56,271,228,10146,8497,42731,38969,53211,47750
State,Haryana,27,45,192,159,4757,3350,29731,24200,34707,27754
State,Himachal Pradesh,34,34,120,117,1253,1223,7384,6596,8791,7970
State,Jammu & Kashmir,35,35,329,329,4810,4810,35104,35104,40278,40278
State,Jharkhand,26,31,230,200,3773,3669,5227,5030,9256,8930
State,Karnataka,12,10,257,241,5672,4745,51789,44689,57730,49685
State,Kerala,23,23,342,317,3505,3487,32170,31539,36040,35366
State,Madhya Pradesh,103,107,633,679,6461,5261,44626,38531,51823,44578
State,Maharashtra,68,103,801,642,22953,21050,110364,111712,134186,133507
State,Manipur,10,10,98,89,1017,883,4126,3915,5251,4897
State,Meghalaya,13,13,75,41,1182,895,8122,4950,9392,5899
State,Mizoram,0,0,34,33,484,510,1491,1568,2009,2111
State,Nagaland,21,21,70,69,471,462,5328,5243,5890,5795
State,Orissa,35,34,286,280,5486,4873,23210,22205,29017,27392
State,Punjab,41,43,351,441,6089,5391,45757,45840,52238,51715
State,Rajasthan,44,38,601,476,7693,6208,49464,44406,57802,51128
State,Sikkim,16,16,37,37,265,259,1631,1338,1949,1650
State,Tamil Nadu,82,73,737,673,8940,7026,72142,62530,81901,70302
State,Tripura,18,17,221,137,1364,1188,8548,7325,10151,8667
State,Uttar Pradesh,127,127,1291,1129,13476,12291,118659,109506,133553,123053
State,Uttaranchal,10,11,116,50,666,596,8926,8435,9718,9092
State,West Bengal,78,78,412,358,15755,13360,51069,47931,67314,61727
State,Total (States),1073,1094,8870,7922,150628,129555,887113,824325,1047684,962896
Union Territory,A & N Islands,1,1,12,15,398,337,1874,1881,2285,2234
Union Territory,Chandigarh,1,2,15,15,473,473,3301,3049,3790,3539
Union Territory,D & N Haveli,0,0,1,1,13,12,123,122,137,135
Union Territory,Daman & Diu,0,0,3,3,24,24,221,221,248,248
Union Territory,Delhi,23,25,292,283,10347,9606,36113,34673,46775,44587
Union Territory,Lakshadweep,0,0,2,2,53,44,293,272,348,318
Union Territory,Puducherry,1,1,18,18,279,201,1343,1239,1641,1459
Union Territory,Total (UTs),26,29,343,337,11587,10697,43268,41457,55224,52520
Total (All-India),Total (All-India),1099,1123,9213,8259,162215,140252,930381,865782,1102908,1015416
