Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
State,Andhra Pradesh,11419,529,9610,55228,76786
State,Arunachal Pradesh,69,4295,63,1293,5720
State,Assam,2459,5061,7800,37994,53314
State,Bihar,6122,2309,3001,47683,59115
State,Chhattisgarh,1279,1902,1133,7898,12212
State,Goa,59,6,76,3658,3799
State,Gujarat,8779,9990,3776,36250,58795
State,Haryana,4176,0,408,27343,31927
State,Himachal Pradesh,2875,728,178,8012,11793
State,Jammu & Kashmir,1592,1889,33274,22282,59037
State,Jharkhand,NA,NA,NA,NA,NA
State,Karnataka,8540,2268,3578,37761,52147
State,Kerala,6463,450,4766,31458,43137
State,Madhya Pradesh,NA,NA,NA,NA,NA
State,Maharashtra,20472,12476,7486,107014,147448
State,Manipur,174,3404,1388,9131,14097
State,Meghalaya,2084,6662,88,465,9299
State,Mizoram,58,3710,48,61,3877
State,Nagaland,423,10884,105,356,11768
State,Orissa,4807,5688,578,24896,35969
State,Punjab,NA,NA,NA,NA,NA
State,Rajasthan,9311,7470,1936,43732,62449
State,Sikkim,410,1052,3,1645,3110
State,Tamil Nadu,14366,1380,4158,61294,81198
State,Tripura,2200,1718,236,12726,16880
State,Uttar Pradesh,26361,1231,6671,121977,156240
State,Uttaranchal,2486,578,318,8387,11769
State,West Bengal,11418,3411,5748,61615,82192
State,Total (States),148402,89091,96426,770159,1104078
Union Territory,A & N Islands,0,295,220,2457,2972
Union Territory,Chandigarh,542,5,17,3394,3958
Union Territory,D & N Haveli,26,127,3,70,226
Union Territory,Daman & Diu,69,4,8,167,248
Union Territory,Delhi,9257,4149,1200,40177,54783
Union Territory,Lakshadweep,5,185,2,126,318
Union Territory,Puducherry,439,16,52,1635,2142
Union Territory,Total (UTs),10338,4781,1502,48026,64647
Total (All-India),Total (All-India),158740,93872,97928,818185,1168725
