Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,No of Persons whose Cases Compounded or Withdrawn,No of Persons whose Trial Completed,No of Persons whose Trial Remained Pending,No of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,564018,10724,499403,53891,486315,9.6,1.1
State,Arunachal Pradesh,561,0,5,556,2,99.1,0
State,Assam,16948,177,2165,14606,404,86.2,0.3
State,Bihar,69175,327,8879,59969,2763,86.7,1.2
State,Chhattisgarh,183525,0,155197,28328,141668,15.4,0.6
State,Goa,7689,9,2442,5238,2124,68.1,0.1
State,Gujarat,1487781,2684,101199,1383898,26584,93,28.3
State,Haryana,172652,336,35376,136940,18427,79.3,2.8
State,Himachal Pradesh,30850,67,4518,26265,593,85.1,0.5
State,Jammu & Kashmir,21961,110,2518,19333,691,88,0.4
State,Jharkhand,16107,234,3421,12452,919,77.3,0.3
State,Karnataka,88638,1180,34370,53088,22954,59.9,1.1
State,Kerala,129850,494,33421,95935,26732,73.9,2
State,Madhya Pradesh,366811,99,245002,121710,232407,33.2,2.5
State,Maharashtra,1594134,32321,219639,1342174,47909,84.2,27.4
State,Manipur,1654,0,178,1476,146,89.2,0
State,Meghalaya,1192,80,112,1000,60,83.9,0
State,Mizoram,3491,3,2717,771,2637,22.1,0
State,Nagaland,2661,2,244,2415,222,90.8,0
State,Orissa,45234,41,7184,38009,2611,84,0.8
State,Punjab,74467,170,21933,52364,15388,70.3,1.1
State,Rajasthan,154728,601,38385,115742,31107,74.8,2.4
State,Sikkim,77,0,45,32,33,41.6,0
State,Tamil Nadu,605640,12356,464204,129080,422766,21.3,2.6
State,Tripura,388,0,204,184,98,47.4,0
State,Uttar Pradesh,1539962,2249,510094,1027619,418115,66.7,21
State,Uttaranchal,76586,0,38294,38292,37530,50,0.8
State,West Bengal,1363137,6,1315926,47205,1310754,3.5,1
State,Total (States),8619917,64270,3747075,4808572,3251959,55.8,98.3
Union Territory,A & N Islands,10403,0,3185,7218,3183,69.4,0.1
Union Territory,Chandigarh,1694,0,693,1001,648,59.1,0
Union Territory,D & N Haveli,127,0,11,116,1,91.3,0
Union Territory,Daman & Diu,120,0,25,95,7,79.2,0
Union Territory,Delhi,87489,0,11471,76018,8781,86.9,1.6
Union Territory,Lakshadweep,25,0,22,3,17,12,0
Union Territory,Puducherry,1552,0,1168,384,1115,24.7,0
Union Territory,Total (UTs),101410,0,16575,84835,13752,83.7,1.7
Total (All-India),Total (All-India),8721327,64270,3763650,4893407,3265711,56.1,100
