Category,States/UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highway - Number,Highway - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,110,117.3,36,65.5,0,0,3,1.7,0,0,3,1.7,1,2,1,3.7,46,58.2,197,248.4
State,Arunachal Pradesh,18,4.5,0,0,0,0,0,0,0,0,0,0,1,30.6,1,0.3,2,1.1,22,36.5
State,Assam,312,85.7,49,15.6,2,0.3,3,0.5,0,0,3,0.5,3,10,48,21.1,56,11.7,473,145
State,Bihar,833,303.6,149,114.1,0,0,58,30.5,44,18,14,12.5,15,24.8,36,40.9,198,96.9,1289,610.8
State,Chhattisgarh,56,8.5,6,75.7,1,0.9,22,6.1,0,0,22,6.1,11,24.5,28,3.2,20,35.5,144,154.5
State,Goa,4,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,5,10.8
State,Gujarat,283,4917.3,75,269.3,0,0,4,90.5,0,0,4,90.5,0,0,127,1913,315,6659.8,804,13849.9
State,Haryana,21,16.9,10,91.6,0,0,1,0.6,1,0.6,0,0,1,0.6,3,1.1,25,85.7,61,196.4
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,30,10.7,1,0,0,0,0,0,0,0,0,0,3,7.7,4,2.5,4,1.5,42,22.4
State,Jharkhand,285,130.5,208,48.4,0,0,27,0,17,0,10,0,8,56.2,10,9,42,16.5,580,260.5
State,Karnataka,84,101.1,22,29.5,1,0,4,0.6,2,0.3,2,0.2,0,0,10,133,57,93.8,178,357.9
State,Kerala,22,54.8,7,1.7,2,1.4,0,0,0,0,0,0,0,0,27,22,79,118.2,137,198
State,Madhya Pradesh,53,90,23,92.7,0,0,1,0,1,0,0,0,0,0,3,0.3,56,76.4,136,259.5
