Category,States/ UTs,Estimated Mid-Year Population (In Lakhs),Murder - I,Murder - R,Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Hurt - I,Hurt - R,Hurt - P,Prot. of Civil Rights Act - I,Prot. of Civil Rights Act - R,Prot. of Civil Rights Act - P,SC/ ST Prev. of Atrocities Act - I,SC/ ST Prev. of Atrocities Act - R,SC/ ST Prev. of Atrocities Act - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
State,Andhra Pradesh,769.2,60,0.1,8.1,98,0.1,7.4,18,0,5.6,0,0,0,4,0,3.8,12,0,3.7,568,0.7,12.6,459,0.6,45.1,830,1.1,7.7,1336,1.7,9.3,3385,4.4,10.1
State,Arunachal Pradesh,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,272.5,3,0,0.4,0,0,0,4,0,1.3,0,0,0,2,0,1.9,2,0,0.6,14,0.1,0.3,0,0,0,0,0,0,22,0.1,0.2,47,0.2,0.1
State,Bihar,851.7,33,0,4.5,36,0,2.7,1,0,0.3,3,0,10.3,4,0,3.8,8,0,2.5,360,0.4,8,113,0.1,11.1,715,0.8,6.6,306,0.4,2.1,1579,1.9,4.7
State,Chhattisgarh,213,11,0.1,1.5,64,0.3,4.8,10,0,3.1,1,0,3.4,0,0,0,5,0,1.6,72,0.3,1.6,22,0.1,2.2,77,0.4,0.7,181,0.8,1.3,443,2.1,1.3
State,Goa,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0,2,0.1,0
State,Gujarat,517.9,34,0.1,4.6,17,0,1.3,27,0.1,8.5,11,0,37.9,24,0,22.9,13,0,4,340,0.7,7.6,6,0,0.6,332,0.6,3.1,566,1.1,3.9,1370,2.6,4.1
State,Haryana,216.4,12,0.1,1.6,26,0.1,2,16,0.1,5,0,0,0,1,0,1,4,0,1.2,61,0.3,1.4,0,0,0,32,0.1,0.3,91,0.4,0.6,243,1.1,0.7
State,Himachal Pradesh,61.8,2,0,0.3,12,0.2,0.9,1,0,0.3,0,0,0,0,0,0,1,0,0.3,3,0,0.1,10,0.2,1,32,0.5,0.3,36,0.6,0.3,97,1.6,0.3
State,Jammu & Kashmir,104.4,1,0,0.1,4,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0.3,2,0,0,0,0,0,0,0,0,5,0,0,13,0.1,0
State,Jharkhand,275.4,1,0,0.1,9,0,0.7,3,0,0.9,2,0,6.9,0,0,0,2,0,0.6,24,0.1,0.5,0,0,0,53,0.2,0.5,31,0.1,0.2,125,0.5,0.4
State,Karnataka,536.8,19,0,2.6,22,0,1.7,3,0,0.9,3,0,10.3,1,0,1,2,0,0.6,132,0.2,2.9,101,0.2,9.9,1099,2,10.2,405,0.8,2.8,1787,3.3,5.3
State,Kerala,322.7,2,0,0.3,48,0.1,3.6,2,0,0.6,0,0,0,0,0,0,4,0,1.2,162,0.5,3.6,0,0,0,229,0.7,2.1,77,0.2,0.5,524,1.6,1.6
State,Madhya Pradesh,620.7,79,0.1,10.7,412,0.7,31,49,0.1,15.4,0,0,0,17,0,16.2,62,0.1,19.3,1252,2,27.9,5,0,0.5,570,0.9,5.3,4771,7.7,33.2,7217,11.6,21.5
State,Maharashtra,988.3,12,0,1.6,64,0.1,4.8,10,0,3.1,2,0,6.9,2,0,1.9,7,0,2.2,42,0,0.9,76,0.1,7.5,136,0.1,1.3,283,0.3,2,634,0.6,1.9
State,Manipur,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,9.1,0,0,0,0,0,0,1,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
State,Nagaland,20.5,3,0.1,0.4,3,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.5,0.1,17,0.8,0.1
State,Orissa,373.4,11,0,1.5,38,0.1,2.9,6,0,1.9,2,0,6.9,6,0,5.7,10,0,3.1,267,0.7,5.9,3,0,0.3,466,1.2,4.3,386,1,2.7,1195,3.2,3.6
State,Punjab,247.7,3,0,0.4,12,0,0.9,1,0,0.3,0,0,0,0,0,0,0,0,0,6,0,0.1,2,0,0.2,53,0.2,0.5,54,0.2,0.4,131,0.5,0.4
State,Rajasthan,581.3,44,0.1,6,123,0.2,9.2,27,0,8.5,1,0,3.4,5,0,4.8,76,0.1,23.6,361,0.6,8,1,0,0.1,2384,4.1,22.1,1513,2.6,10.5,4535,7.8,13.5
State,Sikkim,5.5,0,0,0,1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0
State,Tamil Nadu,629.4,34,0.1,4.6,33,0.1,2.5,10,0,3.1,0,0,0,2,0,1.9,10,0,3.1,251,0.4,5.6,79,0.1,7.8,685,1.1,6.4,993,1.6,6.9,2097,3.3,6.3
State,Tripura,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1708.1,371,0.2,50.2,305,0.2,22.9,130,0.1,40.8,4,0,13.8,37,0,35.2,103,0.1,32,567,0.3,12.6,122,0.1,12,2974,1.7,27.6,3314,1.9,23,7927,4.6,23.7
State,Uttaranchal,86.8,4,0,0.5,3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1,0.2,0,0,0,85,1,0.8,0,0,0,99,1.1,0.3
State,West Bengal,817.1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0
State,Total (States),10335.2,739,0.1,100,1331,0.1,100,319,0,100,29,0,100,105,0,100,322,0,100,4491,0.4,100,999,0.1,98.1,10755,1,99.9,14383,1.4,100,33473,3.2,99.9
Union Territory,A & N Islands,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,143.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,15,0.1,0.1,0,0,0,16,0.1,0
Union Territory,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.8,1.8,0,0,0,0,0,0,18,1.8,0.1
Union Territory,Total (UTs),171.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.1,1.9,15,0.1,0.1,0,0,0,34,0.2,0.1
