Category,States/ UTs,No. of Officers (Dy. SP & Above) - Sanctioned,No. of Officers (Dy. SP & Above) - Actual,No. of Upper Subordinates (ASI to Inspectors) - Sanctioned,No. of Upper Subordinates (ASI to Inspectors) - Actual,No. of Lower Subordinates and Supporting Staff - Sanctioned,No. of Lower Subordinates and Supporting Staff - Actual
State,Andhra Pradesh,16,14,44,34,180,161
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,67,55,220,218,2609,2568
State,Bihar,335,264,240,75,5121,4905
State,Chhattisgarh,89,211,50,38,798,675
State,Goa,1,1,18,12,482,457
State,Gujarat,150,105,1500,1350,43630,40098
State,Haryana,37,22,75,60,482,424
State,Himachal Pradesh,28,20,310,226,239,201
State,Jammu & Kashmir,35,35,70,57,1488,1436
State,Jharkhand,15,12,136,54,32,18
State,Karnataka,459,1474,186,1197,4369,5167
State,Kerala,0,0,0,0,0,0
State,Madhya Pradesh,66,52,659,532,16607,15432
State,Maharashtra,2,2,0,0,777,675
State,Manipur,13,13,105,105,2232,2232
State,Meghalaya,18,17,63,56,1091,1054
State,Mizoram,8,7,18,12,130,121
State,Nagaland,5,4,6,8,79,89
State,Orissa,19,19,48,47,376,375
State,Punjab,2975,946,1505,994,21019,13619
State,Rajasthan,50,28,237,205,376,329
State,Sikkim,9,9,6,6,8,8
State,Tamil Nadu,155,151,464,265,6309,5879
State,Tripura,10,10,10,9,2973,3083
State,Uttar Pradesh,85,75,262,255,3004,2282
State,Uttaranchal,14,1,210,115,6411,6379
State,West Bengal,1102,981,1392,1645,19215,20856
State,Total (States),5763,4528,7834,7575,140037,128523
Union Territory,A & N Islands,0,1,1,0,6,3
Union Territory,Chandigarh,1,1,3,1,1132,1131
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,124,120
Union Territory,Delhi,3,3,8,7,10285,1543
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,1,1,2,2,5,4
Union Territory,Total (UTs),5,6,14,10,11552,2801
Total (All-India),Total (All-India),5768,4534,7848,7585,151589,131324
