Category,States/ UTs,Total No. of Cases Reported,Sex-wise/ Age Group-wise - Upto 10 Years - Male,Sex-wise/ Age Group-wise - Upto 10 Years - Female,Sex-wise/ Age Group-wise - 10 - 15 Years - Male,Sex-wise/ Age Group-wise - 10 - 15 Years - Female,Sex-wise/ Age Group-wise - 15 - 18 Years - Male,Sex-wise/ Age Group-wise - 15 - 18 Years - Female,Sex-wise/ Age Group-wise - 18 - 30 Years - Male,Sex-wise/ Age Group-wise - 18 - 30 Years - Female,Sex-wise/ Age Group-wise - 30 - 50 Years - Male,Sex-wise/ Age Group-wise - 30 - 50 Years - Female,Sex-wise/ Age Group-wise - Above 50 Years - Male,Sex-wise/ Age Group-wise - Above 50 Years - Female,Sex-wise/ Age Group-wise - Total - Male,Sex-wise/ Age Group-wise - Total - Female,Sex-wise/ Age Group-wise - Grand Total
State,Andhra Pradesh,1302,7,4,4,38,2,31,297,721,125,51,13,9,448,854,1302
State,Arunachal Pradesh,57,0,0,0,0,0,3,19,34,0,1,0,0,19,38,57
State,Assam,1595,0,0,0,0,0,1,191,688,122,593,0,0,313,1282,1595
State,Bihar,2361,7,1,9,9,4,2,1371,412,488,18,39,1,1918,443,2361
State,Chhattisgarh,178,0,9,0,60,2,15,11,73,3,3,2,0,18,160,178
State,Goa,9,0,0,0,1,1,3,0,1,4,0,0,0,5,5,10
State,Gujarat,1015,12,12,6,70,15,216,97,486,69,37,3,1,202,822,1024
State,Haryana,427,7,8,5,9,15,10,61,257,52,11,3,0,143,295,438
State,Himachal Pradesh,138,0,1,1,3,0,19,12,77,22,4,1,0,36,104,140
State,Jammu & Kashmir,674,0,0,0,0,0,23,36,533,42,40,0,0,78,596,674
State,Jharkhand,468,1,0,4,2,9,5,56,430,47,14,2,4,119,455,574
State,Karnataka,645,1,0,1,3,6,12,158,333,84,50,10,3,260,401,661
State,Kerala,162,5,4,6,9,5,36,25,32,35,7,11,0,87,88,175
State,Madhya Pradesh,964,22,14,20,26,23,49,135,447,142,116,11,1,353,653,1006
State,Maharashtra,953,26,22,12,92,28,227,119,329,83,24,10,4,278,698,976
State,Manipur,157,0,0,0,0,0,42,42,33,33,7,0,0,75,82,157
State,Meghalaya,52,0,0,1,2,0,1,15,7,26,0,0,0,42,10,52
State,Mizoram,7,0,0,0,0,0,0,2,1,2,3,0,0,4,4,8
State,Nagaland,27,0,0,0,0,0,1,5,2,14,1,4,0,23,4,27
State,Orissa,523,0,0,2,4,0,2,79,421,10,5,0,0,91,432,523
State,Punjab,551,7,7,3,21,3,21,83,332,57,16,7,0,160,397,557
State,Rajasthan,2587,3,3,2,7,10,27,377,1693,163,287,13,2,568,2019,2587
State,Sikkim,9,0,0,0,0,0,0,0,3,0,6,0,0,0,9,9
State,Tamil Nadu,1001,7,3,9,48,88,327,123,261,83,49,8,2,318,690,1008
State,Tripura,128,0,0,0,0,0,0,5,106,0,17,0,0,5,123,128
State,Uttar Pradesh,3430,11,2,73,138,150,176,653,1365,391,423,44,4,1322,2108,3430
State,Uttaranchal,198,0,0,1,0,2,0,16,164,8,6,1,0,28,170,198
State,West Bengal,831,5,5,4,21,4,66,31,626,19,58,0,1,63,777,840
State,Total (States),20449,121,95,163,563,367,1315,4019,9867,2124,1847,182,32,6976,13719,20695
Union Territory,A & N Islands,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
Union Territory,Chandigarh,54,2,1,0,8,0,23,1,16,5,1,0,0,8,49,57
Union Territory,D & N Haveli,9,0,0,0,0,0,0,4,5,0,0,1,0,5,5,10
Union Territory,Daman & Diu,3,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
Union Territory,Delhi,1323,85,45,50,99,36,150,195,568,74,89,5,0,445,951,1396
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,10,0,1,0,0,0,3,2,2,2,0,0,0,4,6,10
Union Territory,Total (UTs),1401,87,47,50,107,36,177,204,592,82,90,6,0,465,1013,1478
Total (All-India),Total (All-India),21850,208,142,213,670,403,1492,4223,10459,2206,1937,188,32,7441,14732,22173
