Category (Col. 1),States/ UTs (Col. 2),District / Session Judge - Duration of Trial - Less than 6 Months (Col. 3),District / Session Judge - Duration of Trial - 6-12 Months (Col. 4),District / Session Judge - Duration of Trial - 1-3 Years (Col. 5),District / Session Judge - Duration of Trial - 3-5 Years (Col. 6),District / Session Judge - Duration of Trial - 5-10 Years (Col. 7),District / Session Judge - Duration of Trial - Over 10 Years (Col. 8),District / Session Judge - Duration of Trial - Total (Col. 9) = (Col. 3 to Col. 8),Additional Session Judge - Duration of Trial - Less than 6 Months (Col. 10),Additional Session Judge - Duration of Trial - 6-12 Months (Col. 11),Additional Session Judge - Duration of Trial - 1-3 Years (Col. 12),Additional Session Judge - Duration of Trial - 3-5 Years (Col. 13),Additional Session Judge - Duration of Trial - 5-10 Years (Col. 14),Additional Session Judge - Duration of Trial - Over 10 Years (Col. 15),Additional Session Judge - Duration of Trial - Total (Col. 16) = (Col. 10 to Col. 15),Chief Judicial Magistrate - Duration of Trial - Less than 6 Months (Col. 17),Chief Judicial Magistrate - Duration of Trial - 6-12 Months (Col. 18),Chief Judicial Magistrate - Duration of Trial - 1-3 Years (Col. 19),Chief Judicial Magistrate - Duration of Trial - 3-5 Years (Col. 20),Chief Judicial Magistrate - Duration of Trial - 5-10 Years (Col. 21),Chief Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 22),Chief Judicial Magistrate - Duration of Trial - Total (Col. 23) = (Col. 17 to Col. 22),Judicial Magistrate (I) - Duration of Trial - Less than 6 Months (Col. 24),Judicial Magistrate (I) - Duration of Trial - 6-12 Months (Col. 25),Judicial Magistrate (I) - Duration of Trial - 1-3 Years (Col. 26),Judicial Magistrate (I) - Duration of Trial - 3-5 Years (Col. 27),Judicial Magistrate (I) - Duration of Trial - 5-10 Years (Col. 28),Judicial Magistrate (I) - Duration of Trial - Over 10 Years (Col. 29),Judicial Magistrate (I) - Duration of Trial - Total (Col. 30) = (Col. 24 to Col. 29),Judicial Magistrate (II) - Duration of Trial - Less than 6 Months (Col. 31),Judicial Magistrate (II) - Duration of Trial - 6-12 Months (Col. 32),Judicial Magistrate (II) - Duration of Trial - 1-3 Years (Col. 33),Judicial Magistrate (II) - Duration of Trial - 3-5 Years (Col. 34),Judicial Magistrate (II) - Duration of Trial - 5-10 Years (Col. 35),Judicial Magistrate (II) - Duration of Trial - Over 10 Years (Col. 36),Judicial Magistrate (II) - Duration of Trial - Total (Col. 37) = (Col. 31) to (Col. 36),Special Judicial Magistrate - Duration of Trial - Less than 6 Months (Col. 38),Special Judicial Magistrate - Duration of Trial - 6-12 Months (Col. 39),Special Judicial Magistrate - Duration of Trial - 1-3 Years (Col. 40),Special Judicial Magistrate - Duration of Trial - 3-5 Years (Col. 41),Special Judicial Magistrate - Duration of Trial - 5-10 Years (Col. 42),Special Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 43),Special Judicial Magistrate - Duration of Trial - Total (Col. 44) = (Col. 38) to (Col. 43),Other Type of Courts - Duration of Trial - Less than 6 Months (Col. 45),Other Type of Courts - Duration of Trial - 6-12 Months (Col. 46),Other Type of Courts - Duration of Trial - 1-3 Years (Col. 47),Other Type of Courts - Duration of Trial - 3-5 Years (Col. 48),Other Type of Courts - Duration of Trial - 5-10 Years (Col. 49),Other Type of Courts - Duration of Trial - Over 10 Years (Col. 50),Other Type of Courts - Duration of Trial - Total (Col. 51) = (Col. 45) to (Col. 50),Sum of All Type of Courts - Duration of Trial - Less than 6 Months (Col. 52),Sum of All Type of Courts - Duration of Trial - 6-12 Months (Col. 53),Sum of All Type of Courts - Duration of Trial - 1-3 Years (Col. 54),Sum of All Type of Courts - Duration of Trial - 3-5 Years (Col. 55),Sum of All Type of Courts - Duration of Trial - 5-10 Years (Col. 56),Sum of All Type of Courts - Duration of Trial - Over 10 Years (Col. 57),Sum of All Type of Courts - Duration of Trial - Total (Col. 58) = (Col. 52) to (Col. 57)
State,Andhra Pradesh,28,104,1694,735,246,48,2855,106,361,2357,1414,687,142,5067,265,461,970,498,310,26,2530,5069,9134,15905,8081,2788,445,41422,2844,4054,4580,2426,129,46,14079,1939,1616,2382,1211,571,75,7794,274,658,951,380,130,1,2394,10525,16388,28839,14745,4861,783,76141
State,Arunachal Pradesh,0,0,8,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,172,37,0,0,265,0,2,93,22,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,273,60,0,0,391
State,Assam,281,397,356,290,141,27,1492,221,387,264,259,141,25,1297,436,807,991,487,306,41,3068,1011,1048,1098,474,145,64,3840,474,600,636,351,181,31,2273,33,69,121,94,63,28,408,18,73,51,52,22,0,216,2474,3381,3517,2007,999,216,12594
State,Bihar,0,3,268,403,432,203,1309,0,146,969,1696,1886,525,5222,4,27,1254,1251,1060,25,3621,27,472,4104,4250,2732,64,11649,4,316,2220,2359,1187,50,6136,3,129,726,415,160,11,1444,0,405,1330,1493,1132,31,4391,38,1498,10871,11867,8589,909,33772
State,Chhattisgarh,196,144,401,315,46,12,1114,299,533,1288,426,151,21,2718,2555,1867,1370,842,295,150,7079,4534,3143,2241,1535,355,224,12032,628,958,528,225,63,9,2411,84,71,111,85,9,2,362,362,199,595,233,27,219,1635,8658,6915,6534,3661,946,637,27351
State,Goa,0,1,26,11,8,4,50,1,1,11,9,0,0,22,0,7,43,21,5,14,90,39,177,571,237,140,180,1344,1,28,66,39,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,214,717,317,153,198,1640
State,Gujarat,29,95,410,326,246,37,1143,12,80,526,477,312,38,1445,550,839,1795,1487,1533,370,6574,1214,2506,6124,5546,2759,836,18985,592,810,1655,2188,954,287,6486,333,404,543,1384,140,9,2813,341,472,193,143,155,62,1366,3071,5206,11246,11551,6099,1639,38812
State,Haryana,36,177,409,141,54,7,824,224,735,1542,645,235,118,3499,589,1134,1513,1105,427,73,4841,1755,1428,2326,1927,1121,170,8727,1587,2161,1954,1248,635,83,7668,152,274,362,237,51,49,1125,20,66,173,189,132,22,602,4363,5975,8279,5492,2655,522,27286
State,Himachal Pradesh,5,39,123,46,38,0,251,11,34,69,30,4,0,148,454,340,510,443,111,0,1858,176,224,499,464,111,2,1476,37,179,463,502,135,7,1323,3,20,27,15,15,0,80,20,35,194,53,35,0,337,706,871,1885,1553,449,9,5473
State,Jammu & Kashmir,91,87,409,289,237,84,1197,56,111,199,149,95,21,631,843,581,513,312,219,55,2523,799,656,551,432,233,117,2788,119,293,346,116,61,21,956,47,67,301,100,44,20,579,88,170,154,87,87,0,586,2043,1965,2473,1485,976,318,9260
State,Jharkhand,9,95,180,440,340,210,1274,15,250,1020,760,930,924,3899,29,71,520,668,638,252,2178,18,284,2196,2264,2321,2232,9315,8,273,468,562,285,336,1932,0,10,101,84,45,23,263,0,15,95,94,72,44,320,79,998,4580,4872,4631,4021,19181
State,Karnataka,38,231,1038,852,626,57,2842,22,95,596,695,185,36,1629,1389,3114,5417,3889,2399,73,16281,6054,5342,8477,4152,1263,78,25366,2530,3712,8246,3320,746,85,18639,78,411,674,144,72,9,1388,262,930,1650,605,123,0,3570,10373,13835,26098,13657,5414,338,69715
State,Kerala,149,194,468,312,168,20,1311,184,281,806,386,125,15,1797,333,545,1155,669,274,36,3012,6297,8522,17016,7978,2220,304,42337,1362,2070,3475,2212,500,71,9690,2,12,16,3,1,0,34,213,220,295,114,33,1,876,8540,11844,23231,11674,3321,447,59057
State,Madhya Pradesh,1768,1599,2062,1519,418,29,7395,1683,2183,3096,1635,971,230,9798,6342,4838,4663,2490,2254,364,20951,8721,8670,9302,6617,2853,1109,37272,2278,3121,3678,2212,1204,493,12986,1057,1233,1959,590,158,53,5050,701,667,614,425,237,141,2785,22550,22311,25374,15488,8095,2419,96237
