Category,States/ UTs/ Cities,Population (In Lakhs)@,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dowry Deaths - I,Dowry Deaths - R,Dowry Deaths - P,Cruelty by Husband and Relatives - I,Cruelty by Husband and Relatives - R,Cruelty by Husband and Relatives - P,Molestation - I,Molestation - R,Molestation - P,Eve Teasing (Sexual Harassment) - I,Eve Teasing (Sexual Harassment) - R,Eve Teasing (Sexual Harassment) - P,Importation of Girls - I,Importation of Girls - R,Importation of Girls - P,Sati Prevention Act - I,Sati Prevention Act - R,Sati Prevention Act - P,Immoral Traffic (P) Act - I,Immoral Traffic (P) Act - R,Immoral Traffic (P) Act - P,Indecent Representation of Women (P) Act - I,Indecent Representation of Women (P) Act - R,Indecent Representation of Women (P) Act - P,Dowry Prohibition Act - I,Dowry Prohibition Act - R,Dowry Prohibition Act - P,Total - I,Total - R,Total - P
State,Andhra Pradesh,769.15,1002,1.3,6.1,854,1.1,5.9,449,0.6,6.6,7018,9.1,14.3,3799,4.9,11.2,2024,2.6,19.9,0,0,0,0,0,0,871,1.1,7.7,2403,3.1,95.8,460,0.6,16.3,18880,24.5,12.8
State,Arunachal Pradesh,11.15,38,3.4,0.2,38,3.4,0.3,0,0,0,13,1.2,0,68,6.1,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,14.3,0.1
State,Assam,272.47,970,3.6,5.9,1276,4.7,8.8,70,0.3,1,1694,6.2,3.4,984,3.6,2.9,7,0,0.1,0,0,0,0,0,0,24,0.1,0.2,3,0,0.1,64,0.2,2.3,5092,18.7,3.4
State,Bihar,851.71,1040,1.2,6.4,744,0.9,5.1,927,1.1,13.6,1577,1.9,3.2,621,0.7,1.8,6,0,0.1,38,0,50,0,0,0,10,0,0.1,1,0,0,779,0.9,27.7,5743,6.7,3.9
State,Chhattisgarh,213.03,992,4.7,6.1,154,0.7,1.1,85,0.4,1.2,653,3.1,1.3,1483,7,4.4,147,0.7,1.4,0,0,0,0,0,0,4656,21.9,41.4,0,0,0,12,0.1,0.4,8182,38.4,5.5
State,Goa,13.88,12,0.9,0.1,5,0.4,0,2,0.1,0,8,0.6,0,18,1.3,0.1,6,0.4,0.1,0,0,0,0,0,0,25,1.8,0.2,0,0,0,0,0,0,76,5.5,0.1
State,Gujarat,517.89,267,0.5,1.6,807,1.6,5.6,62,0.1,0.9,3321,6.4,6.7,750,1.4,2.2,104,0.2,1,0,0,0,0,0,0,57,0.1,0.5,4,0,0.2,1,0,0,5373,10.4,3.6
State,Haryana,216.44,361,1.7,2.2,290,1.3,2,256,1.2,3.8,1565,7.2,3.2,454,2.1,1.3,1424,6.6,14,0,0,0,0,0,0,32,0.1,0.3,0,0,0,3,0,0.1,4385,20.3,3
State,Himachal Pradesh,61.78,137,2.2,0.8,116,1.9,0.8,6,0.1,0.1,234,3.8,0.5,326,5.3,1,12,0.2,0.1,0,0,0,0,0,0,2,0,0,0,0,0,5,0.1,0.2,838,13.6,0.6
State,Jammu & Kashmir,104.4,192,1.8,1.2,596,5.7,4.1,18,0.2,0.3,54,0.5,0.1,785,7.5,2.3,368,3.5,3.6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2016,19.3,1.4
