Category,States/ UTs/ Cities,Population (In Lakhs)@,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dowry Deaths - I,Dowry Deaths - R,Dowry Deaths - P,Cruelty by Husband and Relatives - I,Cruelty by Husband and Relatives - R,Cruelty by Husband and Relatives - P,Molestation - I,Molestation - R,Molestation - P,Eve Teasing (Sexual Harassment) - I,Eve Teasing (Sexual Harassment) - R,Eve Teasing (Sexual Harassment) - P,Importation of Girls - I,Importation of Girls - R,Importation of Girls - P,Sati Prevention Act - I,Sati Prevention Act - R,Sati Prevention Act - P,Immoral Traffic (P) Act - I,Immoral Traffic (P) Act - R,Immoral Traffic (P) Act - P,Indecent Representation of Women (P) Act - I,Indecent Representation of Women (P) Act - R,Indecent Representation of Women (P) Act - P,Dowry Prohibition Act - I,Dowry Prohibition Act - R,Dowry Prohibition Act - P,Total - I,Total - R,Total - P
State,Jharkhand,275.43,797,2.9,4.9,178,0.6,1.2,275,1,4,588,2.1,1.2,411,1.5,1.2,3,0,0,36,0.1,47.4,0,0,0,3,0,0,0,0,0,199,0.7,7.1,2490,9,1.7
State,Karnataka,536.81,292,0.5,1.8,300,0.6,2.1,233,0.4,3.4,1826,3.4,3.7,1648,3.1,4.9,100,0.2,1,0,0,0,0,0,0,1388,2.6,12.3,0,0,0,383,0.7,13.6,6170,11.5,4.2
State,Kerala,322.7,499,1.5,3,91,0.3,0.6,17,0.1,0.2,2836,8.8,5.8,2123,6.6,6.3,102,0.3,1,0,0,0,0,0,0,132,0.4,1.2,26,0.1,1,3,0,0.1,5829,18.1,3.9
State,Madhya Pradesh,620.72,2891,4.7,17.7,639,1,4.4,674,1.1,9.9,3117,5,6.3,7118,11.5,21,783,1.3,7.7,0,0,0,0,0,0,14,0,0.1,0,0,0,24,0,0.9,15260,24.6,10.3
State,Maharashtra,988.26,1352,1.4,8.3,650,0.7,4.5,303,0.3,4.4,5353,5.4,10.9,2686,2.7,7.9,769,0.8,7.6,0,0,0,0,0,0,182,0.2,1.6,4,0,0.2,23,0,0.8,11322,11.5,7.7
State,Manipur,24.43,14,0.6,0.1,82,3.4,0.6,0,0,0,10,0.4,0,58,2.4,0.2,0,0,0,0,0,0,0,0,0,6,0.2,0.1,0,0,0,0,0,0,170,7,0.1
State,Meghalaya,23.58,38,1.6,0.2,10,0.4,0.1,0,0,0,0,0,0,23,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3,0
State,Mizoram,9.1,76,8.4,0.5,2,0.2,0,0,0,0,3,0.3,0,73,8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,16.9,0.1
State,Nagaland,20.47,17,0.8,0.1,4,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,26,1.3,0
State,Orissa,373.43,691,1.9,4.2,432,1.2,3,248,0.7,3.6,1167,3.1,2.4,1605,4.3,4.7,188,0.5,1.9,0,0,0,0,0,0,24,0.1,0.2,0,0,0,424,1.1,15.1,4779,12.8,3.2
State,Punjab,247.71,299,1.2,1.8,354,1.4,2.4,166,0.7,2.4,944,3.8,1.9,341,1.4,1,145,0.6,1.4,0,0,0,0,0,0,38,0.2,0.3,8,0,0.3,0,0,0,2295,9.3,1.6
State,Rajasthan,581.25,1051,1.8,6.4,2019,3.5,13.9,399,0.7,5.8,5691,9.8,11.6,2730,4.7,8,44,0.1,0.4,0,0,0,0,0,0,55,0.1,0.5,54,0.1,2.2,6,0,0.2,12049,20.7,8.2
State,Sikkim,5.53,6,1.1,0,2,0.4,0,0,0,0,3,0.5,0,17,3.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5.1,0
State,Tamil Nadu,629.43,534,0.8,3.3,714,1.1,4.9,243,0.4,3.6,1052,1.7,2.1,1877,3,5.5,1718,2.7,16.9,0,0,0,0,0,0,3530,5.6,31.4,5,0,0.2,125,0.2,4.4,9798,15.6,6.6
State,Tripura,32.47,108,3.3,0.7,48,1.5,0.3,16,0.5,0.2,236,7.3,0.5,128,3.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,16.5,0.4
State,Uttar Pradesh,1708.1,1415,0.8,8.6,2298,1.3,15.8,1893,1.1,27.7,5679,3.3,11.5,2145,1.3,6.3,1887,1.1,18.6,0,0,0,0,0,0,42,0,0.4,0,0,0,288,0.2,10.2,15647,9.2,10.6
State,Uttaranchal,86.76,89,1,0.5,155,1.8,1.1,66,0.8,1,316,3.6,0.6,145,1.7,0.4,97,1.1,1,1,0,1.3,0,0,0,0,0,0,0,0,0,1,0,0,870,10,0.6
State,West Bengal,817.07,759,0.9,4.6,694,0.8,4.8,273,0.3,4,4069,5,8.3,964,1.2,2.8,34,0,0.3,1,0,1.3,0,0,0,42,0.1,0.4,0,0,0,6,0,0.2,6842,8.4,4.6
State,Total (States),10335.15,15939,1.5,97.3,13552,1.3,93.4,6681,0.6,97.9,49027,4.7,99.6,33381,3.2,98.3,9970,1,98.2,76,0,100,0,0,0,11140,1.1,99.1,2508,0.2,100,2806,0.3,99.6,145080,14,98.2
Union Territory,A & N Islands,3.65,2,0.5,0,1,0.3,0,0,0,0,4,1.1,0,17,4.7,0.1,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7.4,0
Union Territory,Chandigarh,9.32,18,1.9,0.1,47,5,0.3,1,0.1,0,56,6,0.1,36,3.9,0.1,28,3,0.3,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,189,20.3,0.1
Union Territory,D & N Haveli,2.28,4,1.8,0,5,2.2,0,0,0,0,3,1.3,0,3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6.6,0
Union Territory,Daman & Diu,1.64,0,0,0,2,1.2,0,0,0,0,3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8,0,0,0,0,0,0,0,8,4.9,0
Union Territory,Delhi,143.83,403,2.8,2.5,893,6.2,6.2,135,0.9,2,135,0.9,0.3,446,3.1,1.3,128,0.9,1.3,0,0,0,0,0,0,69,0.5,0.6,0,0,0,7,0,0.2,2216,15.4,1.5
Union Territory,Lakshadweep,0.62,1,1.6,0,0,0,0,0,0,0,0,0,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.2,0
Union Territory,Puducherry,9.91,6,0.6,0,6,0.6,0,5,0.5,0.1,9,0.9,0,59,6,0.2,26,2.6,0.3,0,0,0,0,0,0,27,2.7,0.2,0,0,0,3,0.3,0.1,141,14.2,0.1
Union Territory,Total (UTs),171.25,434,2.5,2.7,954,5.6,6.6,141,0.8,2.1,210,1.2,0.4,562,3.3,1.7,185,1.1,1.8,0,0,0,0,0,0,102,0.6,0.9,0,0.6,0,10,0.1,0.4,2598,15.2,1.8
Total (All-India),Total (All-India),10506.4,16373,1.6,100,14506,1.4,100,6822,0.6,100,49237,4.7,100,33943,3.2,100,10155,1,100,76,0,100,0,0,0,11242,1.1,100,2508,0.2,100,2816,0.3,100,147678,14.1,100
City,Agra,13.21,41,3.1,3.1,102,7.7,4.5,50,3.8,8.2,372,28.2,5.7,86,6.5,3.2,82,6.2,2.4,0,0,0,0,0,0,3,0.2,0.1,0,0,0,0,0,0,736,55.7,3.7
City,Ahmedabad,45.19,12,0.3,0.9,92,2,4.1,6,0.1,1,433,9.6,6.7,36,0.8,1.3,18,0.4,0.5,0,0,0,0,0,0,2,0,0.1,0,0,0,0,0,0,599,13.3,3
City,Allahabad,10.5,17,1.6,1.3,25,2.4,1.1,6,0.6,1,59,5.6,0.9,8,0.8,0.3,36,3.4,1,0,0,0,0,0,0,15,1.4,0.7,0,0,0,2,0.2,0.5,168,16,0.8
City,Amritsar,10.11,4,0.4,0.3,20,2,0.9,6,0.6,1,59,5.8,0.9,10,1,0.4,0,0,0,0,0,0,0,0,0,6,0.6,0.3,0,0,0,0,0,0,105,10.4,0.5
City,Asansol,10.91,1,0.1,0.1,0,0,0,2,0.2,0.3,28,2.6,0.4,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2.9,0.2
City,Bangalore,56.87,32,0.6,2.4,58,1,2.6,33,0.6,5.4,242,4.3,3.7,237,4.2,8.8,62,1.1,1.8,0,0,0,0,0,0,408,7.2,20.2,0,0,0,259,4.6,60,1331,23.4,6.7
City,Bhopal,14.55,56,3.8,4.3,14,1,0.6,13,0.9,2.1,114,7.8,1.8,175,12,6.5,41,2.8,1.2,0,0,0,0,0,0,3,0.2,0.1,0,0,0,0,0,0,416,28.6,2.1
City,Chennai,64.25,26,0.4,2,21,0.3,0.9,20,0.3,3.3,106,1.6,1.6,61,0.9,2.3,941,14.6,27.3,0,0,0,0,0,0,647,10.1,32.1,1,0,0.2,0,0,0,1823,28.4,9.2
City,Coimbatore,14.46,2,0.1,0.2,4,0.3,0.2,7,0.5,1.1,28,1.9,0.4,14,1,0.5,16,1.1,0.5,0,0,0,0,0,0,218,15.1,10.8,0,0,0,0,0,0,289,20,1.5
City,Delhi (City),127.91,320,2.5,24.4,759,5.9,33.7,108,0.8,17.6,127,1,2,356,2.8,13.3,116,0.9,3.4,0,0,0,0,0,0,69,0.5,3.4,0,0,0,7,0.1,1.6,1862,14.6,9.4
City,Dhanbad,10.64,40,3.8,3,58,5.5,2.6,36,3.4,5.9,28,2.6,0.4,57,5.4,2.1,3,0.3,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,62,5.8,14.4,285,26.8,1.4
City,Faridabad,10.55,16,1.5,1.2,24,2.3,1.1,10,0.9,1.6,50,4.7,0.8,7,0.7,0.3,857,81.2,24.9,0,0,0,0,0,0,5,0.5,0.2,0,0,0,0,0,0,969,91.8,4.9
City,Hyderabad,55.34,57,1,4.3,61,1.1,2.7,24,0.4,3.9,590,10.7,9.1,138,2.5,5.1,123,2.2,3.6,0,0,0,0,0,0,44,0.8,2.2,548,9.9,97.7,3,0.1,0.7,1588,28.7,8
City,Indore,16.39,61,3.7,4.6,21,1.3,0.9,13,0.8,2.1,162,9.9,2.5,132,8.1,4.9,46,2.8,1.3,0,0,0,0,0,0,3,0.2,0.1,0,0,0,0,0,0,438,26.7,2.2
City,Jabalpur,11.17,47,4.2,3.6,12,1.1,0.5,26,2.3,4.2,82,7.3,1.3,120,10.7,4.5,49,4.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,30.1,1.7
City,Jaipur,23.24,42,1.8,3.2,169,7.3,7.5,17,0.7,2.8,397,17.1,6.1,119,5.1,4.4,0,0,0,0,0,0,0,0,0,21,0.9,1,0,0,0,0,0,0,765,32.9,3.9
City,Jamshedpur,11.02,56,5.1,4.3,18,1.6,0.8,5,0.5,0.8,61,5.5,0.9,27,2.5,1,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,168,15.2,0.8
City,Kanpur,26.9,30,1.1,2.3,126,4.7,5.6,50,1.9,8.2,307,11.4,4.7,75,2.8,2.8,123,4.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,25,0.9,5.8,736,27.4,3.7
City,Kochi,13.55,8,0.6,0.6,3,0.2,0.1,1,0.1,0.2,57,4.2,0.9,56,4.1,2.1,4,0.3,0.1,0,0,0,0,0,0,6,0.4,0.3,2,0.1,0.4,0,0,0,137,10.1,0.7
City,Kolkata,132.17,33,0.2,2.5,74,0.6,3.3,4,0,0.7,235,1.8,3.6,160,1.2,6,24,0.2,0.7,0,0,0,0,0,0,28,0.2,1.4,0,0,0,0,0,0,558,4.2,2.8
City,Lucknow,22.67,22,1,1.7,119,5.2,5.3,35,1.5,5.7,324,14.3,5,47,2.1,1.8,102,4.5,3,0,0,0,0,0,0,3,0.1,0.1,0,0,0,0,0,0,652,28.8,3.3
City,Ludhiana,13.95,37,2.7,2.8,86,6.2,3.8,15,1.1,2.5,136,9.7,2.1,84,6,3.1,120,8.6,3.5,0,0,0,0,0,0,2,0.1,0.1,8,0.6,1.4,0,0,0,488,35,2.5
City,Madurai,11.95,7,0.6,0.5,12,1,0.5,6,0.5,1,25,2.1,0.4,23,1.9,0.9,123,10.3,3.6,0,0,0,0,0,0,201,16.8,10,0,0,0,0,0,0,397,33.2,2
City,Meerut,11.67,12,1,0.9,45,3.9,2,9,0.8,1.5,142,12.2,2.2,19,1.6,0.7,62,5.3,1.8,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,293,25.1,1.5
City,Mumbai,163.68,128,0.8,9.8,61,0.4,2.7,18,0.1,2.9,214,1.3,3.3,254,1.6,9.5,40,0.2,1.2,0,0,0,0,0,0,138,0.8,6.8,0,0,0,1,0,0.2,854,5.2,4.3
City,Nagpur,21.23,49,2.3,3.7,41,1.9,1.8,4,0.2,0.7,210,9.9,3.2,63,3,2.3,38,1.8,1.1,0,0,0,0,0,0,4,0.2,0.2,0,0,0,3,0.1,0.7,412,19.4,2.1
City,Nasik,11.52,12,1,0.9,8,0.7,0.4,3,0.3,0.5,136,11.8,2.1,20,1.7,0.7,11,1,0.3,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,192,16.7,1
City,Patna,17.07,17,1,1.3,24,1.4,1.1,27,1.6,4.4,103,6,1.6,29,1.7,1.1,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0,0,0,23,1.3,5.3,226,13.2,1.1
City,Pune,37.56,51,1.4,3.9,22,0.6,1,5,0.1,0.8,131,3.5,2,59,1.6,2.2,97,2.6,2.8,0,0,0,0,0,0,11,0.3,0.5,0,0,0,0,0,0,376,10,1.9
City,Rajkot,10.02,6,0.6,0.5,29,2.9,1.3,5,0.5,0.8,173,17.3,2.7,28,2.8,1,12,1.2,0.3,0,0,0,0,0,0,7,0.7,0.3,0,0,0,0,0,0,260,25.9,1.3
City,Surat,28.11,18,0.6,1.4,36,1.3,1.6,20,0.7,3.3,112,4,1.7,18,0.6,0.7,12,0.4,0.3,0,0,0,0,0,0,43,1.5,2.1,0,0,0,0,0,0,259,9.2,1.3
City,Vadodara,14.92,5,0.3,0.4,28,1.9,1.2,0,0,0,80,5.4,1.2,9,0.6,0.3,7,0.5,0.2,0,0,0,0,0,0,1,0.1,0,2,0.1,0.4,0,0,0,132,8.8,0.7
City,Varanasi,12.12,8,0.7,0.6,26,2.1,1.2,16,1.3,2.6,54,4.5,0.8,8,0.7,0.3,93,7.7,2.7,0,0,0,0,0,0,2,0.2,0.1,0,0,0,9,0.7,2.1,216,17.8,1.1
City,Vijayawada,10.11,31,3.1,2.4,43,4.3,1.9,9,0.9,1.5,869,86,13.4,119,11.8,4.4,171,16.9,5,0,0,0,0,0,0,87,8.6,4.3,0,0,0,35,3.5,8.1,1364,134.9,6.9
City,Vishakhapatnam,13.29,8,0.6,0.6,10,0.8,0.4,3,0.2,0.5,235,17.7,3.6,28,2.1,1,18,1.4,0.5,0,0,0,0,0,0,27,2,1.3,0,0,0,3,0.2,0.7,332,25,1.7
Total (Cities),Total (Cities),1078.8,1312,1.2,100,2251,2.1,100,612,0.6,100,6481,6,100,2683,2.5,100,3447,3.2,100,0,0,0,0,0,0,2015,1.9,100,561,0.5,100,432,0.4,100,19794,18.3,100
