Category,States/UTs,Number of Victims - Upto 10 Years - Male,Number of Victims - Upto 10 Years - Female,Number of Victims - Upto 10 Years - Total,Number of Victims - 10-15 Years - Male,Number of Victims - 10-15 Years - Female,Number of Victims - 10-15 Years - Total,Number of Victims - 15-18 Years - Male,Number of Victims - 15-18 Years - Female,Number of Victims - 15-18 Years - Total,Number of Victims - 18-30 Years - Male,Number of Victims - 18-30 Years - Female,Number of Victims - 18-30 Years - Total,Number of Victims - 30-50 Years - Male,Number of Victims - 30-50 Years - Female,Number of Victims - 30-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - Total of All Age Groups - Male,Number of Victims - Total of All Age Groups - Female,Number of Victims - Total of All Age Groups - Total
State,Andhra Pradesh,2,0,2,2,0,2,7,0,7,78,8,86,82,9,91,10,5,15,181,22,203
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,0,1,6,0,6
State,Assam,0,0,0,0,0,0,0,0,0,28,1,29,22,0,22,4,0,4,54,1,55
State,Bihar,0,0,0,1,0,1,15,2,17,189,12,201,158,5,163,18,0,18,381,19,400
State,Chhattisgarh,2,0,2,0,1,1,3,0,3,7,2,9,5,1,6,3,0,3,20,4,24
State,Goa,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,1,0,1,6,0,6
State,Gujarat,0,0,0,0,0,0,0,0,0,6,1,7,12,2,14,6,0,6,24,3,27
State,Haryana,2,1,3,0,1,1,5,1,6,40,5,45,35,3,38,1,1,2,83,12,95
State,Himachal Pradesh,0,0,0,1,0,1,0,0,0,0,1,1,2,1,3,1,0,1,4,2,6
State,Jammu & Kashmir,0,0,0,0,0,0,2,0,2,11,2,13,14,2,16,1,0,1,28,4,32
State,Jharkhand,1,2,3,3,2,5,4,3,7,39,6,45,42,5,47,6,2,8,95,20,115
State,Karnataka,5,1,6,0,0,0,4,2,6,20,2,22,20,1,21,3,1,4,52,7,59
State,Kerala,0,4,4,4,0,4,1,0,1,93,8,101,82,5,87,10,3,13,190,20,210
State,Madhya Pradesh,4,0,4,14,1,15,16,3,19,73,18,91,52,14,66,23,11,34,182,47,229
State,Maharashtra,3,1,4,1,0,1,1,1,2,45,1,46,40,3,43,9,5,14,99,11,110
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,3
State,Meghalaya,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
State,Mizoram,0,0,0,0,0,0,2,0,2,1,0,1,1,1,2,0,0,0,4,1,5
State,Nagaland,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
State,Orissa,0,1,1,0,0,0,2,0,2,15,13,28,25,6,31,1,0,1,43,20,63
State,Punjab,3,3,6,0,0,0,1,1,2,47,11,58,51,12,63,1,2,3,103,29,132
State,Rajasthan,0,0,0,1,0,1,1,0,1,17,15,32,27,3,30,4,0,4,50,18,68
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
State,Tamil Nadu,0,0,0,0,0,0,4,1,5,9,3,12,17,3,20,0,0,0,30,7,37
State,Tripura,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
State,Uttar Pradesh,4,7,11,10,2,12,66,10,76,540,68,608,451,34,485,84,6,90,1155,127,1282
State,Uttaranchal,0,0,0,0,0,0,0,0,0,18,3,21,21,1,22,5,0,5,44,4,48
State,West Bengal,0,0,0,0,1,1,2,0,2,307,35,342,165,13,178,15,2,17,489,51,540
State,Total (States),26,20,46,37,8,45,136,24,160,1597,216,1813,1331,125,1456,208,39,247,3335,432,3767
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,7,0,7
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,5,3,8,1,0,1,3,0,3,34,3,37,22,5,27,3,0,3,68,11,79
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2
Union Territory,Total (UTs),5,3,8,1,0,1,3,0,3,38,5,43,26,5,31,3,0,3,76,13,89
Total (All-India),Total (All-India),31,23,54,38,8,46,139,24,163,1635,221,1856,1357,130,1487,211,39,250,3411,445,3856
