Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,5904,1309.3,11,2.3,0,0,9,0.2,0,0,9,0.2,27,101.4,1083,267.6,594,81.3,7628,1762.2
State,Arunachal Pradesh,195,73.1,0,0,0,0,0,0,0,0,0,0,0,0,34,4.5,20,3,249,80.6
State,Assam,1635,164.7,0,0,2,0.7,88,1,3,0.1,85,0.9,0,0,475,42,304,13.1,2504,221.5
State,Bihar,2434,163.8,0,0,0,0,9,0.7,0,0,9,0.7,0,0,269,14.6,476,22.7,3188,201.8
State,Chhattisgarh,2707,238.9,234,20.7,0,0,6,0.5,0,0,6,0.5,6,0.4,511,43.2,267,4.6,3731,308.3
State,Goa,187,79.4,0,0,0,0,0,0,0,0,0,0,4,0.3,130,41.1,55,5.4,376,126.2
State,Gujarat,3350,1253.2,1,0.8,0,0,26,8.1,26,8.1,0,0,30,13.6,976,368.5,944,167.3,5327,1811.5
State,Haryana,2009,448.1,11,1,0,0,2,0,2,0,0,0,26,1,589,113.5,411,99.5,3048,663.2
State,Himachal Pradesh,308,62.8,0,0,0,0,0,0,0,0,0,0,6,0.2,191,52.5,205,729.7,710,845.2
State,Jammu & Kashmir,832,179,5,4,0,0,0,0,0,0,0,0,6,0,278,80.1,200,55.4,1321,318.5
State,Jharkhand,1290,74.2,0,0,0,0,0,0,0,0,0,0,1,0,59,6.6,69,22.1,1419,102.9
State,Karnataka,4405,1039,37,15.4,0,0,5,4,0,0,5,4,46,215.6,1342,435.9,645,80.1,6480,1790
State,Kerala,2600,805.5,0,0,0,0,1,0,0,0,1,0,18,22.8,649,218.9,1356,925.9,4624,1973.2
State,Madhya Pradesh,10043,1077.4,20,1.1,0,0,7,0.6,0,0,7,0.6,14,0.2,1070,157.6,2190,158.4,13344,1395.3
State,Maharashtra,9525,2636.9,0,0,0,0,3,0,0,0,3,0,197,127.8,2532,1257,2214,658.5,14471,4680.2
State,Manipur,22,5.9,0,0,0,0,0,0,0,0,0,0,0,0,15,33.6,7,1.9,44,41.4
State,Meghalaya,59,8.2,0,0,0,0,0,0,0,0,0,0,0,0,10,13.5,85,7.1,154,28.8
State,Mizoram,196,76.2,0,0,0,0,0,0,0,0,0,0,0,0,185,42.4,65,11.5,446,130.1
State,Nagaland,47,8.6,0,0,0,0,1,0,0,0,1,0,0,0,39,25.9,41,6.7,128,41.2
