Category,States/ UTs,Estimated Mid-Year Population (In Lakhs),Murder - I,Murder - R,Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Hurt - I,Hurt - R,Hurt - P,Prot. of Civil Rights Act - I,Prot. of Civil Rights Act - R,Prot. of Civil Rights Act - P,SC/ ST Prev. of Atrocities Act - I,SC/ ST Prev. of Atrocities Act - R,SC/ ST Prev. of Atrocities Act - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
State,Andhra Pradesh,769.2,2,0,1.1,24,0,4,6,0,8.7,0,0,0,0,0,0,2,0,3.4,88,0.1,11.2,39,0.1,83,134,0.2,7.4,230,0.3,7.4,525,0.7,7.8
State,Arunachal Pradesh,11.2,2,0.2,1.1,2,0.2,0.3,10,0.9,14.5,0,0,0,1,0.1,1.6,0,0,0,15,1.3,1.9,0,0,0,0,0,0,57,5.1,1.8,87,7.8,1.3
State,Assam,272.5,6,0,3.2,2,0,0.3,2,0,2.9,0,0,0,2,0,3.2,0,0,0,11,0,1.4,0,0,0,0,0,0,16,0.1,0.5,39,0.1,0.6
State,Bihar,851.7,5,0,2.6,5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.4,4,0,8.5,6,0,0.3,6,0,0.2,29,0,0.4
State,Chhattisgarh,213,12,0.1,6.3,67,0.3,11.2,4,0,5.8,0,0,0,0,0,0,10,0,17.2,47,0.2,6,3,0,6.4,101,0.5,5.6,264,1.2,8.4,508,2.4,7.5
State,Goa,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,517.9,16,0,8.5,18,0,3,4,0,5.8,18,0,48.6,28,0.1,45.2,3,0,5.2,81,0.2,10.3,1,0,2.1,97,0.2,5.4,74,0.1,2.4,340,0.7,5
State,Haryana,216.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.2,5,0,0.1
State,Himachal Pradesh,61.8,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,3,0,0
State,Jammu & Kashmir,104.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.7,0,0,0,0,0,0,0,0,0,5,0,0.2,6,0.1,0.1
State,Jharkhand,275.4,11,0,5.8,13,0,2.2,7,0,10.1,0,0,0,1,0,1.6,0,0,0,9,0,1.1,0,0,0,40,0.1,2.2,43,0.2,1.4,124,0.5,1.8
State,Karnataka,536.8,8,0,4.2,5,0,0.8,1,0,1.4,2,0,5.4,0,0,0,1,0,1.7,22,0,2.8,0,0,0,134,0.2,7.4,67,0.1,2.1,240,0.4,3.5
State,Kerala,322.7,1,0,0.5,21,0.1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,26,0.1,3.3,0,0,0,35,0.1,1.9,19,0.1,0.6,102,0.3,1.5
State,Madhya Pradesh,620.7,49,0.1,25.9,312,0.5,52.3,16,0,23.2,1,0,2.7,6,0,9.7,11,0,19,290,0.5,36.8,0,0,0,310,0.5,17.2,1509,2.4,48.3,2504,4,37
State,Maharashtra,988.3,10,0,5.3,48,0,8,6,0,8.7,0,0,0,1,0,1.6,5,0,8.6,22,0,2.8,0,0,0,53,0.1,2.9,126,0.1,4,271,0.3,4
State,Manipur,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,23.6,0,0,0,1,0,0.2,1,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0
State,Mizoram,9.1,4,0.4,2.1,9,1,1.5,1,0.1,1.4,2,0.2,5.4,5,0.5,8.1,7,0.8,12.1,12,1.3,1.5,0,0,0,0,0,0,0,0,0,40,4.4,0.6
State,Nagaland,20.5,38,1.9,20.1,8,0.4,1.3,2,0.1,2.9,13,0.6,35.1,13,0.6,21,0,0,0,20,1,2.5,0,0,0,0,0,0,277,13.5,8.9,371,18.1,5.5
State,Orissa,373.4,10,0,5.3,14,0,2.3,2,0,2.9,1,0,2.7,4,0,6.5,4,0,6.9,75,0.2,9.5,0,0,0,189,0.5,10.5,181,0.5,5.8,480,1.3,7.1
State,Punjab,247.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,581.3,10,0,5.3,39,0.1,6.5,6,0,8.7,0,0,0,1,0,1.6,14,0,24.1,58,0.1,7.4,0,0,0,667,1.1,37.1,135,0.2,4.3,930,1.6,13.7
State,Sikkim,5.5,0,0,0,2,0.4,0.3,1,0.2,1.4,0,0,0,0,0,0,0,0,0,7,1.3,0.9,0,0,0,0,0,0,0,0,0,10,1.8,0.1
State,Tamil Nadu,629.4,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3,0,0,0,3,0,0.2,71,0.1,2.3,77,0.1,1.1
