Category (Col. 1),States/ UTs (Col. 2),Total No. of Persons Arrested (Col. 3),New Offenders - No. (Col. 4),New Offenders - Percentage to Total (Col. 5),Old Offenders Convicted in the Past - Once - No. (Col. 6),Old Offenders Convicted in the Past - Once - Percentage to Total (Col. 7),Old Offenders Convicted in the Past - Twice - No. (Col. 8),Old Offenders Convicted in the Past - Twice - Percentage to Total (Col. 9),Old Offenders Convicted in the Past - Thrice or More - No. (Col. 10),Old Offenders Convicted in the Past - Thrice or More - Percentage to Total (Col. 11),Old Offenders Convicted in the Past - Percentage of Recidivists (Col. 7)+(Col. 9)+(Col. 11) = (Col. 12)
State,Andhra Pradesh,196661,180552,91.8,12951,6.6,2146,1.1,1012,0.5,8.2
State,Arunachal Pradesh,2613,2529,96.8,52,2,32,1.2,0,0,3.2
State,Assam,54588,50357,92.2,2069,3.8,1447,2.7,715,1.3,7.8
State,Bihar,214448,205335,95.8,7735,3.6,1196,0.6,182,0.1,4.2
State,Chhattisgarh,52004,46134,88.7,4081,7.8,1263,2.4,526,1,11.3
State,Goa,2734,2717,99.4,11,0.4,3,0.1,3,0.1,0.6
State,Gujarat,173200,166815,96.3,5761,3.3,525,0.3,99,0.1,3.7
State,Haryana,60867,54359,89.3,5387,8.9,851,1.4,270,0.4,10.7
State,Himachal Pradesh,18214,16959,93.1,1150,6.3,78,0.4,27,0.1,6.9
State,Jammu & Kashmir,24892,24452,98.2,388,1.6,44,0.2,8,0,1.8
State,Jharkhand,38827,35023,90.2,2836,7.3,753,1.9,215,0.6,9.8
State,Karnataka,156502,151698,96.9,4252,2.7,539,0.3,13,0,3.1
State,Kerala,148925,145125,97.4,2597,1.7,951,0.6,252,0.2,2.6
State,Madhya Pradesh,317436,279775,88.1,27851,8.8,7109,2.2,2701,0.9,11.9
State,Maharashtra,267551,262081,98,4322,1.6,641,0.2,507,0.2,2
State,Manipur,1431,1431,100,0,0,0,0,0,0,0
State,Meghalaya,1544,1339,86.7,107,6.9,83,5.4,15,1,13.3
State,Mizoram,3292,2839,86.2,390,11.8,34,1,29,0.9,13.8
State,Nagaland,991,766,77.3,122,12.3,67,6.8,36,3.6,22.7
State,Orissa,76676,73163,95.4,2760,3.6,617,0.8,136,0.2,4.6
State,Punjab,45835,38531,84.1,5417,11.8,1681,3.7,206,0.4,15.9
State,Rajasthan,188929,175191,92.7,10758,5.7,2217,1.2,763,0.4,7.3
State,Sikkim,276,246,89.1,21,7.6,2,0.7,7,2.5,10.9
State,Tamil Nadu,217590,179116,82.3,27879,12.8,8615,4,1980,0.9,17.7
State,Tripura,4076,3710,91,326,8,25,0.6,15,0.4,9
State,Uttar Pradesh,261054,252226,96.6,6988,2.7,1467,0.6,373,0.1,3.4
State,Uttaranchal,12799,12049,94.1,631,4.9,97,0.8,22,0.2,5.9
State,West Bengal,97027,83305,85.9,9422,9.7,3208,3.3,1092,1.1,14.1
State,Total (States),2640982,2447823,92.7,146264,5.5,35691,1.4,11204,0.4,7.3
Union Territory,A & N Islands,585,448,76.6,120,20.5,12,2.1,5,0.9,23.4
Union Territory,Chandigarh,2876,2140,74.4,679,23.6,12,0.4,45,1.6,25.6
Union Territory,D & N Haveli,465,357,76.8,108,23.2,0,0,0,0,23.2
Union Territory,Daman & Diu,313,313,100,0,0,0,0,0,0,0
Union Territory,Delhi,44572,38648,86.7,4174,9.4,1173,2.6,577,1.3,13.3
Union Territory,Lakshadweep,15,14,93.3,1,6.7,0,0,0,0,6.7
Union Territory,Puducherry,6735,6633,98.5,76,1.1,17,0.3,9,0.1,1.5
Union Territory,Total (UTs),55561,48553,87.4,5158,9.3,1214,2.2,636,1.1,12.6
Total (All-India),Total (All-India),2696543,2496376,92.6,151422,5.6,36905,1.4,11840,0.4,7.4
