Category,States/ UTs,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Boys,16-18 Years - Girls,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
State,Andhra Pradesh,112,5,543,37,640,129,1295,171,1466
State,Arunachal Pradesh,18,0,67,0,47,0,132,0,132
State,Assam,29,0,158,11,129,5,316,16,332
State,Bihar,6,0,220,13,407,7,633,20,653
State,Chhattisgarh,59,10,837,32,316,3,1212,45,1257
State,Goa,15,0,36,4,12,0,63,4,67
State,Gujarat,68,9,654,58,1421,139,2143,206,2349
State,Haryana,17,0,451,13,1294,75,1762,88,1850
State,Himachal Pradesh,7,0,30,2,71,7,108,9,117
State,Jammu & Kashmir,1,0,2,0,0,0,3,0,3
State,Jharkhand,163,0,463,6,87,12,713,18,731
State,Karnataka,8,0,132,4,118,3,258,7,265
State,Kerala,3,3,86,2,111,2,200,7,207
State,Madhya Pradesh,346,16,2407,122,3917,173,6670,311,6981
State,Maharashtra,183,11,1642,127,2326,172,4151,310,4461
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,7,0,15,0,41,0,63,0,63
State,Mizoram,2,0,15,0,30,2,47,2,49
State,Nagaland,0,0,5,0,4,0,9,0,9
State,Orissa,14,0,126,0,47,0,187,0,187
State,Punjab,4,1,70,1,58,2,132,4,136
State,Rajasthan,26,2,457,25,1082,173,1565,200,1765
State,Sikkim,0,0,1,0,1,0,2,0,2
State,Tamil Nadu,27,9,340,23,219,14,586,46,632
State,Tripura,0,0,0,0,7,0,7,0,7
State,Uttar Pradesh,2,0,20,3,46,7,68,10,78
State,Uttaranchal,1,0,6,0,0,0,7,0,7
State,West Bengal,3,0,9,0,1,1,13,1,14
State,Total (States),1121,66,8792,483,12432,926,22345,1475,23820
Union Territory,A & N Islands,0,0,4,0,2,0,6,0,6
Union Territory,Chandigarh,10,0,45,3,7,5,62,8,70
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,36,5,463,6,574,20,1073,31,1104
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,5,1,6,4,11,5,16
Union Territory,Total (UTs),46,5,517,10,589,29,1152,44,1196
Total (All-India),Total (All-India),1167,71,9309,493,13021,955,23497,1519,25016
