Category,States/ UTs,Gain - Murder,Gain - C.H.,Property Dispute - Murder,Property Dispute - C.H.,Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - C.H.,Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - C.H.,Dowry - Murder,Dowry - C.H.,Lunacy - Murder,Lunacy - C.H.,Witchcraft - Murder,Witchcraft - C.H.,For Political Reasons - Murder,For Political Reasons - C.H.,By Terrorist/ Extremists - Murder,By Terrorist/ Extremists - C.H.,Communalism - Murder,Communalism - C.H.,Casteism - Murder,Casteism - C.H.,Class Conflict - Murder,Class Conflict - C.H.,Other Motives - Murder,Other Motives - C.H.,Total - Murder,Total - C.H.
State,Andhra Pradesh,102,0,178,6,277,2,400,0,91,0,2,0,23,0,26,0,64,0,1,0,4,0,2,0,1355,157,2525,165
State,Arunachal Pradesh,3,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,6,61,6
State,Assam,102,4,140,8,166,1,50,19,49,0,1,1,1,0,2,0,117,0,2,0,0,0,0,0,623,22,1253,55
State,Bihar,259,5,841,14,591,21,146,1,239,15,2,0,1,0,53,0,27,0,0,0,26,0,8,0,1519,340,3712,396
State,Chhattisgarh,17,1,65,0,73,0,69,0,14,1,9,0,4,0,0,0,9,0,0,0,5,0,4,0,575,22,844,24
State,Goa,8,0,2,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,30,4
State,Gujarat,76,1,127,1,169,0,166,0,20,0,11,0,4,0,9,0,1,0,276,1,4,0,0,0,669,10,1532,13
State,Haryana,23,1,165,19,164,23,59,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,323,40,760,89
State,Himachal Pradesh,7,0,14,0,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,6,123,6
State,Jammu & Kashmir,1,0,9,0,6,1,8,0,1,0,0,0,0,0,6,0,889,0,0,0,0,0,0,0,128,30,1048,31
State,Jharkhand,103,7,228,9,242,1,158,9,70,13,3,3,26,2,25,3,22,0,0,2,9,3,3,2,599,61,1488,115
State,Karnataka,55,0,98,0,188,0,130,1,52,0,0,0,0,0,6,0,0,0,4,0,1,1,0,0,1093,53,1627,55
State,Kerala,26,0,18,1,197,34,4,0,2,0,3,0,0,0,18,12,0,0,5,0,0,0,1,0,180,163,454,210
State,Madhya Pradesh,114,2,289,6,506,6,213,15,35,1,8,3,24,0,2,0,2,0,7,0,0,0,10,0,1185,161,2395,194
State,Maharashtra,98,2,131,3,210,0,317,0,104,1,11,0,14,0,12,0,18,0,4,0,0,0,16,0,1833,87,2768,93
State,Manipur,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,97,3,165,3
State,Meghalaya,19,0,7,0,13,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,104,3,167,3
State,Mizoram,2,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,29,5
State,Nagaland,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,5,0,0,0,0,0,0,0,88,5,100,5
State,Orissa,42,0,46,3,140,3,50,2,168,6,0,0,39,0,11,0,3,0,0,0,0,0,1,0,575,44,1075,58
State,Punjab,12,0,88,2,41,1,85,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,502,74,733,79
State,Rajasthan,45,1,82,0,113,1,30,0,43,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,961,50,1276,68
State,Sikkim,3,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,13,2
State,Tamil Nadu,80,2,111,0,350,2,177,0,4,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,996,32,1723,36
State,Tripura,7,0,12,0,30,0,4,1,16,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,60,0,201,1
State,Uttar Pradesh,238,0,462,4,915,17,392,9,0,0,1,0,0,0,3,0,0,0,7,2,0,0,0,0,4807,1211,6825,1243
State,Uttaranchal,23,2,28,2,23,2,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,205,41,292,47
State,West Bengal,28,0,27,21,145,25,45,1,17,0,0,0,14,0,19,0,3,0,0,0,0,0,0,0,1146,493,1444,540
State,Total (States),1493,28,3174,99,4601,141,2530,66,930,53,54,7,151,2,200,15,1312,0,308,5,53,4,70,2,19787,3124,34663,3546
Union Territory,A & N Islands,0,0,1,0,5,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,17,1
Union Territory,Chandigarh,2,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,31,7
Union Territory,D & N Haveli,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0
Union Territory,Daman & Diu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0
Union Territory,Delhi,36,1,49,5,60,10,88,1,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,208,51,531,68
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,29,2
Union Territory,Total (UTs),42,1,51,5,91,10,96,1,90,0,1,0,0,0,0,0,0,0,0,0,1,0,4,1,251,60,627,78
Total (All-India),Total (All-India),1535,29,3225,104,4692,151,2626,67,1020,53,55,7,151,2,200,15,1312,0,308,5,54,4,74,3,20038,3184,35290,3624
