Category,States/ UTs/ Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Population (In Lakhs)**,Rate of Total Cognizable Crimes,Rank of Criminality
State,Andhra Pradesh,143610,8.1,769.15,186.7,14
State,Arunachal Pradesh,2228,0.1,11.15,199.8,11
State,Assam,36346,2,272.47,133.4,22
State,Bihar,94040,5.3,851.71,110.4,26
State,Chhattisgarh,37950,2.1,213.03,178.1,16
State,Goa,2440,0.1,13.88,175.8,17
State,Gujarat,106675,6,517.89,206,10
State,Haryana,40152,2.3,216.44,185.5,15
State,Himachal Pradesh,12243,0.7,61.78,198.2,12
State,Jammu & Kashmir,19967,1.1,104.4,191.3,13
State,Jharkhand,31439,1.8,275.43,114.1,25
State,Karnataka,113699,6.4,536.81,211.8,9
State,Kerala,104200,5.9,322.7,322.9,4
State,Madhya Pradesh,191799,10.8,620.72,309,6
State,Maharashtra,165462,9.3,988.26,167.4,18
State,Manipur,2584,0.1,24.43,105.8,27
State,Meghalaya,1664,0.1,23.58,70.6,34
State,Mizoram,2820,0.2,9.1,309.9,5
State,Nagaland,1114,0.1,20.47,54.4,35
State,Orissa,47728,2.7,373.43,127.8,23
State,Punjab,28794,1.6,247.71,116.2,24
State,Rajasthan,151248,8.5,581.25,260.2,8
State,Sikkim,485,0,5.53,87.7,30
State,Tamil Nadu,166942,9.4,629.43,265.2,7
State,Tripura,3075,0.2,32.47,94.7,28
State,Uttar Pradesh,146037,8.2,1708.1,85.5,31
State,Uttaranchal,7976,0.4,86.76,91.9,29
State,West Bengal,58962,3.3,817.07,72.2,33
State,Total (States),1721679,96.7,10335.15,166.6,NA
Union Territory,A & N Islands,608,0,3.65,166.6,19
Union Territory,Chandigarh,3806,0.2,9.32,408.4,2
Union Territory,D & N Haveli,349,0,2.28,153.1,21
Union Territory,Daman & Diu,261,0,1.64,159.1,20
Union Territory,Delhi,49137,2.8,143.83,341.6,3
Union Territory,Lakshadweep,53,0,0.62,85.5,32
Union Territory,Puducherry,4437,0.2,9.91,447.7,1
Union Territory,Total (UTs),58651,3.3,171.25,342.5,NA
Total (All-India),Total (All-India),1780330,100,10506.4,169.5,NA
City,Agra,5617,1.9,13.21,425.2,10
City,Ahmedabad,14479,4.9,45.19,320.4,16
City,Allahabad,1838,0.6,10.5,175,29
City,Amritsar,1077,0.4,10.11,106.5,33
City,Asansol,363,0.1,10.91,33.3,35
City,Bangalore,29120,9.8,56.87,512,5
City,Bhopal,11166,3.8,14.55,767.4,2
City,Chennai,8526,2.9,64.25,132.7,32
City,Coimbatore,3226,1.1,14.46,223.1,22
City,Delhi (City),44158,14.8,127.91,345.2,15
City,Dhanbad,3242,1.1,10.64,304.7,19
City,Faridabad,4305,1.4,10.55,408.1,12
City,Hyderabad,14413,4.8,55.34,260.4,20
City,Indore,11678,3.9,16.39,712.5,3
City,Jabalpur,6735,2.3,11.17,603,4
City,Jaipur,11758,3.9,23.24,505.9,6
City,Jamshedpur,2405,0.8,11.02,218.2,25
City,Kanpur,5908,2,26.9,219.6,23
City,Kochi,6524,2.2,13.55,481.5,7
City,Kolkata,10663,3.6,132.17,80.7,34
City,Lucknow,6954,2.3,22.67,306.7,18
City,Ludhiana,5245,1.8,13.95,376,13
City,Madurai,3689,1.2,11.95,308.7,17
City,Meerut,2334,0.8,11.67,200,27
City,Mumbai,26276,8.8,163.68,160.5,30
City,Nagpur,8721,2.9,21.23,410.8,11
City,Nasik,2521,0.8,11.52,218.8,24
City,Patna,6100,2,17.07,357.4,14
City,Pune,8504,2.9,37.56,226.4,21
City,Rajkot,4644,1.6,10.02,463.5,9
City,Surat,4172,1.4,28.11,148.4,31
City,Vadodara,7116,2.4,14.92,476.9,8
City,Varanasi,2281,0.8,12.12,188.2,28
City,Vijayawada,9083,3.1,10.11,898.4,1
City,Vishakhapatnam,2838,1,13.29,213.5,26
Total (Cities),Total (Cities),297679,100,1078.8,275.9,NA
