Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Prepration and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
State,Andhra Pradesh,19,7,0,36,0,36,9,2,7,1,0,6,142,414,79,335,22,1,3,2,3,286,3,22,16,18,0,2,258,1270
State,Arunachal Pradesh,0,8,0,0,0,0,0,0,0,0,0,3,7,19,0,19,2,0,0,0,0,19,0,1,0,0,0,0,12,71
State,Assam,12,9,0,15,0,15,10,7,3,2,0,10,15,47,0,47,6,0,0,0,2,9,0,0,0,0,0,0,15,152
State,Bihar,6,5,0,1,0,1,4,1,3,4,1,8,2,61,1,60,99,1,1,0,0,137,2,3,0,6,0,0,261,602
State,Chhattisgarh,35,12,1,58,0,58,5,5,0,0,0,9,134,144,27,117,52,2,3,0,6,162,2,23,2,1,0,4,276,931
State,Goa,1,1,0,1,0,1,0,0,0,0,0,1,15,16,2,14,0,0,0,0,0,3,0,1,1,0,0,0,5,45
State,Gujarat,37,43,0,11,0,11,16,12,4,21,1,18,101,272,89,183,178,6,2,0,49,219,0,7,0,39,0,5,591,1616
State,Haryana,40,34,3,17,0,17,14,9,5,0,26,16,113,185,78,107,85,20,18,0,1,317,5,20,129,44,0,1,333,1421
State,Himachal Pradesh,5,0,1,4,0,4,0,0,0,0,0,0,16,13,3,10,9,0,0,0,1,19,0,1,0,1,0,0,28,98
State,Jammu & Kashmir,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
State,Jharkhand,10,6,0,38,0,38,5,3,2,0,1,1,1,57,10,47,14,0,2,0,0,5,8,11,0,0,0,0,31,190
State,Karnataka,16,5,1,2,0,2,2,1,1,1,1,6,36,88,8,80,7,0,0,0,0,18,0,0,1,2,0,0,25,211
State,Kerala,8,3,0,2,0,2,0,0,0,0,1,2,19,31,0,31,20,0,0,0,3,9,0,1,0,0,0,0,22,121
State,Madhya Pradesh,117,182,6,152,0,152,27,15,12,10,2,28,345,435,35,400,188,4,12,0,17,1796,23,307,82,71,0,11,1886,5701
State,Maharashtra,111,59,3,50,0,50,18,11,7,21,7,39,395,737,115,622,242,1,38,1,10,841,9,70,21,52,0,10,393,3128
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,4,1,0,7,0,7,1,0,1,2,0,4,7,15,1,14,0,0,0,0,3,1,0,2,0,0,0,0,6,53
State,Mizoram,1,0,0,3,0,3,0,0,0,0,0,0,5,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,26
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,8
State,Orissa,12,6,0,6,0,6,1,1,0,0,0,4,27,37,0,37,3,0,0,0,1,5,0,4,0,1,0,0,27,134
State,Punjab,5,2,0,4,0,4,2,2,0,0,1,0,15,13,0,13,0,1,1,0,0,14,1,2,6,1,0,1,33,102
State,Rajasthan,32,63,1,27,0,27,11,8,3,0,2,24,151,189,39,150,109,0,3,0,6,174,4,21,0,16,0,11,491,1335
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
State,Tamil Nadu,14,6,1,5,0,5,16,16,0,0,0,4,96,300,17,283,15,0,0,0,4,40,0,8,3,6,0,15,38,571
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7
State,Uttar Pradesh,10,1,0,12,0,12,11,11,0,0,0,0,0,6,1,5,2,0,0,0,0,6,5,0,1,2,0,0,2,58
State,Uttaranchal,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
State,West Bengal,2,0,0,2,0,2,1,1,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,1,0,0,0,0,3,14
State,Total (States),500,453,17,453,0,453,153,105,48,62,43,183,1646,3103,507,2596,1053,36,83,3,106,4082,62,505,262,260,0,60,4749,17874
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Union Territory,Chandigarh,2,3,0,3,0,3,2,1,1,0,0,1,5,15,3,12,3,0,0,0,0,6,0,1,1,0,0,0,10,52
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,29,13,5,29,0,29,9,3,6,1,3,23,67,239,53,186,8,3,5,0,1,45,3,15,2,2,0,0,108,610
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,2,0,0,0,0,4,0,1,0,0,0,0,5,18
Union Territory,Total (UTs),31,16,5,32,0,32,11,4,7,1,3,24,77,258,56,202,13,3,5,0,1,55,3,17,3,2,0,0,126,686
Total (All-India),Total (All-India),531,469,22,485,0,485,164,109,55,63,46,207,1723,3361,563,2798,1066,39,88,3,107,4137,65,522,265,262,0,60,4875,18560
