Sr. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Investigation Including Pending Cases (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in which - Investigation was Refused (Col. 5),No. of Cases in which - Investigation was Completed - Charge found False/ Mistake of Fact or Law Etc. (Col. 6),No. of Cases in which - Investigation was Completed - Final Report True Submitted (Col. 7),No. of Cases in which - Investigation was Completed - Charge Sheets were Submitted (Col. 8),No. of Cases in which - Investigation was Completed - Total (Col. 9) = (Col. 6 + Col. 7 + Col. 8),No. of Cases Pending Investigation (Col. 10)
1,Arms Act,76549,0,7,119,1578,64838,66535,10007
2,Narcotic Drugs & Psychotropic Substances Act,33937,2,39,98,492,24994,25584,8312
3,Gambling Act,181740,0,0,22,212,173270,173504,8236
4,Excise Act,141436,0,1466,248,989,123219,124456,15514
5,Prohibition Act,588615,145,5364,2948,13325,459880,476153,106953
6,Explosive & Explosive Substances Act,7558,0,13,70,604,4121,4795,2750
7,Immoral Traffic (P) Act,11984,9,0,5,11,11097,11113,862
8,Indian Railways Act,56117,0,18,103,559,55028,55690,409
9,Registration of Foreigners Act,2111,1,0,2,38,1874,1914,196
10,Protection of Civil Rights Act - Total,1249,0,9,183,15,739,937,303
10,Protection of Civil Rights Act - i) PCR Act for SCs,1181,0,9,157,15,715,887,285
10,Protection of Civil Rights Act - ii) PCR Act for STs,68,0,0,26,0,24,50,18
11,Indian Passport Act,981,0,18,8,31,272,311,652
12,Essential Commodities Act,6438,2,48,181,261,3635,4077,2311
13,Terrorist & Disruptive Activities Act,325,0,0,1,19,65,85,240
14,Antiquity & Art Treasure Act,128,0,0,8,15,45,68,60
15,Dowry Prohibition Act,4002,0,13,322,283,2224,2829,1160
16,Child Marriage Restraint Act,126,0,0,10,3,98,111,15
17,Indecent Representation of Women (P) Act,2643,0,0,4,6,2536,2546,97
18,Copyrights Act,4898,3,16,57,89,3591,3737,1142
19,Sati Prevention Act,0,0,0,0,0,0,0,0
20,SC/ ST (Prevention of Atrocities) Act - Total,15980,20,25,2970,681,9683,13334,2601
20,SC/ ST (Prevention of Atrocities) Act - i) Atrocities Act for SCs,13822,19,23,2475,654,8401,11530,2250
20,SC/ ST (Prevention of Atrocities) Act - ii) Atrocities Act for STs,2158,1,2,495,27,1282,1804,351
21,Forest Act,5060,0,117,79,153,4391,4623,320
22,Other SLL Crimes,2797950,662,21032,52367,74978,2612092,2739437,36819
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,3939827,844,28185,59805,94342,3557692,3711839,198959
