Category,State/ UT,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F./ V.H.F.,Walkie-Talkie,Other Wireless Equipments
State,Andhra Pradesh,1106,623,28,408,0,14,33,3516,2675,746,95
State,Arunachal Pradesh,637,249,31,22,111,35,189,1593,800,778,15
State,Assam,2791,411,1403,0,526,451,0,5239,329,4815,95
State,Bihar,2947,979,64,1297,110,64,433,3267,1908,806,553
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0
State,Goa,328,173,13,102,0,0,40,1394,569,214,611
State,Gujarat,4353,1903,171,1206,549,516,8,11715,8684,2988,43
State,Haryana,1769,627,99,327,0,0,716,5309,3515,1794,0
State,Himachal Pradesh,527,181,44,75,0,0,227,1673,917,728,28
State,Jammu & Kashmir,3180,235,590,1404,567,315,69,7005,1768,5135,102
State,Jharkhand,1707,253,39,618,0,0,797,335,0,0,335
State,Karnataka,4091,1535,197,1456,23,46,834,11689,4234,5470,1985
State,Kerala,2131,561,136,962,55,381,36,4727,3046,929,752
State,Madhya Pradesh,4925,1640,322,807,0,0,2156,7944,1843,2674,3427
State,Maharashtra,5601,1082,305,2094,721,763,636,8790,5836,2907,47
State,Manipur,937,62,18,147,174,126,410,5986,665,1368,3953
State,Meghalaya,578,32,26,137,184,199,0,489,151,318,20
State,Mizoram,319,50,5,9,58,30,167,3608,323,265,3020
State,Nagaland,331,48,10,39,49,28,157,177,89,75,13
State,Orissa,2346,722,124,930,367,199,4,4479,3553,856,70
State,Punjab,3700,1169,249,1084,843,349,6,12132,0,7230,4902
State,Rajasthan,2933,754,83,1372,518,206,0,9579,7242,2337,0
State,Sikkim,167,8,114,6,14,25,0,781,158,233,390
State,Tamil Nadu,8657,3044,347,3044,144,147,1931,11751,5894,5513,344
State,Tripura,1051,74,23,227,208,160,359,4023,2298,1613,112
State,Uttar Pradesh,6335,1077,404,3176,349,1329,0,16854,9908,6047,899
State,Uttaranchal,616,66,41,92,71,124,222,1071,871,200,0
State,West Bengal,5876,1873,309,2416,777,369,132,6800,4385,2404,11
State,Total (States),69939,19431,5195,23457,6418,5876,9562,151926,71661,58443,21822
Union Territory,A & N Islands,95,38,9,21,15,9,3,75,23,52,0
Union Territory,Chandigarh,234,116,13,60,27,18,0,1108,332,755,21
Union Territory,D & N Haveli,17,2,15,0,0,0,0,40,40,0,0
Union Territory,Daman & Diu,201,11,1,4,0,0,185,105,62,42,1
Union Territory,Delhi,3393,1774,254,812,154,93,306,21588,9622,8542,3424
Union Territory,Lakshadweep,24,10,0,9,0,0,5,219,66,47,106
Union Territory,Puducherry,287,135,8,52,0,28,64,662,367,295,0
Union Territory,Total (UTs),4251,2086,300,958,196,148,563,23797,10512,9733,3552
Total (All-India),Total (All-India),74190,21517,5495,24415,6614,6024,10125,175723,82173,68176,25374
