Category,States/ UTs/ Cities,1997,1998,1999,2000,2001,Quinquennial Average (1997-2001) (Q.A.)@,2002,Percentage Change in 2002 [(+) Increase/ (-) Decrease] over - QA,Percentage Change in 2004 [(+) Increase/ (-) Decrease] over - 2001,Note of - Quinquennial Average (1997-2001) (Q.A.)@
State,Andhra Pradesh,114963,122536,120364,121279,130089,121846,143610,17.9,10.4,NA
State,Arunachal Pradesh,1876,1663,2266,2367,2342,2103,2228,6,-4.9,NA
State,Assam,36562,38146,37292,35178,36877,36811,36346,-1.3,-1.4,NA
State,Bihar,117401,116045,118648,124082,88432,112922,94040,-16.7,6.3,NA
State,Chhattisgarh,NA,NA,NA,NA,38460,NA,37950,NA,-1.3,NA
State,Goa,2895,3119,2589,2422,2341,2673,2440,-8.7,4.2,NA
State,Gujarat,117823,125892,124786,115859,103419,117556,106675,-9.3,3.1,NA
State,Haryana,31981,37228,39713,39490,38759,37434,40152,7.3,3.6,NA
State,Himachal Pradesh,10242,10954,11077,11135,11499,10981,12243,11.5,6.5,NA
State,Jammu & Kashmir,17192,17420,17103,17517,19505,17747,19967,12.5,2.4,NA
State,Jharkhand,NA,NA,NA,NA,25447,NA,31439,NA,23.5,NA
State,Karnataka,114863,110533,110559,109410,109098,110893,113699,2.5,4.2,NA
State,Kerala,92523,93020,94448,99033,103847,96574,104200,7.9,0.3,NA
State,Madhya Pradesh,205026,201544,205964,216441,181741,202143,191799,-5.1,5.5,NA
State,Maharashtra,185122,180288,177436,173466,171233,177509,165462,-6.8,-3.4,NA
State,Manipur,2974,2566,2469,2577,2489,2615,2584,-1.2,3.8,NA
State,Meghalaya,1978,1828,1718,1702,1687,1783,1664,-6.7,-1.4,NA
State,Mizoram,2120,2531,2220,2316,2246,2287,2820,23.3,25.6,NA
State,Nagaland,1477,1293,1249,1368,1234,1324,1114,-15.9,-9.7,NA
State,Orissa,51359,51063,50393,49419,46661,49779,47728,-4.1,2.3,NA
State,Punjab,15069,16922,20272,24374,27774,20882,28794,37.9,3.7,NA
State,Rajasthan,165469,167463,168189,160983,155185,163458,151248,-7.5,-2.5,NA
State,Sikkim,623,536,776,432,444,562,485,-13.7,9.2,NA
State,Tamil Nadu,141867,149293,145709,151329,154801,148600,166942,12.3,7.8,NA
State,Tripura,3444,3616,3129,3372,2801,3272,3075,-6,9.8,NA
State,Uttar Pradesh,152779,184461,173643,175668,178129,172936,146037,-15.6,-18,NA
State,Uttaranchal,NA,NA,NA,NA,8073,NA,7976,NA,-1.2,NA
State,West Bengal,65481,67950,66525,65834,61563,65471,58962,-9.9,-4.2,NA
State,Total (States),1653109,1707910,1698537,1707053,1706176,1680161,1721679,1.6,0.9,NA
Union Territory,A & N Islands,477,540,603,752,658,606,608,0.3,-7.6,NA
Union Territory,Chandigarh,2181,1974,2735,2935,3397,2644,3806,43.9,12,NA
Union Territory,D & N Haveli,347,513,413,440,350,413,349,-15.4,-0.3,NA
Union Territory,Daman & Diu,267,266,247,251,239,254,261,2.8,9.2,NA
Union Territory,Delhi,60883,64882,58701,56249,54384,59020,49137,-16.7,-9.6,NA
Union Territory,Lakshadweep,26,56,31,24,36,35,53,53.2,47.2,NA
Union Territory,Puducherry,2530,2674,3362,3380,4068,3203,4437,38.5,9.1,NA
Union Territory,Total (UTs),66711,70905,66092,64031,63132,66174,58651,-11.4,-7.1,NA
Total (All-India),Total (All-India),1719820,1778815,1764629,1771084,1769308,1746335,1780330,1.9,0.6,*
City,Agra,NA,NA,NA,NA,6661,NA,5617,NA,-15.7,NA
City,Ahmedabad,16561,15866,15652,14150,13496,15145,14479,-4.4,7.3,NA
City,Allahabad,NA,NA,NA,NA,2126,425,1838,332.3,-13.5,NA
City,Amritsar,NA,NA,NA,NA,1062,212,1077,407.1,1.4,NA
City,Asansol,NA,NA,NA,NA,NA,NA,363,NA,NA,NA
City,Bangalore,30601,29265,27967,27184,27254,28454,29120,2.3,6.8,NA
City,Bhopal,9469,9373,9492,10961,10780,10015,11166,11.5,3.6,NA
City,Chennai,7607,7375,6788,6212,7292,7055,8526,20.9,16.9,NA
City,Coimbatore,4363,3808,3799,3668,3490,3826,3226,-15.7,-7.6,NA
City,Delhi (City),55825,59011,52731,51324,49343,53647,44158,-17.7,-10.5,NA
City,Dhanbad,NA,NA,NA,NA,NA,NA,3242,NA,NA,NA
City,Faridabad,NA,NA,NA,NA,3275,NA,4305,NA,31.5,NA
City,Hyderabad,11060,11143,11595,11592,11831,11444,14413,25.9,21.8,NA
City,Indore,8581,7964,8591,10699,10263,9220,11678,26.7,13.8,NA
City,Jabalpur,NA,NA,NA,NA,5736,NA,6735,NA,17.4,NA
City,Jaipur,13359,12772,12423,12960,12181,12739,11758,-7.7,-3.5,NA
City,Jamshedpur,NA,NA,NA,NA,NA,NA,2405,NA,NA,NA
City,Kanpur,6266,9043,6810,6716,6808,7129,5908,-17.1,-13.2,NA
City,Kochi,4901,4903,4996,5506,6067,5275,6524,23.7,7.5,NA
City,Kolkata,11274,11384,11447,12976,11970,11810,10663,-9.7,-10.9,NA
City,Lucknow,6064,6064,7046,7491,7606,6854,6954,1.5,-8.6,NA
City,Ludhiana,1462,1744,1880,1625,3572,2057,5245,155,46.8,NA
City,Madurai,3697,4580,3698,3846,4161,3996,3689,-7.7,-11.3,NA
City,Meerut,NA,NA,NA,NA,2918,NA,2334,NA,-20,NA
City,Mumbai,32654,30017,29354,29238,28968,30046,26276,-12.5,-9.3,NA
City,Nagpur,8895,9642,9509,9571,9912,9506,8721,-8.3,-12,NA
City,Nasik,NA,NA,NA,NA,2195,NA,2521,NA,14.9,NA
City,Patna,5405,5728,5631,5733,5617,5623,6100,8.5,8.6,NA
City,Pune,10455,9770,9561,8941,8936,9533,8504,-10.8,-4.8,NA
City,Rajkot,NA,NA,NA,NA,4774,NA,4644,NA,-2.7,NA
City,Surat,5058,5721,4576,3931,3995,4656,4172,-10.4,4.4,NA
City,Vadodara,6870,6832,5796,5657,5047,6040,7116,17.8,41,NA
City,Varanasi,1541,1541,1375,1911,2302,1734,2281,31.5,-0.9,NA
City,Vijayawada,NA,NA,NA,NA,6733,NA,9083,NA,34.9,NA
City,Vishakhapatnam,2979,3053,3782,3384,3404,3320,2838,-14.5,-16.6,NA
Total (Cities),Total (Cities),264947,266599,254499,255276,289775,259760,297679,14.6,2.7,NA
