Category,States/UTs,For Officers - Sanctioned Strength,For Officers - Built-in Houses Provided by Government,"For Officers - Houses Provided on Lease, Rent/ General Pool by Govt.",Upper Subordinates - Sanctioned Strength,Upper Subordinates - Built-in Houses Provided by Government,"Upper Subordinates - Houses Provided on Lease, Rent/ General Pool by Govt.",Lower Subordinates - Sanctioned Strength,Lower Subordinates - Built-in Houses Provided by Government,"Lower Subordinates - Houses Provided on Lease, Rent/ General Pool by Govt."
State,Andhra Pradesh,594,30,564,8470,2542,5928,73669,34547,39122
State,Arunachal Pradesh,95,81,29,624,373,251,5556,2051,3505
State,Assam,531,77,0,6008,802,0,49408,8180,0
State,Bihar,631,141,75,12074,1887,7308,58950,3642,40456
State,Chhattisgarh,140,8,315,1342,268,482,11767,3007,2319
State,Goa,34,6,11,354,111,2,3463,1543,14
State,Gujarat,376,77,28,11642,4471,493,53385,28797,3377
State,Haryana,243,136,21,5050,824,2172,34117,4209,17299
State,Himachal Pradesh,197,30,25,1523,180,0,12322,5573,0
State,Jammu & Kashmir,569,73,0,5782,377,0,52686,3292,0
State,Jharkhand,321,34,26,4382,737,1158,7024,1150,3403
State,Karnataka,274,109,35,5819,2008,587,54210,22925,4484
State,Kerala,424,122,5,3909,627,3,41059,5830,90
State,Madhya Pradesh,859,105,156,8417,1971,1365,62177,18314,8976
State,Maharashtra,952,0,635,24987,0,10258,124245,0,74310
State,Manipur,202,16,0,1342,92,0,13259,143,0
State,Meghalaya,120,45,75,1320,874,446,12923,2063,10860
State,Mizoram,52,221,0,600,543,0,3221,945,0
State,Nagaland,124,22,7,625,158,25,11114,617,46
State,Orissa,416,165,77,6061,2130,394,31703,7550,1399
State,Punjab,628,47,0,7107,1465,0,63459,10604,0
State,Rajasthan,740,40,0,8150,1776,0,61606,13335,0
State,Sikkim,66,8,9,343,190,0,3510,394,0
State,Tamil Nadu,895,224,0,9494,2548,0,84194,31195,0
State,Tripura,344,40,0,1844,219,0,18549,1756,0
State,Uttar Pradesh,1590,229,395,14615,6570,1375,150729,42247,10315
State,Uttaranchal,126,13,0,774,590,0,11840,1914,0
State,West Bengal,660,521,10,16946,4712,251,73925,14645,993
State,Total (States),12203,2620,2498,169604,39045,32498,1184070,270468,220968
Union Territory,A & N Islands,17,10,4,432,396,0,2665,629,0
Union Territory,Chandigarh,17,10,0,487,345,0,3705,1626,0
Union Territory,D & N Haveli,1,0,1,15,0,15,216,0,200
Union Territory,Daman & Diu,3,3,0,24,0,0,221,118,0
Union Territory,Delhi,371,172,0,10875,2545,0,45957,8466,0
Union Territory,Lakshadweep,2,2,0,53,41,0,293,172,0
Union Territory,Puducherry,20,14,1,303,69,0,2001,682,0
Union Territory,Total (UTs),431,211,6,12189,3396,15,55058,11693,200
Total (All-India),Total (All-India),12634,2831,2504,181793,42441,32513,1239128,282161,221168
