Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women,Kidnapping & Abduction - of Others,Dacoity,Prepration and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
State,Andhra Pradesh,23,7,0,37,0,37,11,2,9,2,0,6,196,455,79,376,27,1,4,2,3,334,3,24,16,18,0,2,295,1466
State,Arunachal Pradesh,0,10,0,0,0,0,0,0,0,0,0,6,14,39,0,39,16,0,0,0,0,25,0,1,0,0,0,0,21,132
State,Assam,15,9,0,19,0,19,23,16,7,5,0,17,60,114,0,114,14,0,0,0,8,17,0,0,0,0,0,0,31,332
State,Bihar,7,5,0,1,0,1,4,1,3,6,1,12,3,68,3,65,104,1,1,0,0,141,5,3,0,6,0,0,285,653
State,Chhattisgarh,39,17,1,75,0,75,5,5,0,0,0,13,214,208,35,173,79,3,3,0,9,201,4,31,3,1,0,4,347,1257
State,Goa,1,1,0,1,0,1,0,0,0,0,0,1,27,25,3,22,0,0,0,0,0,3,0,2,1,0,0,0,5,67
State,Gujarat,52,72,0,12,0,12,20,15,5,43,1,23,161,349,116,233,292,7,4,0,101,331,0,9,0,55,0,5,812,2349
State,Haryana,55,41,3,20,0,20,19,13,6,0,46,21,164,246,92,154,148,22,24,0,1,396,6,20,140,57,0,1,420,1850
State,Himachal Pradesh,6,0,1,6,0,6,0,0,0,0,0,0,19,18,4,14,14,0,0,0,1,20,0,1,0,1,0,0,30,117
State,Jammu & Kashmir,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
State,Jharkhand,6,4,0,38,0,38,5,3,2,0,3,7,2,96,8,88,54,0,2,0,0,26,8,11,0,0,0,0,469,731
State,Karnataka,17,5,1,2,0,2,2,1,1,2,1,6,53,105,15,90,11,0,0,0,0,26,0,0,1,2,0,0,31,265
State,Kerala,8,8,0,2,0,2,0,0,0,0,1,5,26,46,0,46,72,0,0,0,5,10,0,1,0,0,0,0,23,207
State,Madhya Pradesh,139,209,9,173,0,173,29,16,13,10,2,33,461,540,40,500,263,4,14,0,18,1990,34,387,91,90,0,11,2474,6981
State,Maharashtra,144,130,3,55,0,55,18,11,7,71,11,55,568,1081,172,909,489,2,50,2,10,1076,9,74,27,70,0,10,506,4461
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,4,1,0,7,0,7,1,0,1,6,0,5,11,16,1,15,0,0,0,0,3,1,0,2,0,0,0,0,6,63
State,Mizoram,3,0,0,8,0,8,0,0,0,0,0,0,8,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,49
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,3,9
State,Orissa,13,6,0,6,0,6,1,1,0,0,0,7,47,50,0,50,4,0,0,0,1,6,0,5,0,2,0,0,39,187
State,Punjab,9,2,0,5,0,5,3,3,0,0,5,0,18,19,0,19,0,1,2,0,0,22,1,2,6,1,0,1,39,136
