Crime Head,2001,2002,Percentage Variation in 2002 over 2001,Percentage Share of Arrestees under each Crime during 2002
Arms Act,64772,69530,7.3,1.6
Narcotic Drugs & Psychotropic Substances Act,26825,28470,6.1,0.7
Gambling Act,311186,350649,12.7,8.1
Excise Act,125553,133228,6.1,3.1
Prohibition Act,527475,482126,-8.6,11.2
Explosive & Explosive Substances Act,6025,5641,-6.4,0.1
Immoral Traffic (P) Act,12823,16700,30.2,0.4
Indian Railways Act,70167,67893,-3.2,1.6
Registration of Foreigners Act,2755,3951,43.4,0.1
Protection of Civil Rights Act - Total,1165,1276,9.5,0
Protection of Civil Rights Act - (i) PCR Act for SCs,1101,1251,13.6,0
Protection of Civil Rights Act - (ii) PCR Act for STs,64,25,-60.9,0
Indian Passport Act,656,1454,121.6,0
Essential Commodities Act,6420,5139,-20,0.1
Terrorist & Disruptive Activities Act,15,146,873.3,0
Antiquity & Art Treasure Act,41,129,214.6,0
Dowry Prohibition Act,7056,6679,-5.3,0.2
Child Marriage Restraint Act,281,475,69,0
Indecent Representation of Women (P) Act,694,2527,264.1,0.1
Copyrights Act,3833,5459,42.4,0.1
Sati Prevention Act,0,0,NA,NA
SC/ ST (Prevention of Atrocities) Act - Total,28408,23414,-17.6,0.5
SC/ ST (Prevention of Atrocities) Act - (i) Atrocities Act for SCs,25808,20578,-20.3,0.5
SC/ ST (Prevention of Atrocities) Act - (ii) Atrocities Act for STs,2600,2836,9.1,0.1
Forest Act,10450,8766,-16.1,0.2
Other SLL Crimes,2925131,3094937,5.8,71.8
Total Cognizable Crimes under SLL,4131731,4308589,4.3,100
