Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Preparation & Assembly for Dacoity,Robbery,Riots,Arson,Dowry Death,Total Violent Crimes,Percentage Share to All-India Crimes,Rate of Violent Crimes,Percentage to Total Cognizable Crimes under IPC
State,Andhra Pradesh,2525,1644,165,1002,1302,197,3,648,2140,991,449,11066,5,14.4,7.7
State,Arunachal Pradesh,61,38,6,38,57,22,0,96,21,20,0,359,0.2,32.2,16.1
State,Assam,1253,479,55,970,1595,473,18,607,3014,438,70,8972,4,32.9,24.7
State,Bihar,3712,3526,396,1040,2361,1289,141,2288,8675,600,927,24955,11.3,29.3,26.5
State,Chhattisgarh,844,453,24,992,178,144,6,326,817,235,85,4104,1.9,19.3,10.8
State,Goa,30,20,4,12,9,5,0,24,79,25,2,210,0.1,15.1,8.6
State,Gujarat,1532,759,13,267,1015,804,12,1098,3665,1915,62,11142,5,21.5,10.4
State,Haryana,760,487,89,361,427,61,162,330,700,199,256,3832,1.7,17.7,9.5
State,Himachal Pradesh,123,86,6,137,138,0,1,18,646,145,6,1306,0.6,21.1,10.7
State,Jammu & Kashmir,1048,1240,31,192,674,42,0,163,996,386,18,4790,2.2,45.9,24
State,Jharkhand,1488,1143,115,797,468,580,55,780,2281,167,275,8149,3.7,29.6,25.9
State,Karnataka,1627,1576,55,292,645,178,66,972,6838,437,233,12919,5.8,24.1,11.4
State,Kerala,454,562,210,499,162,137,4,610,8090,452,17,11197,5,34.7,10.7
State,Madhya Pradesh,2395,2864,194,2891,964,136,142,1829,3178,1053,674,16320,7.4,26.3,8.5
State,Maharashtra,2768,1435,93,1352,953,548,271,2136,6360,1269,303,17488,7.9,17.7,10.6
State,Manipur,165,160,3,14,157,3,8,6,64,48,0,628,0.3,25.7,24.3
State,Meghalaya,167,58,3,38,52,64,2,109,9,23,0,525,0.2,22.3,31.6
State,Mizoram,29,26,5,76,7,5,0,7,1,27,0,183,0.1,20.1,6.5
State,Nagaland,100,34,5,17,27,21,0,110,5,6,0,325,0.1,15.9,29.2
State,Orissa,1075,1372,58,691,523,246,30,945,1598,405,248,7191,3.2,19.3,15.1
State,Punjab,733,728,79,299,551,50,83,110,2,68,166,2869,1.3,11.6,10
State,Rajasthan,1276,2043,68,1051,2587,47,33,734,7178,1130,399,16546,7.5,28.5,10.9
State,Sikkim,13,5,2,6,9,0,0,5,15,2,0,57,0,10.3,11.8
State,Tamil Nadu,1723,2133,36,534,1001,176,25,653,4252,850,243,11626,5.2,18.5,7
State,Tripura,201,38,1,108,128,29,0,56,180,40,16,797,0.4,24.5,25.9
State,Uttar Pradesh,6825,6283,1243,1415,3430,552,59,2840,4878,643,1893,30061,13.6,17.6,20.6
State,Uttaranchal,292,249,47,89,198,32,6,177,342,40,66,1538,0.7,17.7,19.3
State,West Bengal,1444,413,540,759,831,204,646,544,2461,114,273,8229,3.7,10.1,14
State,Total (States),34663,29854,3546,15939,20449,6045,1773,18221,68485,11728,6681,217384,98,21,12.6
Union Territory,A & N Islands,17,3,1,2,2,1,0,7,11,2,0,46,0,12.6,7.6
Union Territory,Chandigarh,31,35,7,18,54,1,1,26,78,5,1,257,0.1,27.6,6.8
Union Territory,D & N Haveli,11,2,0,4,9,3,0,1,5,2,0,37,0,16.2,10.6
Union Territory,Daman & Diu,8,3,0,0,3,2,0,1,16,2,0,35,0,21.3,13.4
Union Territory,Delhi,531,440,68,403,1323,47,67,502,139,57,135,3712,1.7,25.8,7.6
Union Territory,Lakshadweep,0,0,0,1,0,0,0,0,18,2,0,21,0,33.9,39.6
Union Territory,Puducherry,29,43,2,6,10,2,0,6,193,22,5,318,0.1,32.1,7.2
Union Territory,Total (UTs),627,526,78,434,1401,56,68,543,460,92,141,4426,2,25.8,7.5
Total (All-India),Total (All-India),35290,30380,3624,16373,21850,6101,1841,18764,68945,11820,6822,221810,100,21.1,12.5
