Category,States/ UTs,Pending Investigation from Previous Year,Cases Regd. during the Year,Total Cases for Investigation,Cases Investigated,Cases not Investigated or Investigation Dropped,Cases Transferred to Local Police,Cases Declared False Etc. during Year,Cases Charge Sheeted,Cases Pending for Dept. Sanction for Prosecution,Cases Sent Up for Trial and also Reported for Dept. Action,Cases Reported for Regular Departmental Action,Cases Reported for Suitable Action,Cases in which Charge Sheets not Laid but Final Report Submitted,Cases Pending Investigation at the End of Year,Cases Resulted in Recovery or Seizure,Value of Property Recovered/ Seized (in Rs.'000),Percentage of Cases Charge Sheeted to Total Cases Investigated,Cases Pending Trial from the Previous Year,Cases Sent Up for Trial during the Year,Total Cases for Trial,Cases Withdrawn/ Discharged or Otherwise Disposed of,Trials Completed during the Year,Cases Convicted,Cases Acquitted or Discharged,Pending Trial at the End of the Year,Percentage of Cases Convicted to Trials Completed,Total Amt. of Fine Imposed during the Year (in Rs.'000)
State,Andhra Pradesh,302,345,647,287,6,1,0,322,24,0,64,1,66,353,264,1082.3,112.2,630,322,952,0,88,47,41,864,53.4,62.9
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
State,Assam,39,11,50,50,0,0,0,2,17,2,0,0,0,39,0,0,4,29,2,31,0,0,0,0,31,0,0
State,Bihar,171,12,183,183,0,0,0,8,35,8,0,0,0,174,2,9,4.4,338,8,346,4,5,4,1,337,80,6
State,Chhattisgarh,108,55,163,157,0,0,0,52,43,0,0,0,4,107,45,215.6,33.1,159,52,211,2,61,32,29,148,52.5,347
State,Goa,11,10,21,21,0,0,0,5,0,3,0,0,0,16,1,10,23.8,20,5,25,1,3,0,3,21,0,0
State,Gujarat,91,178,269,183,0,0,9,173,76,11,1,0,8,123,144,930.1,94.5,1512,173,1685,1,104,30,74,1580,28.8,207.2
State,Haryana,102,268,370,199,0,0,8,99,23,64,0,0,14,262,32,67.7,49.7,343,99,442,2,58,8,50,382,13.8,78
State,Himachal Pradesh,149,33,182,182,0,0,0,23,38,17,0,0,9,150,12,12.7,12.6,84,23,107,3,16,6,10,88,37.5,66
State,Jammu & Kashmir,317,56,373,122,0,5,0,43,41,0,34,0,41,290,0,0,35.2,394,43,437,1,21,1,20,415,4.8,2
State,Jharkhand,65,78,143,65,0,0,0,65,21,141,0,0,0,65,65,1878,100,80,84,164,0,0,0,0,65,0,0
State,Karnataka,200,151,351,351,0,2,19,129,81,45,16,0,59,140,151,6142.7,36.8,1050,129,1179,8,120,8,112,1051,6.7,16.5
State,Kerala,474,145,619,619,0,0,21,81,13,11,10,10,21,497,0,0,13.1,247,81,328,1,53,31,22,274,58.5,1716.5
State,Madhya Pradesh,234,271,505,505,0,0,0,197,185,0,2,0,39,270,37,19589.9,39,567,196,763,6,129,65,58,634,50.4,1925.5
State,Maharashtra,491,478,969,969,2,1,1,440,198,1,5,0,18,509,9,28272.1,45.4,2503,440,2943,11,329,88,241,2603,26.7,328.4
State,Manipur,9,8,17,17,0,0,0,1,0,0,0,0,0,16,0,0,5.9,11,1,12,1,0,0,0,11,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,2,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,100,4,3,7,0,0,0,0,7,0,0
State,Nagaland,4,0,4,4,0,0,0,2,0,0,0,0,0,2,0,0,50,0,2,2,0,0,0,0,2,0,0
State,Orissa,317,283,600,600,0,0,5,172,48,87,99,0,120,322,98,11788.8,28.7,1731,172,1903,8,77,7,70,1818,9.1,1.9
State,Punjab,341,282,623,226,46,1,0,180,103,1,0,0,0,348,0,0,79.6,874,180,0,9,165,80,85,0,48.5,213
State,Rajasthan,1128,444,1572,1572,0,0,3,267,232,0,139,0,114,1191,216,753.8,17,650,267,917,3,180,67,113,734,37.2,567
State,Sikkim,33,21,54,54,0,0,0,5,0,0,0,0,7,42,0,0,9.3,15,5,20,0,4,3,1,16,75,5
State,Tamil Nadu,130,97,227,227,0,0,2,14,0,106,26,8,111,116,18,405.1,6.2,137,14,151,0,36,30,6,115,83.3,124.2
State,Tripura,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0
State,Uttar Pradesh,155,137,292,130,0,0,0,56,135,26,26,1,12,93,0,0,43.1,193,56,249,0,8,1,7,241,12.5,0
State,Uttaranchal,13,5,18,6,0,0,0,5,0,0,0,0,1,12,4,6,83.3,6,5,11,0,0,0,0,11,0,0
State,West Bengal,26,0,26,26,0,0,0,1,0,0,0,0,0,25,0,0,3.8,24,1,25,1,0,0,0,24,0,0
State,Total (States),4914,3369,8283,6758,54,10,68,2347,1313,523,422,20,644,5162,1098,71163.8,34.7,11602,2365,12913,62,1457,508,943,11475,34.9,5667
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
Union Territory,Chandigarh,11,3,14,14,0,0,0,4,0,0,0,0,0,10,0,0,28.6,12,4,16,0,3,1,2,13,33.3,0
Union Territory,D & N Haveli,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,100,3,1,4,0,2,0,2,2,0,0
Union Territory,Daman & Diu,2,1,3,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,84,56,140,58,1,1,1,53,12,20,74,0,5,81,44,173.9,91.4,338,53,391,2,41,12,29,348,29.3,87.2
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,7,3,10,10,0,0,0,1,1,0,0,0,0,9,0,0,10,7,1,8,0,3,0,3,5,0,0
Union Territory,Total (UTs),105,63,168,86,1,1,1,59,15,20,74,0,5,103,44,173.9,68.6,361,59,420,2,50,13,37,368,26,87.2
Total (All-India),Total (All-India),5019,3432,8451,6844,55,11,69,2406,1328,543,496,20,649,5265,1142,71337.7,35.2,11963,2424,13333,64,1507,521,980,11843,34.6,5754.2
