Category,States/ UTs,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. not Amounting to Murder - Male,C.H. not Amounting to Murder - Female,C.H. not Amounting to Murder - Total,Total Rape - Male,Total Rape - Female,Total Rape - Total,Custodial Rape - Male,Custodial Rape - Female,Custodial Rape - Total,Other Rape - Male,Other Rape - Female,Other Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - of Women & Girls - Male,Kidnapping & Abduction - of Women & Girls - Female,Kidnapping & Abduction - of Women & Girls - Total,Kidnapping & Abduction - of Others - Male,Kidnapping & Abduction - of Others - Female,Kidnapping & Abduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assessmbly for Dacoity - Male,Preparation & Assessmbly for Dacoity - Female,Preparation & Assessmbly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Total - Male,Theft - Total - Female,Theft - Total - Total,Theft - Auto Theft - Male,Theft - Auto Theft - Female,Theft - Auto Theft - Total,Theft - Other Theft - Male,Theft - Other Theft - Female,Theft - Other Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowry Deaths - Male,Dowry Deaths - Female,Dowry Deaths - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty by Husband and Relatives - Male,Cruelty by Husband and Relatives - Female,Cruelty by Husband and Relatives - Total,Importation of Girls - Male,Importation of Girls - Female,Importation of Girls - Total,Causing Death by Negligence - Male,Causing Death by Negligence - Female,Causing Death by Negligence - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes under IPC - Male,Total Cognizable Crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of Female to Total
State,Andhra Pradesh,5593,368,5961,3524,119,3643,286,6,292,1312,28,1340,0,0,0,1312,28,1340,1436,156,1592,883,79,962,553,77,630,713,17,730,23,0,23,1023,7,1030,5168,76,5244,11565,414,11979,2115,20,2135,9450,394,9844,15619,782,16401,947,26,973,6302,205,6507,251,6,257,1319,18,1337,58933,4848,63781,777,281,1058,3992,63,4055,2414,19,2433,9322,2812,12134,0,0,0,6865,7,6872,45200,3819,49019,182584,14077,196661,7.2
State,Arunachal Pradesh,82,2,84,58,0,58,4,0,4,61,0,61,0,0,0,61,0,61,78,0,78,57,0,57,21,0,21,51,0,51,0,0,0,100,0,100,180,0,180,343,0,343,30,0,30,313,0,313,73,0,73,10,0,10,44,0,44,14,1,15,30,1,31,524,21,545,0,0,0,80,0,80,4,0,4,5,0,5,0,0,0,0,0,0,820,27,847,2561,52,2613,2
State,Assam,1805,86,1891,656,20,676,72,8,80,1017,2,1019,0,0,0,1017,2,1019,2219,259,2478,1737,230,1967,482,29,511,1320,0,1320,60,0,60,1250,0,1250,3032,150,3182,6062,290,6352,887,0,887,5175,290,5465,9780,164,9944,520,38,558,640,71,711,108,2,110,720,19,739,6571,287,6858,117,10,127,1369,3,1372,7,0,7,2002,106,2108,0,0,0,1766,1,1767,11131,848,11979,52224,2364,54588,4.3
State,Bihar,8192,159,8351,8448,116,8564,736,8,744,1297,7,1304,0,0,0,1297,7,1304,4652,133,4785,1063,91,1154,3589,42,3631,4054,0,4054,595,0,595,4314,0,4314,3357,2,3359,10086,18,10104,1416,0,1416,8670,18,8688,44568,773,45341,2232,32,2264,2764,39,2803,146,0,146,1127,9,1136,15623,665,16288,1978,560,2538,995,2,997,16,0,16,3709,569,4278,61,2,63,2368,14,2382,87510,2512,90022,208828,5620,214448,2.6
State,Chhattisgarh,1344,142,1486,1150,26,1176,34,2,36,1193,21,1214,0,0,0,1193,21,1214,207,14,221,164,14,178,43,0,43,427,4,431,24,0,24,419,4,423,1826,15,1841,2902,45,2947,851,2,853,2051,43,2094,5150,157,5307,102,2,104,512,10,522,18,0,18,287,23,310,7044,521,7565,163,54,217,1724,4,1728,177,0,177,1148,371,1519,0,0,0,901,7,908,22990,840,23830,49742,2262,52004,4.3
State,Goa,37,5,42,38,1,39,3,0,3,12,0,12,0,0,0,12,0,12,22,0,22,9,0,9,13,0,13,26,0,26,0,0,0,47,1,48,289,8,297,271,23,294,52,0,52,219,23,242,367,21,388,27,0,27,53,11,64,5,0,5,45,1,46,317,27,344,2,0,2,24,0,24,8,0,8,9,2,11,0,0,0,186,0,186,809,37,846,2597,137,2734,5
State,Gujarat,4872,160,5032,4973,121,5094,22,0,22,367,11,378,0,0,0,367,11,378,1330,114,1444,915,92,1007,415,22,437,4102,58,4160,51,0,51,1372,18,1390,3299,49,3348,7082,241,7323,1849,1,1850,5233,240,5473,23310,909,24219,1707,126,1833,2157,110,2267,86,4,90,5171,26,5197,27647,2132,29779,127,47,174,989,26,1015,142,0,142,6605,2808,9413,0,0,0,2668,10,2678,64281,3870,68151,162360,10840,173200,6.3
State,Haryana,1550,117,1667,1430,44,1474,149,4,153,478,33,511,0,0,0,478,33,511,556,28,584,308,20,328,248,8,256,211,0,211,835,0,835,698,0,698,2427,10,2437,4395,59,4454,1584,0,1584,2811,59,2870,4034,197,4231,468,16,484,1025,49,1074,64,2,66,358,15,373,12239,793,13032,451,184,635,589,14,603,1573,39,1612,2280,879,3159,0,0,0,746,3,749,21467,358,21825,58023,2844,60867,4.7
State,Himachal Pradesh,184,17,201,149,11,160,7,0,7,195,9,204,0,0,0,195,9,204,98,9,107,88,8,96,10,1,11,0,0,0,3,0,3,12,0,12,456,27,483,401,10,411,76,0,76,325,10,335,2648,448,3096,56,3,59,159,0,159,0,0,0,103,24,127,2018,286,2304,9,4,13,391,28,419,15,1,16,345,140,485,0,0,0,301,3,304,8688,956,9644,16238,1976,18214,10.8
State,Jammu & Kashmir,519,17,536,1352,46,1398,24,0,24,203,0,203,0,0,0,203,0,203,612,9,621,554,9,563,58,0,58,55,0,55,0,0,0,189,0,189,399,0,399,1935,12,1947,151,0,151,1784,12,1796,3782,364,4146,117,0,117,503,3,506,12,1,13,174,0,174,610,77,687,18,9,27,1301,76,1377,457,1,458,97,16,113,0,0,0,351,0,351,10941,610,11551,23651,1241,24892,5
