Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other - Number,Railways - Other - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,6129,737.6,204,16.5,0,0,1123,159.3,476,86.6,647,72.7,23,15.7,2911,262.4,8832,1224.7,19222,2416.3
State,Arunachal Pradesh,297,139.9,2,0.3,1,0.3,0,0,0,0,0,0,0,0,40,7.3,55,20,395,167.7
State,Assam,3108,224.9,64,13,4,0.6,185,12.9,20,1,165,12,5,0.3,727,100.2,1462,303.6,5555,655.6
State,Bihar,4850,329.9,252,60.9,0,0,1270,108.1,899,83.1,371,25,6,1.3,785,84.7,2982,351.7,10145,936.6
State,Chhattisgarh,1121,119.4,62,16,1,0,191,35.7,105,22.4,86,13.3,254,36,492,99,2181,227.6,4302,533.8
State,Goa,64,24,11,1.8,2,0.3,13,4.8,1,0.1,12,4.7,1,0.1,76,25.3,329,112.5,496,169
State,Gujarat,3388,967.2,150,113.5,4,4.7,342,58.6,340,58.3,2,0.3,6,1.6,1352,371.2,10500,2515,15742,4031.7
State,Haryana,2394,770.7,95,24.8,1,0.2,203,38.4,36,8,167,30.5,0,0,824,297.2,2445,1198.8,5962,2330
State,Himachal Pradesh,71,19.9,10,16.9,0,0,0,0,0,0,0,0,1,3.2,44,13.4,438,271,564,324.5
State,Jammu & Kashmir,593,123.5,5,2,0,0,0,0,0,0,0,0,0,0,248,83.1,1174,386.6,2020,595.1
State,Jharkhand,1937,158.8,214,15.7,0,0,242,0,145,0,97,0,0,0,393,196.2,1588,392.9,4374,763.7
State,Karnataka,4113,855.2,56,30.8,1,2,382,74.9,253,64.8,129,10.1,4,0.3,1599,331.4,7663,1573.1,13818,2867.8
State,Kerala,1594,997.8,120,53.4,10,1.4,304,66.1,265,63,39,3.1,5,8.6,299,108.9,3411,1216.2,5743,2452.4
State,Madhya Pradesh,7756,1066.5,479,109.5,17,0.6,1299,161.8,812,121.2,487,40.7,7,4.9,1468,190.7,9733,1350,20759,2884.1
State,Maharashtra,6754,1810.2,508,271.1,2,2.2,2930,448.7,1371,237.1,1559,211.6,136,81,2693,1069.4,24583,11415.8,37606,15098.4
State,Manipur,38,47.9,7,1,0,0,0,0,0,0,0,0,0,0,96,36.6,114,18.2,255,103.6
State,Meghalaya,166,19.2,12,15,0,0,0,0,0,0,0,0,0,0,15,6.7,199,30.6,392,71.5
State,Mizoram,397,53.4,3,8.5,0,0,0,0,0,0,0,0,0,0,244,28.1,355,15.7,999,105.6
State,Nagaland,111,23.2,10,6,0,0,0,0,0,0,0,0,0,0,38,9.4,98,82.5,257,121
State,Orissa,1760,321.2,92,18.7,0,0,486,76.5,323,37.1,163,39.4,0,0,470,95,2460,453,5268,964.5
State,Punjab,565,368.1,894,27.7,2,0.1,27,12.2,6,1.9,21,10.3,0,0,161,170.6,1314,1030.6,2963,1609.3
State,Rajasthan,3054,622.6,80,177.7,0,0,733,58.1,521,34.1,212,23.9,1,0,1039,449.7,11406,2459.6,16313,3767.7
State,Sikkim,18,1.5,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,45,0.5,64,2.2
State,Tamil Nadu,4180,644.1,78,25.7,44,1.4,231,38.2,124,27.9,107,10.3,42,5.9,2845,398.6,11335,1371.7,18755,2485.6
State,Tripura,188,146.2,0,0,0,0,30,6,0,0,30,6,52,27.9,0,0,0,0,270,180.1
State,Uttar Pradesh,6588,1337.9,3096,796.4,0,0,2845,227.5,1529,112.2,1316,115.3,4,9.9,815,136.5,9071,1741.7,22419,4249.9
State,Uttaranchal,461,103.2,122,35.3,0,0,47,9.9,30,9.4,17,0.5,2,0.2,184,25.8,549,98.1,1365,272.6
State,West Bengal,4613,917,7,18.2,0,0,529,84.9,311,40.4,218,44.5,3,225.9,1339,170.8,5958,1247.1,12449,2664
State,Total (States),66308,12951.1,6634,1876.5,89,13.9,13412,1682.7,7567,1008.4,5845,674.3,552,422.9,21197,4768.4,120280,31108.7,228472,52824.1
Union Territory,A & N Islands,16,3,0,0,3,0.8,0,0,0,0,0,0,0,0,0,0,30,2.5,49,6.3
Union Territory,Chandigarh,586,269.4,0,0,0,0,0,0,0,0,0,0,1,0.3,65,17.8,995,269.4,1647,556.8
Union Territory,D & N Haveli,47,24.3,0,0,0,0,0,0,0,0,0,0,0,0,16,23.3,12,2.6,75,50.2
Union Territory,Daman & Diu,2,0,0,0,1,0.3,0,0,0,0,0,0,0,0,6,5.8,47,20.6,56,26.7
Union Territory,Delhi,4665,2267.7,48,24.7,0,0,1345,193.1,392,73.1,953,120,0,0,1594,1174,8973,5317.4,16625,8976.8
Union Territory,Lakshadweep,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,9,0.6,0,0,12,0.9
Union Territory,Puducherry,45,5.5,0,0,0,0,0,0,0,0,0,0,0,0,16,5,465,63.9,526,74.4
Union Territory,Total (UTs),5364,2570.3,48,24.7,4,1.1,1345,193.1,392,73.1,953,120,1,0.3,1706,1226.5,10522,5676.5,18990,9692.3
